case_id,position_id,ts_recv_utc,seconds_before_decision,raw_i5,aligned_i5,spread_ticks
F009_PID000000484,484,2019-12-10T01:29:04.141406464+00:00,55.858593536,0.15650741350906094,0.15650741350906094,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.141836544+00:00,55.858163456,0.14518760195758565,0.14518760195758565,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.160389632+00:00,55.839610368,0.14238952536824878,0.14238952536824878,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.160536832+00:00,55.839463168,0.14052287581699346,0.14052287581699346,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.160547328+00:00,55.839452672,0.13866231647634583,0.13866231647634583,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.160688384+00:00,55.839311616,0.13725490196078433,0.13725490196078433,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.160840960+00:00,55.83915904,0.13539967373572595,0.13539967373572595,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.160851456+00:00,55.839148544,0.13355048859934854,0.13355048859934854,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.160986368+00:00,55.839013632,0.13170731707317074,0.13170731707317074,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.161122816+00:00,55.838877184,0.12987012987012986,0.12987012987012986,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.161160448+00:00,55.838839552,0.14098360655737704,0.14098360655737704,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.179677696+00:00,55.820322304,0.14285714285714285,0.14285714285714285,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.273336576+00:00,55.726663424,0.15806988352745424,0.15806988352745424,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.298375424+00:00,55.701624576,0.14285714285714285,0.14285714285714285,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.298383616+00:00,55.701616384,0.1280388978930308,0.1280388978930308,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.298531328+00:00,55.701468672,0.1262135922330097,0.1262135922330097,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.298540800+00:00,55.7014592,0.12258064516129032,0.12258064516129032,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.298686464+00:00,55.701313536,0.11974110032362459,0.11974110032362459,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.298695936+00:00,55.701304064,0.11688311688311688,0.11688311688311688,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.298845440+00:00,55.70115456,0.11326860841423948,0.11326860841423948,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.299320320+00:00,55.70067968,0.11147011308562198,0.11147011308562198,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.362723072+00:00,55.637276928,0.10789049919484701,0.10789049919484701,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.478358016+00:00,55.521641984,0.12234910277324633,0.12234910277324633,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.479401472+00:00,55.520598528,0.1260229132569558,0.1260229132569558,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.483476736+00:00,55.516523264,0.1297208538587849,0.1297208538587849,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.485301760+00:00,55.51469824,0.13344316309719934,0.13344316309719934,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.485437696+00:00,55.514562304,0.1353135313531353,0.1353135313531353,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.486864128+00:00,55.513135872,0.13815789473684212,0.13815789473684212,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.488352512+00:00,55.511647488,0.12337662337662338,0.12337662337662338,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:04.489649920+00:00,55.51035008,0.12155591572123177,0.12155591572123177,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:05.504556800+00:00,54.4954432,0.11793214862681745,0.11793214862681745,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:05.504569088+00:00,54.495430912,0.11507293354943274,0.11507293354943274,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:05.504577792+00:00,54.495422208,0.11147011308562198,0.11147011308562198,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:05.504711680+00:00,54.49528832,0.10789049919484701,0.10789049919484701,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:05.504867584+00:00,54.495132416,0.1043338683788122,0.1043338683788122,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:05.633340672+00:00,54.366659328,0.09854604200323101,0.09854604200323101,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:08.441466368+00:00,51.558533632,0.10210696920583469,0.10210696920583469,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:08.441627648+00:00,51.558372352,0.1050080775444265,0.1050080775444265,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:08.441637376+00:00,51.558362624,0.1085899513776337,0.1085899513776337,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:08.463741696+00:00,51.536258304,0.10679611650485436,0.10679611650485436,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:08.464590336+00:00,51.535409664,0.1085899513776337,0.1085899513776337,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:08.530592256+00:00,51.469407744,0.10679611650485436,0.10679611650485436,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:09.709673472+00:00,50.290326528,0.1050080775444265,0.1050080775444265,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:09.710088960+00:00,50.28991104,0.10144927536231885,0.10144927536231885,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:09.718582784+00:00,50.281417216,0.09854604200323101,0.09854604200323101,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:10.974620416+00:00,49.025379584,0.09854604200323101,0.09854604200323101,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:12.670039296+00:00,47.329960704,0.10210696920583469,0.10210696920583469,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:12.670053632+00:00,47.329946368,0.1050080775444265,0.1050080775444265,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:12.670192640+00:00,47.32980736,0.10679611650485436,0.10679611650485436,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.233645824+00:00,46.766354176,0.1032258064516129,0.1032258064516129,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.233788672+00:00,46.766211328,0.10144927536231885,0.10144927536231885,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.237887488+00:00,46.762112512,0.09854604200323101,0.09854604200323101,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.414551040+00:00,46.58544896,0.09500805152979067,0.09500805152979067,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512061952+00:00,46.487938048,0.09149277688603531,0.09149277688603531,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512230656+00:00,46.487769344,0.08856682769726248,0.08856682769726248,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512252928+00:00,46.487747072,0.08414239482200647,0.08414239482200647,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512386304+00:00,46.487613696,0.08116883116883117,0.08116883116883117,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512400128+00:00,46.487599872,0.07516339869281045,0.07516339869281045,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512575232+00:00,46.487424768,0.07166123778501629,0.07166123778501629,1.0000000000021103
