position_id,direction,start,end,filename,source_status,degraded_source_date,causal_records,records_last_30s,records_prior_30s,aligned_imbalance_last,aligned_imbalance_median_30s,aligned_imbalance_change_30s,aligned_persistence_30s,spread_ticks_last,staleness_ms,book_alignment_score,quality_eligible,quality_reason,decision_time_server,decision_time_utc,decision_year,open_time,close_time,decision_time,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r,entry_time_utc,exit_time_utc,stop_pips,target_pips,hold_minutes,decision_entry_lag_minutes,entry_minute_utc,entry_hour_utc,entry_weekday,entry_month,entry_year,exit_class,mfe_r,mae_r,mfe_5m_r,mae_5m_r,mfe_15m_r,mae_15m_r,mfe_30m_r,mae_30m_r
712,BUY,2020-05-11T00:13:00Z,2020-05-11T00:15:00Z,CTRL_PID000000712_20200511T001500Z.dbn.zst,nonempty,False,567,150,121,-0.0121212121212121,0.0658442776735459,0.0740186645945269,0.8533333333333334,1.0000000000021103,1703.66976,0.2280934716520714,True,PASS,2020.05.11 03:15:00,2020-05-11 00:15:00,2020,2020.05.11 03:20:00,2020.05.11 05:20:30,2020.05.11 03:15:00,0.19,1.08427,1.08467,1.08375,1.08531,52.0,9.88,6.84,0.6923076923076923,2020-05-11 00:20:00,2020-05-11 02:20:30,5.20000000000076,10.399999999999299,120.5,5.0,20,0,Monday,2020-05,2020,TIMEOUT_OR_OTHER,1.4615384615380016,0.5000000000002135,0.26923076923078565,0.26923076923078565,0.26923076923078565,0.26923076923078565,0.26923076923078565,0.5000000000002135
724,SELL,2020-05-18T00:53:00Z,2020-05-18T00:55:00Z,CTRL_PID000000724_20200518T005500Z.dbn.zst,nonempty,False,776,265,194,0.1365853658536585,0.0761670761670761,-0.0110812459805748,0.7849056603773585,0.9999999999976694,259.65184,0.1777660567770736,True,PASS,2020.05.18 03:55:00,2020-05-18 00:55:00,2020,2020.05.18 04:00:00,2020.05.18 04:22:33,2020.05.18 03:55:00,0.31,1.08168,1.08199,1.08199,1.08106,31.0,9.61,-10.85,-1.1290322580645162,2020-05-18 01:00:00,2020-05-18 01:22:33,3.1000000000003247,6.200000000000649,22.55,5.0,60,1,Monday,2020-05,2020,SL_LIKE,0.8064516129026944,0.9032258064517054,0.354838709677558,0.48387096774218963,0.8064516129026944,0.48387096774218963,0.8064516129026944,1.1935483870965893
726,BUY,2020-05-18T23:58:00Z,2020-05-19T00:00:00Z,CTRL_PID000000726_20200519T000000Z.dbn.zst,nonempty,False,340,101,85,0.0033670033670033,0.1012658227848101,0.0469527237432765,0.9108910891089108,1.0000000000021103,194.784512,0.2678166368826796,True,PASS,2020.05.19 03:00:00,2020-05-19 00:00:00,2020,2020.05.19 03:05:00,2020.05.19 04:24:36,2020.05.19 03:00:00,0.14,1.09199,1.09129,1.0913,1.09337,69.0,9.66,-10.360000000000001,-1.0724637681159421,2020-05-19 00:05:00,2020-05-19 01:24:36,6.900000000000794,13.799999999999368,79.6,5.0,5,0,Tuesday,2020-05,2020,SL_LIKE,0.5507246376811641,1.01449275362296,0.3623188405797894,0.1594202898551331,0.3623188405797894,0.5072463768116409,0.5507246376811641,0.5072463768116409
734,BUY,2020-05-24T22:18:00Z,2020-05-24T22:20:00Z,CTRL_PID000000734_20200524T222000Z.dbn.zst,nonempty,False,281,76,102,-0.0598290598290598,0.0569143310417768,0.025168299295745,0.6447368421052632,1.0000000000021103,916.569344,0.1071176613974562,True,PASS,2020.05.25 01:20:00,2020-05-24 22:20:00,2020,2020.05.25 01:25:00,2020.05.25 02:32:37,2020.05.25 01:20:00,0.29,1.09004,1.09072,1.0897,1.09072,34.0,9.86,18.56,1.8823529411764706,2020-05-24 22:25:00,2020-05-24 23:32:37,3.4000000000000696,6.800000000000139,67.61666666666666,5.0,1345,22,Sunday,2020-05,2020,TP_LIKE,2.0294117647060745,0.3823529411763553,0.23529411764728933,0.11764705882299159,0.3823529411770084,0.3823529411763553,1.0294117647060745,0.3823529411763553
736,SELL,2020-05-25T00:03:00Z,2020-05-25T00:05:00Z,CTRL_PID000000736_20200525T000500Z.dbn.zst,nonempty,False,678,109,219,0.0580204778156996,0.0779661016949152,0.1023563455973542,0.8715596330275229,0.9999999999976694,450.953216,0.2503519537605576,True,PASS,2020.05.25 03:05:00,2020-05-25 00:05:00,2020,2020.05.25 03:10:00,2020.05.25 03:30:25,2020.05.25 03:05:00,0.28,1.09026,1.09062,1.09061,1.08956,35.0,9.8,-11.2,-1.1428571428571428,2020-05-25 00:10:00,2020-05-25 00:30:25,3.5000000000007248,6.999999999999229,20.416666666666668,5.0,10,0,Monday,2020-05,2020,SL_LIKE,0.0,1.0571428571425852,0.0,0.6285714285709754,0.0,0.8857142857141951,0.0,1.5142857142851704
742,SELL,2020-05-27T23:58:00Z,2020-05-28T00:00:00Z,CTRL_PID000000742_20200528T000000Z.dbn.zst,nonempty,False,517,83,98,0.099236641221374,0.0457142857142857,-0.1070234664470975,0.963855421686747,1.99999999999978,843.92576,0.2280289870887419,True,PASS,2020.05.28 03:00:00,2020-05-28 00:00:00,2020,2020.05.28 03:05:00,2020.05.28 03:32:24,2020.05.28 03:00:00,0.18,1.10118,1.10172,1.10171,1.10012,53.0,9.54,-10.440000000000001,-1.0943396226415096,2020-05-28 00:05:00,2020-05-28 00:32:24,5.299999999999194,10.600000000000609,27.4,5.0,5,0,Thursday,2020-05,2020,SL_LIKE,0.41509433962291026,1.1886792452830268,0.18867924528302676,0.47169811320735744,0.41509433962291026,0.47169811320735744,0.41509433962291026,1.1886792452830268
752,BUY,2020-06-03T00:13:00Z,2020-06-03T00:15:00Z,CTRL_PID000000752_20200603T001500Z.dbn.zst,nonempty,False,581,78,231,0.0429447852760736,-0.0070425136356361,0.0628875562944338,0.4743589743589743,1.99999999999978,1542.521344,-0.0006198805647224,True,PASS,2020.06.03 03:15:00,2020-06-03 00:15:00,2020,2020.06.03 03:20:00,2020.06.03 03:45:39,2020.06.03 03:15:00,0.16,1.11888,1.12007,1.11829,1.12006,59.0,9.44,18.4,1.9491525423728813,2020-06-03 00:20:00,2020-06-03 00:45:39,5.9000000000009045,11.799999999999589,25.65,5.0,20,0,Wednesday,2020-06,2020,TP_LIKE,2.0677966101691725,0.45762711864436123,0.3728813559319546,0.45762711864436123,0.6101694915251877,0.45762711864436123,2.0677966101691725,0.45762711864436123
754,SELL,2020-06-03T23:58:00Z,2020-06-04T00:00:00Z,CTRL_PID000000754_20200604T000000Z.dbn.zst,nonempty,False,287,69,110,0.0157728706624605,0.0404984423676012,0.0451616648284669,1.0,1.0000000000021103,427.145216,0.2815396373909173,True,PASS,2020.06.04 03:00:00,2020-06-04 00:00:00,2020,2020.06.04 03:05:00,2020.06.04 03:33:21,2020.06.04 03:00:00,0.23,1.12314,1.12229,1.12356,1.1223,42.0,9.66,18.63,1.9285714285714284,2020-06-04 00:05:00,2020-06-04 00:33:21,4.199999999998649,8.399999999999519,28.35,5.0,5,0,Thursday,2020-06,2020,TP_LIKE,2.380952380953413,0.19047619047591355,0.8095238095240864,0.11904761904737989,1.6190476190481728,0.19047619047591355,2.380952380953413,0.19047619047591355
756,SELL,2020-06-05T00:48:00Z,2020-06-05T00:50:00Z,CTRL_PID000000756_20200605T005000Z.dbn.zst,nonempty,False,763,207,213,0.0174563591022443,0.0430379746835443,0.0922183025523967,0.6811594202898551,1.99999999999978,3508.150528,0.1351532731247989,True,PASS,2020.06.05 03:50:00,2020-06-05 00:50:00,2020,2020.06.05 03:55:00,2020.06.05 05:55:00,2020.06.05 03:50:00,0.18,1.13351,1.13319,1.13405,1.13243,54.0,9.72,5.04,0.5185185185185185,2020-06-05 00:55:00,2020-06-05 02:55:00,5.399999999999849,10.799999999999699,120.0,5.0,55,0,Friday,2020-06,2020,TIMEOUT_OR_OTHER,1.7222222222224506,0.6296296296296601,0.7592592592593201,0.35185185185169954,0.7592592592593201,0.6296296296296601,1.1481481481483005,0.6296296296296601
758,BUY,2020-06-07T22:18:00Z,2020-06-07T22:20:00Z,CTRL_PID000000758_20200607T222000Z.dbn.zst,nonempty,False,367,33,121,0.0745098039215686,0.0372881355932203,0.096111665004985,1.0,1.0000000000021103,6735.615488,0.2926719840478564,True,PASS,2020.06.08 01:20:00,2020-06-07 22:20:00,2020,2020.06.08 01:25:00,2020.06.08 02:00:35,2020.06.08 01:20:00,0.25,1.13044,1.13004,1.13005,1.13122,39.0,9.75,-11.0,-1.1282051282051282,2020-06-07 22:25:00,2020-06-07 23:00:35,3.8999999999989043,7.800000000000029,35.583333333333336,5.0,1345,22,Sunday,2020-06,2020,SL_LIKE,5.693451408335735e-13,1.0769230769230331,-0.07692307692303313,0.41025641025636644,5.693451408335735e-13,0.6923076923072982,5.693451408335735e-13,0.7948717948715321
