position_id,symbol,account_currency,round_turn_account_per_lot,source_kind
304,XAUUSD,USD,1.80000000,strategy_tester_simulation
306,XAUUSD,USD,1.75000000,strategy_tester_simulation
308,XAUUSD,USD,1.75000000,strategy_tester_simulation
310,XAUUSD,USD,1.80000000,strategy_tester_simulation
312,XAUUSD,USD,1.80000000,strategy_tester_simulation
314,XAUUSD,USD,2.00000000,strategy_tester_simulation
316,XAUUSD,USD,2.00000000,strategy_tester_simulation
318,XAUUSD,USD,2.00000000,strategy_tester_simulation
320,XAUUSD,USD,2.00000000,strategy_tester_simulation
322,XAUUSD,USD,2.00000000,strategy_tester_simulation
324,XAUUSD,USD,2.00000000,strategy_tester_simulation
326,XAUUSD,USD,2.00000000,strategy_tester_simulation
328,XAUUSD,USD,2.00000000,strategy_tester_simulation
330,XAUUSD,USD,2.00000000,strategy_tester_simulation
332,XAUUSD,USD,2.00000000,strategy_tester_simulation
334,XAUUSD,USD,2.00000000,strategy_tester_simulation
336,XAUUSD,USD,2.00000000,strategy_tester_simulation
338,XAUUSD,USD,2.00000000,strategy_tester_simulation
340,XAUUSD,USD,2.00000000,strategy_tester_simulation
342,XAUUSD,USD,2.00000000,strategy_tester_simulation
344,XAUUSD,USD,2.00000000,strategy_tester_simulation
346,XAUUSD,USD,2.00000000,strategy_tester_simulation
348,XAUUSD,USD,2.00000000,strategy_tester_simulation
350,XAUUSD,USD,2.00000000,strategy_tester_simulation
352,XAUUSD,USD,2.00000000,strategy_tester_simulation
354,XAUUSD,USD,2.00000000,strategy_tester_simulation
356,XAUUSD,USD,2.00000000,strategy_tester_simulation
358,XAUUSD,USD,2.00000000,strategy_tester_simulation
360,XAUUSD,USD,2.00000000,strategy_tester_simulation
362,XAUUSD,USD,2.00000000,strategy_tester_simulation
364,XAUUSD,USD,2.00000000,strategy_tester_simulation
366,XAUUSD,USD,2.00000000,strategy_tester_simulation
368,XAUUSD,USD,2.00000000,strategy_tester_simulation
370,XAUUSD,USD,2.00000000,strategy_tester_simulation
372,XAUUSD,USD,2.00000000,strategy_tester_simulation
374,XAUUSD,USD,2.00000000,strategy_tester_simulation
376,XAUUSD,USD,2.00000000,strategy_tester_simulation
378,XAUUSD,USD,2.00000000,strategy_tester_simulation
380,XAUUSD,USD,2.00000000,strategy_tester_simulation
382,XAUUSD,USD,2.00000000,strategy_tester_simulation
384,XAUUSD,USD,2.00000000,strategy_tester_simulation
386,XAUUSD,USD,2.00000000,strategy_tester_simulation
388,XAUUSD,USD,2.00000000,strategy_tester_simulation
390,XAUUSD,USD,2.00000000,strategy_tester_simulation
392,XAUUSD,USD,2.00000000,strategy_tester_simulation
394,XAUUSD,USD,2.00000000,strategy_tester_simulation
396,XAUUSD,USD,1.75000000,strategy_tester_simulation
398,XAUUSD,USD,2.00000000,strategy_tester_simulation
400,XAUUSD,USD,2.00000000,strategy_tester_simulation
402,XAUUSD,USD,2.00000000,strategy_tester_simulation
404,XAUUSD,USD,2.00000000,strategy_tester_simulation
406,XAUUSD,USD,2.00000000,strategy_tester_simulation
408,XAUUSD,USD,2.06666667,strategy_tester_simulation
410,XAUUSD,USD,2.00000000,strategy_tester_simulation
412,XAUUSD,USD,2.00000000,strategy_tester_simulation
414,XAUUSD,USD,2.00000000,strategy_tester_simulation
416,XAUUSD,USD,2.00000000,strategy_tester_simulation
418,XAUUSD,USD,2.00000000,strategy_tester_simulation
420,XAUUSD,USD,2.00000000,strategy_tester_simulation
422,XAUUSD,USD,2.00000000,strategy_tester_simulation
424,XAUUSD,USD,2.00000000,strategy_tester_simulation
426,XAUUSD,USD,2.00000000,strategy_tester_simulation
428,XAUUSD,USD,2.00000000,strategy_tester_simulation
430,XAUUSD,USD,2.00000000,strategy_tester_simulation
432,XAUUSD,USD,2.00000000,strategy_tester_simulation
434,XAUUSD,USD,2.00000000,strategy_tester_simulation
436,XAUUSD,USD,2.00000000,strategy_tester_simulation
438,XAUUSD,USD,2.00000000,strategy_tester_simulation
440,XAUUSD,USD,2.00000000,strategy_tester_simulation
442,XAUUSD,USD,2.00000000,strategy_tester_simulation
444,XAUUSD,USD,2.00000000,strategy_tester_simulation
446,XAUUSD,USD,2.00000000,strategy_tester_simulation
448,XAUUSD,USD,2.00000000,strategy_tester_simulation
450,XAUUSD,USD,2.00000000,strategy_tester_simulation
452,XAUUSD,USD,2.00000000,strategy_tester_simulation
454,XAUUSD,USD,2.25000000,strategy_tester_simulation
456,XAUUSD,USD,2.25000000,strategy_tester_simulation
458,XAUUSD,USD,2.25000000,strategy_tester_simulation
460,XAUUSD,USD,2.25000000,strategy_tester_simulation
462,XAUUSD,USD,2.25000000,strategy_tester_simulation
464,XAUUSD,USD,2.25000000,strategy_tester_simulation
466,XAUUSD,USD,2.25000000,strategy_tester_simulation
468,XAUUSD,USD,2.25000000,strategy_tester_simulation
470,XAUUSD,USD,2.50000000,strategy_tester_simulation
472,XAUUSD,USD,2.25000000,strategy_tester_simulation
474,XAUUSD,USD,2.25000000,strategy_tester_simulation
476,XAUUSD,USD,2.25000000,strategy_tester_simulation
478,XAUUSD,USD,2.25000000,strategy_tester_simulation
480,XAUUSD,USD,2.25000000,strategy_tester_simulation
482,XAUUSD,USD,2.25000000,strategy_tester_simulation
484,XAUUSD,USD,2.25000000,strategy_tester_simulation
486,XAUUSD,USD,2.25000000,strategy_tester_simulation
488,XAUUSD,USD,2.25000000,strategy_tester_simulation
490,XAUUSD,USD,2.25000000,strategy_tester_simulation
492,XAUUSD,USD,2.25000000,strategy_tester_simulation
494,XAUUSD,USD,2.50000000,strategy_tester_simulation
496,XAUUSD,USD,2.50000000,strategy_tester_simulation
498,XAUUSD,USD,2.50000000,strategy_tester_simulation
500,XAUUSD,USD,2.50000000,strategy_tester_simulation
502,XAUUSD,USD,2.50000000,strategy_tester_simulation
504,XAUUSD,USD,2.50000000,strategy_tester_simulation
506,XAUUSD,USD,2.50000000,strategy_tester_simulation
508,XAUUSD,USD,2.50000000,strategy_tester_simulation
510,XAUUSD,USD,2.60000000,strategy_tester_simulation
512,XAUUSD,USD,2.60000000,strategy_tester_simulation
514,XAUUSD,USD,2.50000000,strategy_tester_simulation
516,XAUUSD,USD,2.50000000,strategy_tester_simulation
518,XAUUSD,USD,2.60000000,strategy_tester_simulation
520,XAUUSD,USD,2.60000000,strategy_tester_simulation
522,XAUUSD,USD,2.60000000,strategy_tester_simulation
524,XAUUSD,USD,2.60000000,strategy_tester_simulation
526,XAUUSD,USD,2.60000000,strategy_tester_simulation
528,XAUUSD,USD,2.60000000,strategy_tester_simulation
530,XAUUSD,USD,2.60000000,strategy_tester_simulation
532,XAUUSD,USD,2.80000000,strategy_tester_simulation
534,XAUUSD,USD,2.80000000,strategy_tester_simulation
536,XAUUSD,USD,2.80000000,strategy_tester_simulation
538,XAUUSD,USD,2.60000000,strategy_tester_simulation
540,XAUUSD,USD,2.60000000,strategy_tester_simulation
542,XAUUSD,USD,2.60000000,strategy_tester_simulation
544,XAUUSD,USD,2.60000000,strategy_tester_simulation
546,XAUUSD,USD,2.60000000,strategy_tester_simulation
548,XAUUSD,USD,2.60000000,strategy_tester_simulation
550,XAUUSD,USD,2.60000000,strategy_tester_simulation
552,XAUUSD,USD,2.75000000,strategy_tester_simulation
554,XAUUSD,USD,2.75000000,strategy_tester_simulation
556,XAUUSD,USD,2.50000000,strategy_tester_simulation
558,XAUUSD,USD,2.60000000,strategy_tester_simulation
560,XAUUSD,USD,2.80000000,strategy_tester_simulation
562,XAUUSD,USD,2.75000000,strategy_tester_simulation
564,XAUUSD,USD,2.75000000,strategy_tester_simulation
566,XAUUSD,USD,3.00000000,strategy_tester_simulation
568,XAUUSD,USD,3.00000000,strategy_tester_simulation
570,XAUUSD,USD,3.00000000,strategy_tester_simulation
572,XAUUSD,USD,3.00000000,strategy_tester_simulation
574,XAUUSD,USD,3.00000000,strategy_tester_simulation
576,XAUUSD,USD,2.80000000,strategy_tester_simulation
578,XAUUSD,USD,3.00000000,strategy_tester_simulation
580,XAUUSD,USD,3.00000000,strategy_tester_simulation
582,XAUUSD,USD,3.00000000,strategy_tester_simulation
584,XAUUSD,USD,3.00000000,strategy_tester_simulation
586,XAUUSD,USD,3.00000000,strategy_tester_simulation
588,XAUUSD,USD,3.00000000,strategy_tester_simulation
590,XAUUSD,USD,3.00000000,strategy_tester_simulation
592,XAUUSD,USD,3.00000000,strategy_tester_simulation
594,XAUUSD,USD,3.00000000,strategy_tester_simulation
596,XAUUSD,USD,3.50000000,strategy_tester_simulation
598,XAUUSD,USD,3.20000000,strategy_tester_simulation
600,XAUUSD,USD,3.20000000,strategy_tester_simulation
602,XAUUSD,USD,3.25000000,strategy_tester_simulation
604,XAUUSD,USD,3.25000000,strategy_tester_simulation
606,XAUUSD,USD,3.25000000,strategy_tester_simulation
608,XAUUSD,USD,3.25000000,strategy_tester_simulation
610,XAUUSD,USD,3.25000000,strategy_tester_simulation
612,XAUUSD,USD,3.25000000,strategy_tester_simulation
614,XAUUSD,USD,3.25000000,strategy_tester_simulation
616,XAUUSD,USD,3.50000000,strategy_tester_simulation
618,XAUUSD,USD,3.25000000,strategy_tester_simulation
620,XAUUSD,USD,3.25000000,strategy_tester_simulation
622,XAUUSD,USD,3.25000000,strategy_tester_simulation
624,XAUUSD,USD,3.25000000,strategy_tester_simulation
626,XAUUSD,USD,3.50000000,strategy_tester_simulation
628,XAUUSD,USD,3.50000000,strategy_tester_simulation
630,XAUUSD,USD,3.75000000,strategy_tester_simulation
632,XAUUSD,USD,3.75000000,strategy_tester_simulation
634,XAUUSD,USD,3.75000000,strategy_tester_simulation
636,XAUUSD,USD,3.75000000,strategy_tester_simulation
638,XAUUSD,USD,3.75000000,strategy_tester_simulation
640,XAUUSD,USD,3.75000000,strategy_tester_simulation
642,XAUUSD,USD,4.00000000,strategy_tester_simulation
644,XAUUSD,USD,4.00000000,strategy_tester_simulation
646,XAUUSD,USD,4.20000000,strategy_tester_simulation
648,XAUUSD,USD,4.40000000,strategy_tester_simulation
650,XAUUSD,USD,4.25000000,strategy_tester_simulation
652,XAUUSD,USD,4.00000000,strategy_tester_simulation
654,XAUUSD,USD,4.00000000,strategy_tester_simulation
656,XAUUSD,USD,4.00000000,strategy_tester_simulation
658,XAUUSD,USD,4.00000000,strategy_tester_simulation
660,XAUUSD,USD,4.20000000,strategy_tester_simulation
662,XAUUSD,USD,4.20000000,strategy_tester_simulation
664,XAUUSD,USD,4.20000000,strategy_tester_simulation
666,XAUUSD,USD,4.20000000,strategy_tester_simulation
668,XAUUSD,USD,4.20000000,strategy_tester_simulation
670,XAUUSD,USD,4.40000000,strategy_tester_simulation
