symbol,engine,decision_time_utc,direction,decision_close,atr14,initial_risk_price,asian_high,asian_low,volume_ratio
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-09-07 14:20:00+00:00,1,0.99284,0.0007923199985416758,0.004349231999854153,0.99039,0.9877,1.082657561530801
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-09-12 09:50:00+00:00,-1,1.0152,0.0007341449119744921,0.004433414491197274,1.00952,1.0063,1.1384774371339992
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-09-12 10:00:00+00:00,-1,1.01417,0.0007774514802229154,0.005467745148022285,1.00952,1.0063,1.939945723540226
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-09-12 12:00:00+00:00,1,1.01597,0.0007216197206179553,0.0030521619720618176,1.00952,1.0063,1.8190449064843826
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-09-14 07:00:00+00:00,1,0.99758,0.000683176892726018,0.0012466353785453022,1.00023,0.99688,2.5107120065639528
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-09-14 11:40:00+00:00,-1,0.99897,0.0006593121884607944,0.003415931218846091,1.00023,0.99688,1.283732016685111
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-09-15 10:30:00+00:00,-1,0.99776,0.0005162158525136531,0.0008032431705027321,0.99826,0.99593,2.026983270372369
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-09-15 12:20:00+00:00,-1,0.99815,0.0005872934763756738,0.0006274586952751404,0.99826,0.99593,1.4182836567313464
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-09-16 14:05:00+00:00,1,0.99832,0.0007879325163594102,0.0011075865032719179,1.00122,0.99811,1.5134346777360184
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-09-19 09:20:00+00:00,1,0.99767,0.000647746726703447,0.001089549345340668,1.00293,0.99763,1.325503355704698
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-09-20 13:55:00+00:00,1,0.99821,0.000760275277964024,0.0027760275277964874,1.00505,1.00167,1.0500083070277455
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-09-21 09:25:00+00:00,1,0.99214,0.0007023807335126715,0.002380238073351304,0.99752,0.99498,1.1442291770160624
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-09-21 09:40:00+00:00,1,0.99268,0.000739956440060991,0.0029239956440061388,0.99752,0.99498,1.139853137516689
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-09-23 09:40:00+00:00,-1,0.97405,0.0008723222664366442,0.0029472322266436146,0.98519,0.98185,1.8295302013422818
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-09-28 07:00:00+00:00,1,0.95566,0.0007646763884646215,0.0018929352776928532,0.96006,0.95424,2.18717683557394
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-09-29 12:30:00+00:00,-1,0.9697,0.0011973434810472877,0.0027494686962095116,0.97139,0.96543,1.8072061875117902
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-09-30 14:50:00+00:00,1,0.97978,0.0014128509391026485,0.0018725701878204992,0.98334,0.97945,1.4100173803128457
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-03 14:00:00+00:00,1,0.97877,0.0010130866188031798,0.002232617323760566,0.98346,0.97843,2.303759398496241
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-04 10:05:00+00:00,1,0.98885,0.00073757737457477,0.0036537577374574637,0.98493,0.98061,1.1095139221636587
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-04 10:30:00+00:00,1,0.9902,0.0007120999548885768,0.0048312099954888055,0.98493,0.98061,1.114919138909714
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-05 10:15:00+00:00,-1,0.99159,0.0007053633788030161,0.003680536337880347,0.99907,0.99595,1.0710382513661203
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-05 13:25:00+00:00,-1,0.98784,0.000896853618159252,0.004559685361815946,0.99907,0.99595,1.000394632991318
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-10 13:00:00+00:00,1,0.97217,0.0006500927380023754,0.0009300185476005529,0.97533,0.97159,1.2683354010070789
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-11 13:30:00+00:00,-1,0.97076,0.0007127620490892156,0.002561276204908869,0.9723,0.96707,1.810378033346173
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-13 09:10:00+00:00,1,0.97292,0.0005659068951519453,0.003166590689515303,0.97219,0.9695,1.5545007628411596
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-13 14:45:00+00:00,1,0.97163,0.0015424265659153072,0.006374242656591589,0.97219,0.9695,1.1037329504666187
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-13 15:05:00+00:00,1,0.97443,0.0015380928558180577,0.0070238092855818834,0.97219,0.9695,1.0380638773113502
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-14 07:50:00+00:00,1,0.97676,0.0007593706353532676,0.001411874127070556,0.98088,0.97619,1.416800920598389
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-14 11:40:00+00:00,-1,0.97212,0.0007422598776289066,0.0037342259877628514,0.98088,0.97619,1.4160042395336514
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-14 11:50:00+00:00,-1,0.97109,0.000751999588363703,0.0039751999588364395,0.98088,0.97619,1.1276824034334765
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-14 12:55:00+00:00,1,0.9773,0.0010076822803965957,0.002161536456079305,0.98088,0.97619,1.717745341906416
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-17 10:05:00+00:00,1,0.97668,0.0007079741786865573,0.003520797417868593,0.9756,0.97326,1.6879994802157106
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-17 11:00:00+00:00,-1,0.97415,0.0007007895242293786,0.0029800789524230265,0.9756,0.97326,1.0607214567610608
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-17 12:00:00+00:00,1,0.97381,0.0007194216445985028,0.0009938843289195587,0.9756,0.97326,1.7565020731247645
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-17 13:35:00+00:00,1,0.97918,0.0008017468066913956,0.0058101746806691335,0.9756,0.97326,1.4700956937799043
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-18 07:05:00+00:00,-1,0.98577,0.0007862514842391117,0.0017472502968478576,0.98664,0.98232,1.7566191446028512
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-19 10:20:00+00:00,-1,0.98035,0.0006553429146890048,0.002105534291468869,0.9867,0.98314,1.0074730141156933
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-21 07:00:00+00:00,1,0.97648,0.0004662986614446235,0.00046325973228888984,0.97834,0.97633,1.9732608851076
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-21 08:00:00+00:00,-1,0.97817,0.0006652051141917701,0.0010530410228384302,0.97834,0.97633,1.2957588240801423
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-21 13:05:00+00:00,-1,0.97832,0.0013654334840540355,0.0010130866968108831,0.97834,0.97633,2.151587548907586
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-24 11:45:00+00:00,1,0.98335,0.0008685211055077778,0.0016537042211014485,0.98678,0.98254,2.0233009708737866
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-24 13:45:00+00:00,-1,0.98623,0.0010896170267096284,0.0015479234053418223,0.98678,0.98254,1.989049876477265
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-24 14:00:00+00:00,-1,0.98653,0.0011914499299129201,0.0015182899859825794,0.98678,0.98254,1.5366522932183457
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-25 11:00:00+00:00,-1,0.98523,0.0005784826488330694,0.0022278482648833142,0.98985,0.98664,1.1899387294421153
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-25 11:55:00+00:00,1,0.98667,0.0004858875303859127,0.00043717750607719097,0.98985,0.98664,1.4228322731837966
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-28 12:00:00+00:00,1,0.99592,0.0007147141662076422,0.00088294283324164,0.99981,0.99581,1.6618170061429034
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-10-31 07:10:00+00:00,1,0.99443,0.0004341208556697661,0.0005468241711339417,0.99658,0.99432,1.9196102314250914
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-10-31 13:00:00+00:00,-1,0.9906,0.0006240851695538251,0.0032524085169552963,0.99658,0.99432,1.2104626742187998
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-01 07:00:00+00:00,-1,0.99257,0.00045461440229443235,0.0008409228804588942,0.99279,0.98824,1.6038344547884595
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-02 07:30:00+00:00,1,0.98762,0.00040643913413252613,0.0004012878268265796,0.98997,0.98746,1.5715062533985862
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-02 12:10:00+00:00,-1,0.98946,0.0005361409866261087,0.0009472281973251784,0.98997,0.98746,1.5835579514824798
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-03 14:20:00+00:00,1,0.97656,0.0009443679057479561,0.002764436790574698,0.98396,0.981,1.1411692662368071
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-07 12:20:00+00:00,-1,0.99669,0.0006787718548109618,0.002337877185481063,0.99555,0.99178,1.6559374071506388
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-08 07:05:00+00:00,1,0.99957,0.00046300837499234024,0.00041260167499845846,1.0031,0.99954,2.039668442865601
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-08 08:00:00+00:00,1,0.9997,0.000586610878437468,0.0006573221756874803,1.0031,0.99954,2.5534514355528404
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-08 09:55:00+00:00,1,1.00035,0.0006706134055431145,0.003197061340554419,1.0031,0.99954,1.1974466211754347
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-08 13:00:00+00:00,1,0.99955,0.0005862454199325329,0.00041724908398654836,1.0031,0.99954,1.6520210896309315
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-10 07:10:00+00:00,-1,1.0023,0.0004281241589289121,0.002032812415892815,1.00383,1.00103,1.691052699728085
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-10 09:55:00+00:00,-1,0.99612,0.000774974292607031,0.004197497429260788,1.00383,1.00103,1.0121935230103578
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-10 13:10:00+00:00,1,0.9954,0.0006355415181631192,0.0013135541518163318,1.00383,1.00103,1.290691967937183
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-11 07:45:00+00:00,1,1.02435,0.0007406226037147891,0.003614062260371531,1.02231,1.01632,1.1384770042724304
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-14 12:45:00+00:00,1,1.03072,0.000765353436196304,0.0018630706872393432,1.035,1.0298,1.6090117440281217
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-15 10:35:00+00:00,1,1.04324,0.0009402274816358729,0.0044840227481635075,1.03349,1.03123,1.3157279738256602
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-15 13:15:00+00:00,-1,1.03938,0.0007467994305499909,0.002214679943055131,1.03349,1.03123,1.3121902874132805
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-16 07:05:00+00:00,-1,1.03844,0.0007720326410974611,0.0013744065282195184,1.03872,1.03308,1.7075773745997866
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-16 07:25:00+00:00,-1,1.03835,0.000797487355851328,0.0008894974711701753,1.03872,1.03308,1.5722738799661877
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-17 08:05:00+00:00,-1,1.03879,0.0007019932741512242,0.001300398654830115,1.0395,1.03597,1.7990594271056006
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-17 10:45:00+00:00,-1,1.03418,0.0007740030249577864,0.0039874003024955584,1.0395,1.03597,1.6954171910861033
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-22 08:30:00+00:00,-1,1.02676,0.0006924279703396268,0.0012784855940679574,1.02682,1.0242,1.9776119402985073
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-22 11:45:00+00:00,-1,1.0271,0.0007669313088975016,0.002076693130889762,1.02682,1.0242,1.0338843730021006
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-22 12:20:00+00:00,-1,1.02584,0.0007180229190008614,0.003331802291899999,1.02682,1.0242,1.170392803064042
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-22 15:15:00+00:00,1,1.02764,0.0006727248174941471,0.002307272481749445,1.02682,1.0242,1.0786457298085206
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-23 07:00:00+00:00,-1,1.03303,0.00038569937101574887,0.00033713987420336267,1.03309,1.03006,1.3690232938291786
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-23 08:30:00+00:00,-1,1.03249,0.000639849207505314,0.001197969841501223,1.03309,1.03006,1.5942928039702233
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-23 13:35:00+00:00,-1,1.03299,0.0007123785151563745,0.001082475703031216,1.03309,1.03006,2.6578022313923277
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-11-24 08:05:00+00:00,1,1.04066,0.0005870085561907772,0.0007674017112380138,1.04486,1.04052,2.020408163265306
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-24 10:25:00+00:00,-1,1.04045,0.0006499263993451087,0.002534992639934508,1.04486,1.04052,1.1941023979261178
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-25 12:55:00+00:00,-1,1.03787,0.0005643229236875118,0.0024164322923687642,1.04293,1.03961,2.0257826887661143
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-28 11:00:00+00:00,1,1.04891,0.0008488062844992653,0.005104880628449937,1.0384,1.03412,1.32881258115712
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-11-28 12:00:00+00:00,-1,1.04615,0.0009292731831975992,0.0036329273183197675,1.0384,1.03412,1.1178097737428185
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-01 07:05:00+00:00,-1,1.04489,0.0004576416038769975,0.0006115283207752675,1.04515,1.0419,1.6916184023603977
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-02 07:20:00+00:00,-1,1.0526200000000001,0.0004821904577518601,0.0007564380915503488,1.05286,1.05053,1.8836815358554488
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-05 08:00:00+00:00,1,1.05452,0.0006438802892474433,0.0011487760578492434,1.0585,1.05395,2.5163772486222316
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-05 08:15:00+00:00,1,1.05438,0.0007490943861066427,0.0011498188772214313,1.0585,1.05395,2.21565481719159
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-06 07:00:00+00:00,1,1.0485,0.0005396049229235339,0.0009579209845846925,1.05189,1.04833,1.969198367776754
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-06 11:35:00+00:00,-1,1.05155,0.0006691534054837034,0.0008538306810967899,1.05189,1.04833,1.2596259625962596
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-07 07:25:00+00:00,1,1.0458,0.0005396533993897933,0.0010379306798780075,1.04765,1.04552,2.185792349726776
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-07 08:00:00+00:00,1,1.0456,0.000595296643072573,0.0005490593286145984,1.04765,1.04552,2.36434476860211
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-07 08:10:00+00:00,1,1.04567,0.0006381384320370609,0.0008776276864075339,1.04765,1.04552,1.6431343406820247
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-08 07:00:00+00:00,-1,1.05107,0.00038848738229361275,0.0007876974764586819,1.05153,1.0493999999999999,2.4119291705498602
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-12-08 09:40:00+00:00,-1,1.0495700000000001,0.0006376671725811142,0.003223766717257881,1.05153,1.0493999999999999,1.2381844503108235
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-08 10:30:00+00:00,1,1.04993,0.0005852798503204639,0.0009670559700640791,1.05153,1.0493999999999999,1.3428120063191153
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-12-08 12:20:00+00:00,1,1.05207,0.0005644197582575185,0.002886441975825882,1.05153,1.0493999999999999,1.3379221337922134
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-09 07:05:00+00:00,-1,1.05851,0.000405070352875514,0.00040101407057502314,1.05868,1.05519,2.046931407942238
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-09 13:45:00+00:00,1,1.0552,0.0011398011654928048,0.0014879602330983843,1.05868,1.05519,2.8219774241806066
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-12 07:00:00+00:00,-1,1.05215,0.0004122792904120366,0.0007224558580822826,1.05233,1.05059,3.107261334316255
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-12-12 11:30:00+00:00,1,1.05698,0.00048395510130465135,0.001568395510130438,1.05233,1.05059,1.2151702786377707
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-12-12 12:55:00+00:00,-1,1.05556,0.00048703934450751625,0.0019287039344506596,1.05233,1.05059,1.893731343283582
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-12-12 14:30:00+00:00,-1,1.0558,0.0005248934507965659,0.0020124893450796932,1.05233,1.05059,1.8284637134778512
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2022-12-12 14:35:00+00:00,-1,1.05547,0.0005138296328825242,0.002341382963288341,1.05233,1.05059,1.238294390399127
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-13 07:30:00+00:00,-1,1.05532,0.00043649373792381286,0.0008272987475848037,1.05543,1.05313,1.7390090718771807
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-13 08:00:00+00:00,-1,1.0553,0.0005053194064885745,0.0008910638812977822,1.05543,1.05313,1.7255080031785675
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-13 13:25:00+00:00,-1,1.05541,0.0007864181125860748,0.0010772836225172444,1.05543,1.05313,2.2736660929432015
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2022-12-14 07:00:00+00:00,-1,1.06382,0.0003768037445513373,0.0004853607489103684,1.06391,1.062,2.790970389914981
