observation_date,WIMFSL
1992-10-05,216.5
1992-10-12,234.8
1992-10-19,226.1
1992-10-26,234.1
1992-11-02,231.0
1992-11-09,228.0
1992-11-16,226.0
1992-11-23,229.5
1992-11-30,227.0
1992-12-07,222.3
1992-12-14,222.8
1992-12-21,223.7
1992-12-28,219.6
1993-01-04,212.1
1993-01-11,205.6
1993-01-18,220.0
1993-01-25,216.2
1993-02-01,227.3
1993-02-08,221.9
1993-02-15,226.8
1993-02-22,221.3
1993-03-01,226.8
1993-03-08,219.8
1993-03-15,224.5
1993-03-22,223.0
1993-03-29,224.3
1993-04-05,212.7
1993-04-12,220.8
1993-04-19,221.9
1993-04-26,226.7
1993-05-03,227.9
1993-05-10,230.1
1993-05-17,227.3
1993-05-24,229.6
1993-05-31,222.4
1993-06-07,222.2
1993-06-14,222.8
1993-06-21,224.8
1993-06-28,222.1
1993-07-05,217.2
1993-07-12,219.1
1993-07-19,224.5
1993-07-26,219.3
1993-08-02,223.3
1993-08-09,216.2
1993-08-16,220.8
1993-08-23,219.5
1993-08-30,224.2
1993-09-06,220.2
1993-09-13,223.2
1993-09-20,221.9
1993-09-27,221.6
1993-10-04,219.8
1993-10-11,219.4
1993-10-18,221.7
1993-10-25,228.0
1993-11-01,226.0
1993-11-08,223.1
1993-11-15,222.2
1993-11-22,226.9
1993-11-29,226.5
1993-12-06,224.7
1993-12-13,229.7
1993-12-20,227.8
1993-12-27,227.5
1994-01-03,224.3
1994-01-10,221.2
1994-01-17,222.1
1994-01-24,222.5
1994-01-31,226.3
1994-02-07,219.3
1994-02-14,210.1
1994-02-21,209.1
1994-02-28,208.1
1994-03-07,210.0
1994-03-14,211.9
1994-03-21,217.7
1994-03-28,217.8
1994-04-04,220.3
1994-04-11,217.3
1994-04-18,223.0
1994-04-25,217.9
1994-05-02,217.2
1994-05-09,215.7
1994-05-16,216.4
1994-05-23,216.0
1994-05-30,213.2
1994-06-06,212.5
1994-06-13,214.0
1994-06-20,212.8
1994-06-27,214.5
1994-07-04,217.6
1994-07-11,215.7
1994-07-18,213.5
1994-07-25,213.8
1994-08-01,215.3
1994-08-08,217.3
1994-08-15,217.0
1994-08-22,216.5
1994-08-29,211.6
1994-09-05,212.6
1994-09-12,213.4
1994-09-19,215.3
1994-09-26,216.1
1994-10-03,221.2
1994-10-10,221.7
1994-10-17,223.1
1994-10-24,222.0
1994-10-31,224.0
1994-11-07,225.9
1994-11-14,229.8
1994-11-21,223.2
1994-11-28,220.3
1994-12-05,220.8
1994-12-12,224.7
1994-12-19,225.4
1994-12-26,225.8
1995-01-02,229.7
1995-01-09,229.9
1995-01-16,230.8
1995-01-23,231.2
1995-01-30,232.5
1995-02-06,228.5
1995-02-13,225.0
1995-02-20,225.7
1995-02-27,228.8
1995-03-06,231.0
1995-03-13,234.3
1995-03-20,236.2
1995-03-27,239.4
1995-04-03,240.8
1995-04-10,239.7
1995-04-17,242.3
1995-04-24,243.3
1995-05-01,245.4
1995-05-08,245.6
1995-05-15,246.0
1995-05-22,251.2
1995-05-29,253.4
1995-06-05,255.7
1995-06-12,259.0
1995-06-19,261.0
1995-06-26,260.1
1995-07-03,263.4
1995-07-10,263.1
1995-07-17,268.0
1995-07-24,268.0
1995-07-31,269.1
1995-08-07,271.1
1995-08-14,266.4
1995-08-21,267.7
1995-08-28,265.7
1995-09-04,270.2
1995-09-11,270.1
1995-09-18,270.7
1995-09-25,270.2
1995-10-02,271.9
1995-10-09,272.9
1995-10-16,272.1
1995-10-23,275.0
1995-10-30,272.7
1995-11-06,275.4
1995-11-13,275.6
1995-11-20,275.6
1995-11-27,277.3
1995-12-04,280.7
1995-12-11,276.3
1995-12-18,276.6
1995-12-25,279.6
1996-01-01,284.2
1996-01-08,286.5
1996-01-15,286.7
1996-01-22,284.4
1996-01-29,281.1
1996-02-05,279.1
1996-02-12,291.1
1996-02-19,291.8
1996-02-26,298.6
1996-03-04,295.8
1996-03-11,300.5
1996-03-18,297.6
1996-03-25,298.7
1996-04-01,298.7
1996-04-08,301.5
1996-04-15,298.1
1996-04-22,300.6
1996-04-29,296.2
1996-05-06,300.6
1996-05-13,298.1
1996-05-20,297.0
1996-05-27,300.7
1996-06-03,305.7
1996-06-10,304.7
1996-06-17,306.6
1996-06-24,304.7
1996-07-01,308.7
1996-07-08,313.7
1996-07-15,314.4
1996-07-22,315.4
1996-07-29,314.4
1996-08-05,312.2
1996-08-12,321.8
1996-08-19,319.0
1996-08-26,325.5
1996-09-02,321.6
1996-09-09,324.5
1996-09-16,331.0
1996-09-23,332.6
1996-09-30,322.5
1996-10-07,328.8
1996-10-14,327.4
1996-10-21,333.0
1996-10-28,326.1
1996-11-04,330.7
1996-11-11,330.6
1996-11-18,336.0
1996-11-25,334.5
1996-12-02,335.7
1996-12-09,339.5
1996-12-16,343.9
1996-12-23,338.7
1996-12-30,339.2
1997-01-06,335.9
1997-01-13,344.3
1997-01-20,340.8
1997-01-27,345.7
1997-02-03,340.7
1997-02-10,348.0
1997-02-17,349.2
1997-02-24,356.6
1997-03-03,354.0
1997-03-10,362.7
1997-03-17,360.3
1997-03-24,363.8
1997-03-31,354.4
1997-04-07,363.4
1997-04-14,360.1
1997-04-21,359.9
1997-04-28,360.7
1997-05-05,357.9
1997-05-12,362.3
1997-05-19,369.7
1997-05-26,366.0
1997-06-02,372.6
1997-06-09,373.9
1997-06-16,373.7
1997-06-23,373.0
1997-06-30,375.8
1997-07-07,385.5
1997-07-14,381.8
1997-07-21,379.8
1997-07-28,382.8
1997-08-04,379.9
1997-08-11,386.9
1997-08-18,387.8
1997-08-25,390.7
1997-09-01,390.3
1997-09-08,397.5
1997-09-15,396.9
1997-09-22,397.4
1997-09-29,399.8
1997-10-06,402.0
1997-10-13,403.9
1997-10-20,403.9
1997-10-27,400.5
1997-11-03,407.6
1997-11-10,402.9
1997-11-17,405.7
1997-11-24,404.8
1997-12-01,406.7
1997-12-08,414.1
1997-12-15,416.6
1997-12-22,412.5
1997-12-29,416.2
1998-01-05,413.4
1998-01-12,428.4
1998-01-19,425.5
1998-01-26,424.5
1998-02-02,420.3
1998-02-09,427.1
1998-02-16,427.9
1998-02-23,431.1
1998-03-02,429.6
1998-03-09,434.6
1998-03-16,435.4
1998-03-23,437.4
1998-03-30,437.3
1998-04-06,447.2
1998-04-13,452.6
1998-04-20,449.4
1998-04-27,449.3
1998-05-04,458.2
1998-05-11,462.9
1998-05-18,461.2
1998-05-25,464.2
1998-06-01,469.0
1998-06-08,477.0
1998-06-15,476.4
1998-06-22,478.1
1998-06-29,481.9
1998-07-06,481.3
1998-07-13,486.5
1998-07-20,480.9
1998-07-27,487.5
1998-08-03,491.6
1998-08-10,498.8
1998-08-17,500.7
1998-08-24,502.1
1998-08-31,503.0
1998-09-07,517.2
1998-09-14,512.0
1998-09-21,513.9
1998-09-28,519.2
1998-10-05,521.4
1998-10-12,530.9
1998-10-19,541.4
1998-10-26,545.8
1998-11-02,552.8
1998-11-09,545.5
1998-11-16,553.6
1998-11-23,554.4
1998-11-30,566.0
1998-12-07,571.8
1998-12-14,566.7
1998-12-21,565.9
1998-12-28,565.8
1999-01-04,556.7
1999-01-11,566.4
1999-01-18,572.0
1999-01-25,577.5
1999-02-01,574.3
1999-02-08,589.3
1999-02-15,581.8
1999-02-22,591.6
1999-03-01,582.9
1999-03-08,584.8
1999-03-15,582.4
1999-03-22,588.6
1999-03-29,590.5
1999-04-05,589.6
1999-04-12,601.4
1999-04-19,607.7
1999-04-26,604.2
1999-05-03,601.8
1999-05-10,606.6
1999-05-17,608.5
1999-05-24,603.3
1999-05-31,608.7
1999-06-07,608.0
1999-06-14,607.8
1999-06-21,607.4
1999-06-28,609.5
1999-07-05,600.2
1999-07-12,608.4
1999-07-19,604.7
1999-07-26,606.4
1999-08-02,610.5
1999-08-09,616.0
1999-08-16,616.4
1999-08-23,622.2
1999-08-30,615.2
1999-09-06,619.3
1999-09-13,619.7
1999-09-20,617.0
1999-09-27,622.4
1999-10-04,621.8
1999-10-11,626.1
1999-10-18,632.5
1999-10-25,636.3
1999-11-01,643.3
1999-11-08,650.0
1999-11-15,655.7
1999-11-22,655.0
1999-11-29,652.4
1999-12-06,655.6
1999-12-13,662.0
1999-12-20,668.8
1999-12-27,675.1
2000-01-03,697.7
2000-01-10,683.6
2000-01-17,677.0
2000-01-24,685.2
2000-01-31,695.3
2000-02-07,687.5
2000-02-14,685.0
2000-02-21,687.8
2000-02-28,686.4
2000-03-06,697.2
2000-03-13,705.3
2000-03-20,703.7
2000-03-27,704.7
2000-04-03,707.1
2000-04-10,707.1
2000-04-17,710.4
2000-04-24,709.2
2000-05-01,706.2
2000-05-08,715.3
2000-05-15,718.0
2000-05-22,716.6
2000-05-29,711.9
2000-06-05,716.5
2000-06-12,718.6
2000-06-19,722.4
2000-06-26,723.0
2000-07-03,731.1
2000-07-10,743.7
2000-07-17,751.5
2000-07-24,752.3
2000-07-31,755.7
2000-08-07,763.5
2000-08-14,764.4
2000-08-21,765.6
2000-08-28,770.1
2000-09-04,778.3
2000-09-11,782.0
2000-09-18,792.5
2000-09-25,786.2
2000-10-02,790.3
2000-10-09,793.0
2000-10-16,800.5
2000-10-23,799.6
2000-10-30,792.6
2000-11-06,803.0
2000-11-13,805.7
2000-11-20,800.9
2000-11-27,802.5
2000-12-04,812.5
2000-12-11,808.8
2000-12-18,822.4
2000-12-25,826.0
2001-01-01,830.8
2001-01-08,835.7
2001-01-15,858.8
2001-01-22,875.1
2001-01-29,873.8
2001-02-05,895.8
2001-02-12,920.3
2001-02-19,933.8
2001-02-26,933.8
2001-03-05,941.9
2001-03-12,941.6
2001-03-19,936.1
2001-03-26,962.9
2001-04-02,977.6
2001-04-09,971.6
2001-04-16,977.6
2001-04-23,973.4
2001-04-30,1001.8
2001-05-07,1011.0
2001-05-14,1013.7
2001-05-21,1029.7
2001-05-28,1045.5
2001-06-04,1051.8
2001-06-11,1051.5
2001-06-18,1056.6
2001-06-25,1059.0
2001-07-02,1073.9
2001-07-09,1068.5
2001-07-16,1078.2
