symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family,exit_reason,leg_gross_json
BASKET,-1,2018-12-31T00:00:00+00:00,2019-01-02T00:00:00+00:00,-60.947832804458606,-62.447832804458606,-63.947832804458606,candidate,stop,"{""EURUSD"": -117.54349841337496, ""GBPUSD"": -138.59999999999982, ""USDJPY"": 73.29999999999899}"
BASKET,-1,2019-01-02T00:00:00+00:00,2019-01-03T00:00:00+00:00,-1.6102498733197617,-3.1102498733197614,-4.610249873319762,candidate,stop,"{""EURUSD"": 49.199999999998134, ""GBPUSD"": -174.4307496199582, ""USDJPY"": 120.40000000000077}"
BASKET,-1,2019-01-03T00:00:00+00:00,2019-01-04T00:00:00+00:00,4.400000000000609,2.9000000000006083,1.4000000000006085,candidate,friday_flat,"{""EURUSD"": 2.60000000000149, ""GBPUSD"": 94.40000000000114, ""USDJPY"": -83.80000000000081}"
BASKET,-1,2019-01-07T00:00:00+00:00,2019-01-11T00:00:00+00:00,20.80000000000067,19.30000000000067,17.80000000000067,candidate,friday_flat,"{""EURUSD"": -11.299999999998533, ""GBPUSD"": 57.000000000000384, ""USDJPY"": 16.70000000000016}"
BASKET,-1,2019-01-14T00:00:00+00:00,2019-01-15T00:00:00+00:00,-94.46999608162075,-95.96999608162075,-97.46999608162075,candidate,stop,"{""EURUSD"": -55.39999999999878, ""GBPUSD"": -177.10998824486344, ""USDJPY"": -50.900000000000034}"
BASKET,-1,2019-01-15T00:00:00+00:00,2019-01-18T00:00:00+00:00,-47.36666666666704,-48.86666666666704,-50.36666666666704,candidate,friday_flat,"{""EURUSD"": -46.90000000000083, ""GBPUSD"": 15.199999999999658, ""USDJPY"": -110.39999999999992}"
BASKET,-1,2019-01-21T00:00:00+00:00,2019-01-24T00:00:00+00:00,37.46666666666636,35.96666666666636,34.46666666666636,candidate,flat_signal,"{""EURUSD"": -62.60000000000154, ""GBPUSD"": 172.60000000000053, ""USDJPY"": 2.400000000000091}"
BASKET,-1,2019-01-29T00:00:00+00:00,2019-02-01T00:00:00+00:00,8.933333333332824,7.433333333332823,5.933333333332823,candidate,friday_flat,"{""EURUSD"": 20.899999999999253, ""GBPUSD"": 15.600000000000058, ""USDJPY"": -9.700000000000841}"
BASKET,-1,2019-02-04T00:00:00+00:00,2019-02-07T00:00:00+00:00,-87.64078950198889,-89.14078950198889,-90.64078950198889,candidate,stop,"{""EURUSD"": -103.66106191575408, ""GBPUSD"": -165.86130659021146, ""USDJPY"": 6.599999999998829}"
BASKET,-1,2019-02-07T00:00:00+00:00,2019-02-08T00:00:00+00:00,-8.36666666666718,-9.86666666666718,-11.36666666666718,candidate,friday_flat,"{""EURUSD"": -16.80000000000126, ""GBPUSD"": -12.000000000000899, ""USDJPY"": 3.700000000000614}"
