symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family
GBPUSD,1,2018-09-14,2018-09-28,-39.59999999999963,-41.09999999999963,-42.59999999999963,control
USDJPY,1,2018-09-28,2018-10-12,-149.0000000000009,-150.5000000000009,-152.0000000000009,control
GBPUSD,1,2018-10-12,2018-10-19,-88.79999999999998,-90.29999999999998,-91.79999999999998,control
USDJPY,1,2018-11-09,2018-12-07,-110.99999999999994,-112.49999999999994,-113.99999999999994,control
EURUSD,1,2018-12-07,2019-01-11,66.39999999999979,64.89999999999979,63.39999999999979,control
GBPUSD,1,2019-01-11,2019-02-15,52.400000000001334,50.900000000001334,49.400000000001334,control
USDJPY,1,2019-02-15,2019-03-15,101.60000000000053,100.10000000000053,98.60000000000053,control
GBPUSD,1,2019-03-15,2019-03-29,-262.0,-263.5,-265.0,control
EURUSD,1,2019-04-05,2019-04-12,82.89999999999908,81.39999999999908,79.89999999999908,control
USDJPY,1,2019-04-19,2019-05-03,-81.40000000000072,-82.90000000000072,-84.40000000000072,control
EURUSD,1,2019-05-24,2019-05-31,-36.800000000001276,-38.300000000001276,-39.800000000001276,control
EURUSD,1,2019-06-07,2019-07-12,-62.300000000001795,-63.800000000001795,-65.3000000000018,control
USDJPY,1,2019-07-12,2019-07-19,-19.40000000000026,-20.90000000000026,-22.40000000000026,control
USDJPY,1,2019-07-26,2019-08-02,-205.70000000000022,-207.20000000000022,-208.70000000000022,control
GBPUSD,1,2019-08-30,2019-09-27,124.59999999999916,123.09999999999916,121.59999999999916,control
USDJPY,1,2019-09-27,2019-10-04,-102.89999999999964,-104.39999999999964,-105.89999999999964,control
GBPUSD,1,2019-10-11,2019-11-15,251.69999999999914,250.19999999999914,248.69999999999914,control
GBPUSD,1,2019-11-22,2019-11-29,89.90000000000053,88.40000000000053,86.90000000000053,control
USDJPY,1,2019-11-29,2019-12-06,-92.1999999999997,-93.6999999999997,-95.1999999999997,control
GBPUSD,1,2019-12-06,2019-12-27,-49.5000000000001,-51.0000000000001,-52.5000000000001,control
EURUSD,1,2019-12-27,2020-01-03,-20.199999999999108,-21.699999999999108,-23.199999999999108,control
GBPUSD,1,2020-01-03,2020-01-10,-10.600000000000609,-12.100000000000609,-13.600000000000609,control
USDJPY,1,2020-01-10,2020-01-24,-22.19999999999942,-23.69999999999942,-25.19999999999942,control
GBPUSD,1,2020-01-24,2020-01-31,137.4999999999993,135.9999999999993,134.4999999999993,control
USDJPY,1,2020-01-31,2020-02-14,142.6000000000002,141.1000000000002,139.6000000000002,control
USDJPY,1,2020-02-21,2020-03-06,-621.8000000000003,-623.3000000000003,-624.8000000000003,control
EURUSD,1,2020-03-06,2020-03-20,-596.6000000000005,-598.1000000000005,-599.6000000000005,control
EURUSD,1,2020-03-27,2020-04-03,-330.3999999999996,-331.8999999999996,-333.3999999999996,control
USDJPY,1,2020-04-03,2020-04-17,-90.50000000000011,-92.00000000000011,-93.50000000000011,control
GBPUSD,1,2020-04-17,2020-05-08,-98.19999999999939,-99.69999999999939,-101.19999999999939,control
EURUSD,1,2020-05-22,2020-07-03,345.9999999999996,344.4999999999996,342.9999999999996,control
USDJPY,1,2020-07-10,2020-07-17,10.200000000000387,8.700000000000387,7.2000000000003865,control
EURUSD,1,2020-07-17,2020-08-14,415.4999999999997,413.9999999999997,412.4999999999997,control
GBPUSD,1,2020-08-14,2020-08-28,260.89999999999947,259.39999999999947,257.89999999999947,control
USDJPY,1,2020-08-28,2020-09-04,89.39999999999912,87.89999999999912,86.39999999999912,control
GBPUSD,1,2020-09-04,2020-09-11,-479.70000000000067,-481.20000000000067,-482.70000000000067,control
EURUSD,1,2020-09-11,2020-09-18,-4.60000000000127,-6.10000000000127,-7.60000000000127,control
GBPUSD,1,2020-10-09,2020-10-16,-141.4000000000004,-142.9000000000004,-144.4000000000004,control
USDJPY,1,2020-10-16,2020-10-23,-68.80000000000024,-70.30000000000024,-71.80000000000024,control
GBPUSD,1,2020-10-23,2020-12-04,390.69999999999936,389.19999999999936,387.69999999999936,control
EURUSD,1,2020-12-04,2021-01-08,101.70000000000012,100.20000000000012,98.70000000000012,control
GBPUSD,1,2021-01-08,2021-01-29,137.4999999999993,135.9999999999993,134.4999999999993,control
USDJPY,1,2021-01-29,2021-02-12,20.10000000000076,18.60000000000076,17.10000000000076,control
GBPUSD,1,2021-02-12,2021-02-19,151.00000000000114,149.50000000000114,148.00000000000114,control
USDJPY,1,2021-02-19,2021-02-26,113.10000000000002,111.60000000000002,110.10000000000002,control
GBPUSD,1,2021-02-26,2021-03-05,-98.10000000000096,-99.60000000000096,-101.10000000000096,control
USDJPY,1,2021-03-05,2021-04-16,41.40000000000015,39.90000000000015,38.40000000000015,control
EURUSD,1,2021-04-16,2021-05-14,163.19999999999888,161.69999999999888,160.19999999999888,control
GBPUSD,1,2021-05-14,2021-06-18,-300.10000000000093,-301.60000000000093,-303.10000000000093,control
USDJPY,1,2021-06-18,2021-07-16,-12.999999999999545,-14.499999999999545,-15.999999999999545,control
GBPUSD,1,2021-07-30,2021-08-13,-37.10000000000102,-38.60000000000102,-40.10000000000102,control
USDJPY,1,2021-08-13,2021-08-20,20.700000000000784,19.200000000000784,17.700000000000784,control
USDJPY,1,2021-08-27,2021-09-03,-13.799999999999102,-15.299999999999102,-16.799999999999102,control
EURUSD,1,2021-09-03,2021-09-17,-152.20000000000232,-153.70000000000232,-155.20000000000232,control
GBPUSD,1,2021-09-17,2021-09-24,-56.199999999999584,-57.699999999999584,-59.199999999999584,control
USDJPY,1,2021-09-24,2021-10-29,322.5999999999999,321.0999999999999,319.5999999999999,control
GBPUSD,1,2021-10-29,2021-11-05,-196.69999999999854,-198.19999999999854,-199.69999999999854,control
USDJPY,1,2021-11-05,2021-12-03,-55.59999999999974,-57.09999999999974,-58.59999999999974,control
EURUSD,1,2021-12-24,2021-12-31,55.800000000001404,54.300000000001404,52.800000000001404,control
USDJPY,1,2021-12-31,2022-01-07,46.30000000000081,44.80000000000081,43.30000000000081,control
GBPUSD,1,2022-01-07,2022-01-28,-196.1999999999997,-197.6999999999997,-199.1999999999997,control
USDJPY,1,2022-01-28,2022-02-04,-5.19999999999925,-6.69999999999925,-8.19999999999925,control
EURUSD,1,2022-02-04,2022-02-11,-103.6999999999999,-105.1999999999999,-106.6999999999999,control
USDJPY,1,2022-02-11,2022-02-25,9.399999999999409,7.899999999999409,6.399999999999409,control
EURUSD,1,2022-02-25,2022-03-04,-341.0999999999986,-342.5999999999986,-344.0999999999986,control
USDJPY,1,2022-03-04,2022-05-20,1307.0000000000007,1305.5000000000007,1304.0000000000007,control
EURUSD,1,2022-05-27,2022-06-10,-210.2000000000004,-211.7000000000004,-213.2000000000004,control
USDJPY,1,2022-06-10,2022-07-29,-113.00000000000239,-114.50000000000239,-116.00000000000239,control
GBPUSD,1,2022-07-29,2022-08-19,-356.9,-358.4,-359.9,control
USDJPY,1,2022-08-26,2022-10-28,996.8999999999994,995.3999999999994,993.8999999999994,control
GBPUSD,1,2022-10-28,2022-11-04,-240.70000000000036,-242.20000000000036,-243.70000000000036,control
USDJPY,1,2022-11-04,2022-11-11,-788.8000000000005,-790.3000000000005,-791.8000000000005,control
EURUSD,1,2022-11-11,2022-11-25,40.90000000000149,39.40000000000149,37.90000000000149,control
GBPUSD,1,2022-11-25,2022-12-23,-43.50000000000076,-45.00000000000076,-46.50000000000076,control
EURUSD,1,2022-12-23,2023-01-06,26.399999999999757,24.899999999999757,23.399999999999757,control
EURUSD,1,2023-01-13,2023-01-20,23.400000000000087,21.900000000000087,20.400000000000087,control
GBPUSD,1,2023-01-20,2023-02-03,-348.69999999999953,-350.19999999999953,-351.69999999999953,control
EURUSD,1,2023-02-03,2023-02-10,-115.00000000000065,-116.50000000000065,-118.00000000000065,control
USDJPY,1,2023-02-10,2023-03-17,44.79999999999791,43.29999999999791,41.79999999999791,control
GBPUSD,1,2023-03-17,2023-04-14,237.60000000000002,236.10000000000002,234.60000000000002,control
EURUSD,1,2023-04-14,2023-04-21,-5.20000000000076,-6.70000000000076,-8.20000000000076,control
USDJPY,1,2023-04-21,2023-04-28,215.29999999999916,213.79999999999916,212.29999999999916,control
EURUSD,1,2023-04-28,2023-05-05,1.8999999999991246,0.3999999999991246,-1.1000000000008754,control
USDJPY,1,2023-05-05,2023-06-16,705.0000000000011,703.5000000000011,702.0000000000011,control
GBPUSD,1,2023-06-16,2023-06-30,-127.20000000000064,-128.70000000000064,-130.20000000000064,control
USDJPY,1,2023-06-30,2023-07-14,-548.6999999999995,-550.1999999999995,-551.6999999999995,control
GBPUSD,1,2023-07-14,2023-07-21,-246.20000000000084,-247.70000000000084,-249.20000000000084,control
EURUSD,1,2023-07-21,2023-07-28,-110.50000000000004,-112.00000000000004,-113.50000000000004,control
GBPUSD,1,2023-07-28,2023-08-04,-101.40000000000038,-102.90000000000038,-104.40000000000038,control
EURUSD,1,2023-08-04,2023-08-11,-60.39999999999823,-61.89999999999823,-63.39999999999823,control
USDJPY,1,2023-08-11,2023-11-10,657.8999999999979,656.3999999999979,654.8999999999979,control
EURUSD,1,2023-11-10,2023-11-24,251.70000000000135,250.20000000000135,248.70000000000135,control
GBPUSD,1,2023-11-24,2023-12-29,134.4999999999996,132.9999999999996,131.4999999999996,control
EURUSD,1,2023-12-29,2024-01-12,-86.29999999999914,-87.79999999999914,-89.29999999999914,control
