family,symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,exit_reason,leg_gross_json
candidate,BASKET,-1,2018-07-24T00:00:00+00:00,2018-07-25T00:00:00+00:00,36.133333333332814,34.633333333332814,33.133333333332814,flat_signal,"{""EURUSD"": 42.40000000000021, ""GBPUSD"": 43.199999999998795, ""USDJPY"": 22.799999999999443}"
candidate,BASKET,-1,2018-07-26T00:00:00+00:00,2018-07-27T00:00:00+00:00,11.466666666666853,9.966666666666855,8.466666666666855,friday_flat,"{""EURUSD"": 14.200000000001989, ""GBPUSD"": -0.8000000000008001, ""USDJPY"": 20.999999999999375}"
candidate,BASKET,1,2018-07-30T00:00:00+00:00,2018-07-31T00:00:00+00:00,34.66666666666726,33.16666666666726,31.666666666667258,flat_signal,"{""EURUSD"": 14.400000000001079, ""GBPUSD"": 9.300000000000974, ""USDJPY"": 80.29999999999973}"
candidate,BASKET,1,2018-08-13T00:00:00+00:00,2018-08-14T00:00:00+00:00,48.76666666666667,47.26666666666667,45.76666666666667,flat_signal,"{""EURUSD"": 65.99999999999939, ""GBPUSD"": 38.10000000000091, ""USDJPY"": 42.199999999999704}"
candidate,BASKET,-1,2018-08-15T00:00:00+00:00,2018-08-16T00:00:00+00:00,9.933333333332506,8.433333333332506,6.933333333332506,rebalance,"{""EURUSD"": 31.399999999999206, ""GBPUSD"": 13.799999999999368, ""USDJPY"": -15.400000000001057}"
candidate,BASKET,1,2018-08-16T00:00:00+00:00,2018-08-17T00:00:00+00:00,-47.89999999999947,-49.39999999999947,-50.89999999999947,friday_flat,"{""EURUSD"": -62.29999999999958, ""GBPUSD"": -41.49999999999876, ""USDJPY"": -39.90000000000009}"
candidate,BASKET,-1,2018-08-27T00:00:00+00:00,2018-08-29T00:00:00+00:00,33.96666666666679,32.46666666666679,30.966666666666793,flat_signal,"{""EURUSD"": 28.600000000000847, ""GBPUSD"": 133.6000000000004, ""USDJPY"": -60.300000000000864}"
candidate,BASKET,-1,2018-08-30T00:00:00+00:00,2018-08-31T00:00:00+00:00,-43.36666666666721,-44.86666666666721,-46.36666666666721,friday_flat,"{""EURUSD"": -67.60000000000099, ""GBPUSD"": -50.60000000000064, ""USDJPY"": -11.899999999999977}"
candidate,BASKET,-1,2018-09-12T00:00:00+00:00,2018-09-13T00:00:00+00:00,19.86666666666664,18.36666666666664,16.86666666666664,flat_signal,"{""EURUSD"": 64.50000000000067, ""GBPUSD"": 61.40000000000034, ""USDJPY"": -66.30000000000109}"
candidate,BASKET,1,2018-09-18T00:00:00+00:00,2018-09-19T00:00:00+00:00,-3.799999999999789,-5.299999999999788,-6.799999999999788,rebalance,"{""EURUSD"": -6.999999999999229, ""GBPUSD"": 4.899999999998794, ""USDJPY"": -9.299999999998931}"
