symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family,carry
EURUSD,-1,2023-06-30T00:00:00+00:00,2023-06-30T08:00:00+00:00,33.49999999999964,31.999999999999638,30.499999999999638,candidate,-1.5599999999999996
EURUSD,-1,2023-07-03T00:00:00+00:00,2023-07-03T08:00:00+00:00,14.899999999999913,13.399999999999913,11.899999999999913,candidate,-1.58
EURUSD,-1,2023-07-04T00:00:00+00:00,2023-07-04T08:00:00+00:00,13.999999999998458,12.499999999998458,10.999999999998458,candidate,-1.5599999999999996
EURUSD,-1,2023-07-05T00:00:00+00:00,2023-07-05T08:00:00+00:00,-1.2999999999996348,-2.799999999999635,-4.299999999999635,candidate,-1.58
EURUSD,-1,2023-07-06T00:00:00+00:00,2023-07-06T08:00:00+00:00,-15.100000000001224,-16.600000000001224,-18.100000000001224,candidate,-1.5599999999999996
EURUSD,-1,2023-07-07T00:00:00+00:00,2023-07-07T08:00:00+00:00,7.699999999999374,6.199999999999374,4.699999999999374,candidate,-1.5599999999999996
EURUSD,-1,2023-07-10T00:00:00+00:00,2023-07-10T08:00:00+00:00,-0.5999999999994898,-2.09999999999949,-3.59999999999949,candidate,-1.58
EURUSD,-1,2023-07-11T00:00:00+00:00,2023-07-11T08:00:00+00:00,3.9999999999995595,2.4999999999995595,0.9999999999995595,candidate,-1.5599999999999996
EURUSD,-1,2023-07-12T00:00:00+00:00,2023-07-12T08:00:00+00:00,-3.60000000000138,-5.10000000000138,-6.60000000000138,candidate,-1.5599999999999996
EURUSD,-1,2023-07-13T00:00:00+00:00,2023-07-13T08:00:00+00:00,-22.900000000001253,-24.400000000001253,-25.900000000001253,candidate,-1.5499999999999998
EURUSD,-1,2023-07-14T00:00:00+00:00,2023-07-14T08:00:00+00:00,-8.599999999998609,-10.099999999998609,-11.599999999998609,candidate,-1.5599999999999996
EURUSD,-1,2023-07-17T00:00:00+00:00,2023-07-17T08:00:00+00:00,-13.399999999998968,-14.899999999998968,-16.39999999999897,candidate,-1.58
EURUSD,-1,2023-07-18T00:00:00+00:00,2023-07-18T08:00:00+00:00,4.899999999998794,3.399999999998794,1.8999999999987942,candidate,-1.5599999999999996
EURUSD,-1,2023-07-19T00:00:00+00:00,2023-07-19T08:00:00+00:00,-2.6999999999999247,-4.199999999999925,-5.699999999999925,candidate,-1.5599999999999996
EURUSD,-1,2023-07-20T00:00:00+00:00,2023-07-20T08:00:00+00:00,9.600000000000719,8.100000000000719,6.600000000000719,candidate,-1.5499999999999998
EURUSD,-1,2023-07-21T00:00:00+00:00,2023-07-21T08:00:00+00:00,9.200000000000319,7.700000000000319,6.200000000000319,candidate,-1.5599999999999996
EURUSD,-1,2023-07-24T00:00:00+00:00,2023-07-24T08:00:00+00:00,58.80000000000107,57.30000000000107,55.80000000000107,candidate,-1.58
EURUSD,-1,2023-07-25T00:00:00+00:00,2023-07-25T08:00:00+00:00,2.500000000000835,1.0000000000008349,-0.4999999999991651,candidate,-1.5499999999999998
EURUSD,-1,2023-07-26T00:00:00+00:00,2023-07-26T08:00:00+00:00,-29.999999999998916,-31.499999999998916,-32.99999999999892,candidate,-1.5599999999999996
