symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family,d_spec_oi,exit_reason
GBPUSD,-1,2025-09-01,2025-09-05,-11.900000000000244,-13.400000000000244,-14.900000000000244,candidate,-0.02908970196356625,friday_flat
USDJPY,-1,2025-09-01,2025-09-02,-163.66071428571445,-165.16071428571445,-166.66071428571445,candidate,0.021221940531555884,stop
EURUSD,1,2025-09-08,2025-09-12,25.100000000000122,23.600000000000122,22.100000000000122,candidate,0.3987436358570379,friday_flat
GBPUSD,-1,2025-09-08,2025-09-12,-52.50000000000199,-54.00000000000199,-55.50000000000199,candidate,-0.03809889726502294,friday_flat
USDJPY,1,2025-09-08,2025-09-09,-170.55000000000007,-172.05000000000007,-173.55000000000007,candidate,-0.03442132630374485,stop
EURUSD,-1,2025-09-15,2025-09-16,-104.0892857142861,-105.5892857142861,-107.0892857142861,candidate,-0.01901723970000974,stop
GBPUSD,1,2025-09-15,2025-09-19,-61.80000000000074,-63.30000000000074,-64.80000000000075,candidate,0.019694684386411008,friday_flat
USDJPY,-1,2025-09-15,2025-09-19,-44.99999999999886,-46.49999999999886,-47.99999999999886,candidate,0.06001231745939012,friday_flat
EURUSD,-1,2025-09-22,2025-09-26,34.800000000001496,33.300000000001496,31.800000000001496,candidate,-0.8079066527342389,friday_flat
GBPUSD,1,2025-09-22,2025-09-26,-64.80000000000041,-66.30000000000041,-67.80000000000041,candidate,0.1363018108480329,friday_flat
USDJPY,1,2025-09-22,2025-09-26,164.1999999999996,162.6999999999996,161.1999999999996,candidate,-0.0830418530138175,friday_flat
EURUSD,1,2025-09-29,2025-10-03,41.70000000000007,40.20000000000007,38.70000000000007,candidate,0.05405084343074364,friday_flat
GBPUSD,1,2025-09-29,2025-10-03,90.19999999999806,88.69999999999806,87.19999999999806,candidate,0.017747012857792302,friday_flat
USDJPY,-1,2025-09-29,2025-10-03,192.50000000000114,191.00000000000114,189.50000000000114,candidate,0.01792231512167103,friday_flat
EURUSD,1,2025-10-06,2025-10-08,-113.7750000000004,-115.2750000000004,-116.7750000000004,candidate,0.5261810869394897,stop
GBPUSD,-1,2025-10-06,2025-10-10,79.499999999999,77.999999999999,76.499999999999,candidate,-0.03360479803556129,friday_flat
USDJPY,1,2025-10-06,2025-10-10,172.20000000000084,170.70000000000084,169.20000000000084,candidate,-0.023545112868035498,friday_flat
EURUSD,-1,2025-10-13,2025-10-17,-107.5071428571439,-109.0071428571439,-110.5071428571439,candidate,-1.147105561861521,stop
GBPUSD,1,2025-10-13,2025-10-17,81.99999999999984,80.49999999999984,78.99999999999984,candidate,0.05514845485760452,friday_flat
EURUSD,1,2025-10-20,2025-10-24,-36.89999999999971,-38.39999999999971,-39.89999999999971,candidate,0.017848804026358116,friday_flat
GBPUSD,-1,2025-10-20,2025-10-24,117.70000000000057,116.20000000000057,114.70000000000057,candidate,-0.038476759851801955,friday_flat
EURUSD,-1,2025-10-27,2025-10-31,92.9000000000002,91.4000000000002,89.9000000000002,candidate,-0.07655329267031945,friday_flat
GBPUSD,-1,2025-10-27,2025-10-31,174.10000000000147,172.60000000000147,171.10000000000147,candidate,-0.036220897363416764,friday_flat
USDJPY,-1,2025-10-27,2025-10-31,-94.70000000000027,-96.20000000000027,-97.70000000000027,candidate,0.06579986929762102,friday_flat
EURUSD,1,2025-11-03,2025-11-07,34.600000000000186,33.100000000000186,31.600000000000186,candidate,0.04964393667708387,friday_flat
GBPUSD,-1,2025-11-03,2025-11-07,-36.89999999999971,-38.39999999999971,-39.89999999999971,candidate,-0.04804165759840076,friday_flat
EURUSD,-1,2025-11-10,2025-11-13,-80.53928571428503,-82.03928571428503,-83.53928571428503,candidate,-0.04153354632587859,stop
GBPUSD,-1,2025-11-10,2025-11-13,-54.30000000000046,-55.80000000000046,-57.30000000000046,candidate,-0.18098162905982276,next_cot
USDJPY,1,2025-11-10,2025-11-13,86.89999999999998,85.39999999999998,83.89999999999998,candidate,-0.043922467296858586,next_cot
GBPUSD,-1,2025-11-14,2025-11-14,14.600000000002389,13.100000000002389,11.600000000002389,candidate,-0.05885654336566255,friday_flat
EURUSD,1,2025-11-24,2025-11-28,88.59999999999867,87.09999999999867,85.59999999999867,candidate,0.04135954135954136,friday_flat
USDJPY,1,2025-11-24,2025-11-28,-16.70000000000016,-18.20000000000016,-19.70000000000016,candidate,-0.03921009178767423,friday_flat
EURUSD,1,2025-12-01,2025-12-05,53.29999999999835,51.79999999999835,50.29999999999835,candidate,0.035194848451204616,friday_flat
GBPUSD,-1,2025-12-01,2025-12-03,-118.49999999999916,-119.99999999999916,-121.49999999999916,candidate,-0.048163524005704325,stop
USDJPY,-1,2025-12-01,2025-12-05,72.49999999999943,70.99999999999943,69.49999999999943,candidate,0.028764299401893036,friday_flat
EURUSD,1,2025-12-08,2025-12-12,107.00000000000153,105.50000000000153,104.00000000000153,candidate,0.04523966578715919,friday_flat
GBPUSD,1,2025-12-08,2025-12-12,49.5000000000001,48.0000000000001,46.5000000000001,candidate,0.04362707160203891,friday_flat
USDJPY,1,2025-12-08,2025-12-12,67.1999999999997,65.6999999999997,64.1999999999997,candidate,-0.01523075325622564,friday_flat
EURUSD,-1,2025-12-15,2025-12-19,18.499999999999073,16.999999999999073,15.499999999999073,candidate,-0.03263323191677299,friday_flat
GBPUSD,1,2025-12-15,2025-12-19,1.1999999999989797,-0.30000000000102034,-1.8000000000010203,candidate,0.03170229088010108,friday_flat
USDJPY,1,2025-12-15,2025-12-19,191.80000000000064,190.30000000000064,188.80000000000064,candidate,-0.04869622015573165,friday_flat
EURUSD,-1,2025-12-22,2025-12-23,-78.21428571428645,-79.71428571428645,-81.21428571428645,candidate,-0.025688347964884277,stop
GBPUSD,1,2025-12-22,2025-12-26,141.20000000000132,139.70000000000132,138.20000000000132,candidate,0.11011910038258206,friday_flat
USDJPY,1,2025-12-22,2025-12-23,-166.41428571428492,-167.91428571428492,-169.41428571428492,candidate,-0.03089978639851032,stop
GBPUSD,1,2025-12-29,2026-01-02,-16.700000000000603,-18.200000000000603,-19.700000000000603,candidate,0.036006298831082306,friday_flat
USDJPY,1,2025-12-29,2026-01-02,39.19999999999959,37.69999999999959,36.19999999999959,candidate,-0.020741255208991033,friday_flat
EURUSD,-1,2026-01-05,2026-01-07,44.800000000000395,43.300000000000395,41.800000000000395,candidate,-0.01849511774842045,next_cot
GBPUSD,1,2026-01-05,2026-01-07,10.699999999999044,9.199999999999044,7.699999999999044,candidate,0.04933087758860834,next_cot
USDJPY,-1,2026-01-05,2026-01-07,-6.100000000000705,-7.600000000000705,-9.100000000000705,candidate,0.03184544196384885,next_cot
GBPUSD,1,2022-01-17,2022-01-21,-116.74285714285747,-118.24285714285747,-119.74285714285747,control,0.058964652132493404,stop
USDJPY,-1,2022-01-17,2022-01-18,-88.63928571428517,-90.13928571428517,-91.63928571428517,control,-0.057524411871541205,stop
EURUSD,-1,2022-01-24,2022-01-28,190.20000000000036,188.70000000000036,187.20000000000036,control,-0.017145676575798692,friday_flat
GBPUSD,-1,2022-01-24,2022-01-28,150.50000000000006,149.00000000000006,147.50000000000006,control,0.14870056867175305,friday_flat
USDJPY,-1,2022-01-24,2022-01-26,-102.71785714285642,-104.21785714285642,-105.71785714285642,control,0.10515310672876821,stop
EURUSD,-1,2022-01-31,2022-01-31,-103.26428571428625,-104.76428571428625,-106.26428571428625,control,0.5525188223051968,stop
GBPUSD,-1,2022-01-31,2022-02-01,-118.84285714285791,-120.34285714285791,-121.84285714285791,control,-0.057696110744891234,stop
USDJPY,1,2022-01-31,2022-02-02,-101.9357142857146,-103.4357142857146,-104.9357142857146,control,0.06875600262851944,stop
EURUSD,1,2022-02-07,2022-02-11,-119.81785714285874,-121.31785714285874,-122.81785714285874,control,-0.7249950367282112,stop
GBPUSD,1,2022-02-07,2022-02-11,26.500000000000412,25.000000000000412,23.500000000000412,control,-0.06928540762036227,friday_flat
EURUSD,-1,2022-02-14,2022-02-18,14.899999999999913,13.399999999999913,11.899999999999913,control,-0.033448536129980534,friday_flat
GBPUSD,-1,2022-02-14,2022-02-18,-48.799999999999955,-50.299999999999955,-51.799999999999955,control,0.07323640552064178,friday_flat
USDJPY,1,2022-02-14,2022-02-18,-29.20000000000016,-30.70000000000016,-32.20000000000016,control,0.021697085678803733,friday_flat
EURUSD,-1,2022-02-21,2022-02-25,42.90000000000127,41.40000000000127,39.90000000000127,control,-0.02641478573765129,friday_flat
GBPUSD,1,2022-02-21,2022-02-24,-122.75357142857101,-124.25357142857101,-125.75357142857101,control,0.06895474700719911,stop
USDJPY,-1,2022-02-21,2022-02-25,-52.199999999999136,-53.699999999999136,-55.199999999999136,control,-0.08158455559734236,friday_flat
GBPUSD,-1,2022-02-28,2022-03-04,88.60000000000089,87.10000000000089,85.60000000000089,control,-0.02218708044342321,friday_flat
USDJPY,1,2022-02-28,2022-03-04,-37.09999999999951,-38.59999999999951,-40.09999999999951,control,0.05498818039954885,friday_flat
EURUSD,-1,2022-03-07,2022-03-09,-152.4964285714292,-153.9964285714292,-155.4964285714292,control,0.02883309402770771,stop
GBPUSD,-1,2022-03-07,2022-03-11,176.60000000000008,175.10000000000008,173.60000000000008,control,-0.03695207887892991,friday_flat
EURUSD,-1,2022-03-14,2022-03-17,-195.43928571428503,-196.93928571428503,-198.43928571428503,control,0.07325980301744808,stop
GBPUSD,-1,2022-03-14,2022-03-17,-177.49285714285577,-178.99285714285577,-180.49285714285577,control,-0.07841274481145864,stop
USDJPY,1,2022-03-14,2022-03-18,182.20000000000027,180.70000000000027,179.20000000000027,control,0.01810880617970798,friday_flat
GBPUSD,1,2022-03-21,2022-03-25,14.700000000000824,13.200000000000824,11.700000000000824,control,-0.08371786770601573,friday_flat
USDJPY,1,2022-03-21,2022-03-25,298.6999999999995,297.1999999999995,295.6999999999995,control,-0.0582827495312877,friday_flat
EURUSD,-1,2022-03-28,2022-03-30,-156.8785714285714,-158.3785714285714,-159.8785714285714,control,0.448736855604001,stop
GBPUSD,1,2022-03-28,2022-04-01,-59.80000000000096,-61.30000000000096,-62.80000000000096,control,0.024367437867887507,friday_flat
USDJPY,1,2022-03-28,2022-04-01,55.49999999999926,53.99999999999926,52.49999999999926,control,-0.13178175899702282,friday_flat
GBPUSD,-1,2022-04-04,2022-04-08,49.89999999999828,48.39999999999828,46.89999999999828,control,0.06732779176787823,friday_flat
USDJPY,-1,2022-04-04,2022-04-08,-201.06428571428552,-202.56428571428552,-204.06428571428552,control,-0.057109362614623405,stop
EURUSD,-1,2022-04-11,2022-04-15,104.60000000000136,103.10000000000136,101.60000000000136,control,-0.6790268019776217,friday_flat
GBPUSD,-1,2022-04-11,2022-04-15,-37.4999999999992,-38.9999999999992,-40.4999999999992,control,-0.03755886278361159,friday_flat
USDJPY,1,2022-04-11,2022-04-15,234.29999999999893,232.79999999999893,231.29999999999893,control,-0.016935227502611293,friday_flat
