symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family,delta_carry
EURUSD,-1,2018-07-06T00:00:00+00:00,2018-07-06T16:00:00+00:00,-52.90000000000017,-54.40000000000017,-55.90000000000017,candidate,0.08999999999999986
EURUSD,-1,2018-07-09T00:00:00+00:00,2018-07-11T00:00:00+00:00,29.300000000000992,27.800000000000992,26.300000000000992,candidate,-0.06000000000000005
EURUSD,-1,2018-08-02T00:00:00+00:00,2018-08-03T16:00:00+00:00,66.89999999999863,65.39999999999863,63.89999999999863,candidate,-0.050000000000000266
EURUSD,-1,2018-08-20T00:00:00+00:00,2018-08-22T00:00:00+00:00,-144.29999999999941,-145.79999999999941,-147.29999999999941,candidate,0.0900000000000003
EURUSD,-1,2018-09-03T00:00:00+00:00,2018-09-05T00:00:00+00:00,11.300000000000754,9.800000000000754,8.300000000000754,candidate,0.06000000000000005
EURUSD,-1,2018-09-19T00:00:00+00:00,2018-09-21T00:00:00+00:00,-116.09999999999897,-117.59999999999897,-119.09999999999897,candidate,-0.08000000000000007
EURUSD,-1,2018-10-01T00:00:00+00:00,2018-10-03T00:00:00+00:00,62.499999999998664,60.999999999998664,59.499999999998664,candidate,-0.2400000000000002
EURUSD,-1,2018-11-05T00:00:00+00:00,2018-11-07T00:00:00+00:00,-30.599999999998406,-32.0999999999984,-33.5999999999984,candidate,0.06000000000000005
EURUSD,-1,2018-11-19T00:00:00+00:00,2018-11-21T00:00:00+00:00,41.89999999999916,40.39999999999916,38.89999999999916,candidate,-0.07999999999999963
EURUSD,-1,2018-12-03T00:00:00+00:00,2018-12-05T00:00:00+00:00,2.60000000000149,1.10000000000149,-0.39999999999851,candidate,-0.050000000000000266
EURUSD,-1,2018-12-07T00:00:00+00:00,2018-12-07T16:00:00+00:00,-18.700000000000383,-20.200000000000383,-21.700000000000383,candidate,0.06999999999999984
EURUSD,-1,2018-12-10T00:00:00+00:00,2018-12-12T00:00:00+00:00,106.40000000000204,104.90000000000204,103.40000000000204,candidate,-0.13999999999999968
EURUSD,-1,2018-12-19T00:00:00+00:00,2018-12-21T00:00:00+00:00,-70.79999999999976,-72.29999999999976,-73.79999999999976,candidate,-0.1200000000000001
EURUSD,-1,2018-12-24T00:00:00+00:00,2018-12-27T04:00:00+00:00,-2.5999999999992696,-4.09999999999927,-5.59999999999927,candidate,-0.11000000000000032
EURUSD,-1,2018-12-31T00:00:00+00:00,2019-01-03T04:00:00+00:00,77.79999999999897,76.29999999999897,74.79999999999897,candidate,0.06000000000000005
EURUSD,-1,2019-01-04T00:00:00+00:00,2019-01-04T16:00:00+00:00,-1.40000000000029,-2.90000000000029,-4.40000000000029,candidate,-0.75
EURUSD,-1,2019-01-07T00:00:00+00:00,2019-01-09T00:00:00+00:00,-36.70000000000062,-38.20000000000062,-39.70000000000062,candidate,0.44999999999999973
EURUSD,-1,2019-01-17T00:00:00+00:00,2019-01-18T16:00:00+00:00,35.89999999999982,34.39999999999982,32.89999999999982,candidate,-0.06000000000000005
EURUSD,-1,2019-02-04T00:00:00+00:00,2019-02-06T00:00:00+00:00,57.200000000001694,55.700000000001694,54.200000000001694,candidate,-0.18999999999999995
EURUSD,-1,2019-03-04T00:00:00+00:00,2019-03-06T00:00:00+00:00,65.90000000000096,64.40000000000096,62.90000000000096,candidate,-0.20999999999999996
EURUSD,-1,2019-03-18T00:00:00+00:00,2019-03-20T00:00:00+00:00,-23.199999999998777,-24.699999999998777,-26.199999999998777,candidate,0.06000000000000005
EURUSD,-1,2019-03-22T00:00:00+00:00,2019-03-22T16:00:00+00:00,79.29999999999993,77.79999999999993,76.29999999999993,candidate,-0.050000000000000266
EURUSD,-1,2019-04-01T00:00:00+00:00,2019-04-03T00:00:00+00:00,11.800000000001809,10.300000000001809,8.800000000001809,candidate,-0.21999999999999975
EURUSD,-1,2019-04-17T00:00:00+00:00,2019-04-19T00:00:00+00:00,46.800000000000175,45.300000000000175,43.800000000000175,candidate,-0.06000000000000005
