symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family
USDJPY,-1,2022-02-02,2022-02-07,-63.59999999999957,-65.09999999999957,-66.59999999999957,control
EURUSD,1,2022-02-04,2022-02-10,-23.900000000001143,-25.400000000001143,-26.900000000001143,control
GBPUSD,-1,2022-02-07,2022-02-15,-1.500000000000945,-3.000000000000945,-4.500000000000945,control
EURUSD,-1,2022-02-15,2022-02-16,-14.000000000000679,-15.500000000000679,-17.00000000000068,control
GBPUSD,-1,2022-02-16,2022-02-21,-16.799999999999038,-18.299999999999038,-19.799999999999038,control
USDJPY,1,2022-02-10,2022-02-22,-92.00000000000017,-93.50000000000017,-95.00000000000017,control
GBPUSD,1,2022-02-22,2022-02-23,-42.50000000000087,-44.00000000000087,-45.50000000000087,control
EURUSD,-1,2022-02-21,2022-02-24,117.40000000000083,115.90000000000083,114.40000000000083,control
USDJPY,1,2022-02-23,2022-02-24,52.599999999999625,51.099999999999625,49.599999999999625,control
GBPUSD,1,2022-02-24,2022-02-25,33.199999999999896,31.699999999999896,30.199999999999896,control
USDJPY,-1,2022-02-24,2022-02-25,0.40000000000048885,-1.0999999999995111,-2.599999999999511,control
EURUSD,1,2022-02-25,2022-03-01,-148.6999999999994,-150.1999999999994,-151.6999999999994,control
GBPUSD,-1,2022-02-25,2022-03-01,85.69999999999966,84.19999999999966,82.69999999999966,control
GBPUSD,-1,2022-03-02,2022-03-03,57.79999999999896,56.29999999999896,54.79999999999896,control
EURUSD,-1,2022-03-03,2022-03-14,121.19999999999908,119.69999999999908,118.19999999999908,control
GBPUSD,-1,2022-03-14,2022-03-23,-198.4000000000008,-199.9000000000008,-201.4000000000008,control
EURUSD,-1,2022-03-23,2022-03-29,-79.19999999999926,-80.69999999999926,-82.19999999999926,control
GBPUSD,-1,2022-03-29,2022-04-07,17.199999999999438,15.699999999999438,14.199999999999438,control
EURUSD,-1,2022-04-07,2022-04-25,165.19999999999868,163.69999999999868,162.19999999999868,control
GBPUSD,-1,2022-04-25,2022-04-27,195.19999999999982,193.69999999999982,192.19999999999982,control
EURUSD,-1,2022-04-27,2022-04-29,11.300000000000754,9.800000000000754,8.300000000000754,control
GBPUSD,-1,2022-04-29,2022-05-02,86.69999999999955,85.19999999999955,83.69999999999955,control
EURUSD,-1,2022-05-02,2022-05-03,-12.999999999998568,-14.499999999998568,-15.999999999998568,control
