symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family,d_spec_oi
GBPUSD,-1,2023-08-11,2023-08-18,-39.1000000000008,-40.6000000000008,-42.1000000000008,candidate,0.0276100002899195
GBPUSD,1,2023-08-18,2023-08-25,-143.8178571428561,-145.3178571428561,-146.8178571428561,candidate,0.0503715055261447
GBPUSD,1,2023-08-25,2023-09-01,7.699999999999374,6.199999999999374,4.699999999999374,candidate,0.05432577055732561
GBPUSD,-1,2023-09-01,2023-09-08,120.29999999999984,118.79999999999984,117.29999999999984,candidate,0.06649140917521083
GBPUSD,-1,2023-09-08,2023-09-15,83.3000000000017,81.8000000000017,80.3000000000017,candidate,0.019715710457667124
GBPUSD,-1,2023-09-15,2023-09-22,146.99999999999935,145.49999999999935,143.99999999999935,candidate,0.03204843539089946
GBPUSD,-1,2023-09-22,2023-09-29,32.79999999999949,31.299999999999493,29.799999999999493,candidate,0.08590549244703506
GBPUSD,-1,2023-09-29,2023-10-06,-33.49999999999964,-34.99999999999964,-36.49999999999964,candidate,0.17442712745179795
GBPUSD,-1,2023-10-06,2023-10-13,94.70000000000088,93.20000000000088,91.70000000000088,candidate,0.0966873405380738
GBPUSD,1,2023-10-13,2023-10-20,23.100000000000342,21.600000000000342,20.100000000000342,candidate,0.018690337350438426
GBPUSD,-1,2023-10-20,2023-10-27,46.39999999999977,44.89999999999977,43.39999999999977,candidate,0.02457556796519321
GBPUSD,-1,2023-10-27,2023-11-03,-138.664285714285,-140.164285714285,-141.664285714285,candidate,0.054261571900762674
GBPUSD,1,2023-11-10,2023-11-17,234.19999999999996,232.69999999999996,231.19999999999996,candidate,0.03265171814036572
GBPUSD,-1,2023-11-17,2023-11-24,-152.79642857142895,-154.29642857142895,-155.79642857142895,candidate,0.055556325695089434
GBPUSD,1,2023-11-24,2023-12-01,114.00000000000077,112.50000000000077,111.00000000000077,candidate,0.03304945436769435
GBPUSD,1,2023-12-01,2023-12-06,-149.0142857142862,-150.5142857142862,-152.0142857142862,candidate,0.10987155659422557
GBPUSD,1,2023-12-08,2023-12-15,131.2000000000002,129.7000000000002,128.2000000000002,candidate,0.06153796950743125
GBPUSD,-1,2023-12-15,2023-12-22,-18.199999999999328,-19.699999999999328,-21.199999999999328,candidate,0.020330191195722207
GBPUSD,1,2023-12-22,2023-12-29,34.600000000000186,33.100000000000186,31.600000000000186,candidate,0.029944156675917707
GBPUSD,-1,2023-12-29,2024-01-05,12.499999999999734,10.999999999999734,9.499999999999734,candidate,0.027583962361109524
GBPUSD,1,2024-01-19,2024-01-26,-4.199999999998649,-5.699999999998649,-7.199999999998649,candidate,0.04773083812681494
GBPUSD,-1,2024-02-09,2024-02-16,27.399999999999647,25.899999999999647,24.399999999999647,candidate,0.04233962036879034
GBPUSD,1,2024-02-16,2024-02-23,70.9000000000004,69.4000000000004,67.9000000000004,candidate,0.034942482543828805
GBPUSD,1,2024-03-01,2024-03-08,205.29999999999936,203.79999999999936,202.29999999999936,candidate,0.015875500407915456
GBPUSD,1,2024-03-08,2024-03-12,-100.86428571428607,-102.36428571428607,-103.86428571428607,candidate,0.02098987038055979
GBPUSD,1,2024-03-15,2024-03-22,-98.95714285714341,-100.45714285714341,-101.95714285714341,candidate,0.01520694845553867
GBPUSD,-1,2024-03-22,2024-03-29,-18.100000000000893,-19.600000000000893,-21.100000000000893,candidate,0.04817171399912867
GBPUSD,-1,2024-03-29,2024-04-05,-20.299999999999763,-21.799999999999763,-23.299999999999763,candidate,0.13038319326076148
GBPUSD,-1,2024-04-05,2024-04-12,188.90000000000072,187.40000000000072,185.90000000000072,candidate,0.02328265868525751
GBPUSD,-1,2024-04-12,2024-04-19,79.70000000000032,78.20000000000032,76.70000000000032,candidate,0.05720208627168861
GBPUSD,-1,2024-04-19,2024-04-25,-119.9035714285701,-121.4035714285701,-122.9035714285701,candidate,0.11080986836369977
GBPUSD,-1,2024-04-26,2024-05-03,-135.11785714285685,-136.61785714285685,-138.11785714285685,candidate,0.12973754329320775
GBPUSD,-1,2024-05-03,2024-05-10,21.800000000000708,20.300000000000708,18.800000000000708,candidate,0.02389966470014006
GBPUSD,1,2024-05-10,2024-05-17,176.70000000000073,175.20000000000073,173.70000000000073,candidate,0.08141956822956242
GBPUSD,1,2024-05-24,2024-05-31,4.300000000001525,2.800000000001525,1.3000000000015248,candidate,0.19248044433332143
GBPUSD,1,2024-05-31,2024-06-07,-25.800000000000267,-27.300000000000267,-28.800000000000267,candidate,0.09935292782484773
GBPUSD,1,2024-06-07,2024-06-14,-29.69999999999917,-31.19999999999917,-32.69999999999917,candidate,0.09885714285714285
GBPUSD,-1,2024-06-21,2024-06-28,-3.699999999997594,-5.199999999997594,-6.699999999997594,candidate,0.030052628278413724
GBPUSD,-1,2024-06-28,2024-07-03,-97.72499999999961,-99.22499999999961,-100.72499999999961,candidate,0.04695301328377396
GBPUSD,1,2024-07-05,2024-07-12,174.00000000000082,172.50000000000082,171.00000000000082,candidate,0.059459213906793394
GBPUSD,1,2024-07-12,2024-07-19,-76.30000000000025,-77.80000000000025,-79.30000000000025,candidate,0.10306050076055295
GBPUSD,1,2024-07-19,2024-07-26,-47.399999999999665,-48.899999999999665,-50.399999999999665,candidate,0.17203864259166213
GBPUSD,1,2024-07-26,2024-08-01,-88.79999999999998,-90.29999999999998,-91.79999999999998,candidate,0.044575284969973136
GBPUSD,-1,2024-08-02,2024-08-09,46.69999999999952,45.19999999999952,43.69999999999952,candidate,0.1023481311021247
GBPUSD,-1,2024-08-09,2024-08-16,-116.34642857142774,-117.84642857142774,-119.34642857142774,candidate,0.17687754974513709
