symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family
EURUSD,-1,2024-04-29T00:00:00+00:00,2024-05-02T00:00:00+00:00,-1.9999999999997797,-3.4999999999997797,-4.99999999999978,candidate
EURUSD,1,2024-05-27T00:00:00+00:00,2024-05-30T00:00:00+00:00,-52.09999999999937,-53.59999999999937,-55.09999999999937,candidate
EURUSD,-1,2024-06-24T00:00:00+00:00,2024-06-27T00:00:00+00:00,13.600000000000279,12.100000000000279,10.600000000000279,candidate
EURUSD,-1,2024-07-08T00:00:00+00:00,2024-07-11T00:00:00+00:00,-13.499999999999623,-14.999999999999623,-16.499999999999623,candidate
EURUSD,1,2024-07-22T00:00:00+00:00,2024-07-25T00:00:00+00:00,-54.400000000001114,-55.900000000001114,-57.400000000001114,candidate
EURUSD,1,2024-07-29T00:00:00+00:00,2024-08-01T00:00:00+00:00,-35.70000000000073,-37.20000000000073,-38.70000000000073,candidate
EURUSD,1,2024-08-26T00:00:00+00:00,2024-08-29T00:00:00+00:00,-62.40000000000023,-63.90000000000023,-65.40000000000023,candidate
EURUSD,1,2024-09-02T00:00:00+00:00,2024-09-05T00:00:00+00:00,25.800000000000267,24.300000000000267,22.800000000000267,candidate
EURUSD,-1,2024-10-14T00:00:00+00:00,2024-10-17T00:00:00+00:00,58.20000000000158,56.70000000000158,55.20000000000158,candidate
EURUSD,-1,2024-10-21T00:00:00+00:00,2024-10-24T00:00:00+00:00,76.19999999999959,74.69999999999959,73.19999999999959,candidate
EURUSD,-1,2024-10-28T00:00:00+00:00,2024-10-31T00:00:00+00:00,-53.70000000000097,-55.20000000000097,-56.70000000000097,candidate
EURUSD,1,2024-11-11T00:00:00+00:00,2024-11-14T00:00:00+00:00,-164.1999999999988,-165.6999999999988,-167.1999999999988,candidate
EURUSD,-1,2024-11-25T00:00:00+00:00,2024-11-28T00:00:00+00:00,-79.00000000000017,-80.50000000000017,-82.00000000000017,candidate
EURUSD,-1,2024-12-02T00:00:00+00:00,2024-12-05T00:00:00+00:00,18.299999999999983,16.799999999999983,15.299999999999983,candidate
EURUSD,-1,2024-12-09T00:00:00+00:00,2024-12-12T00:00:00+00:00,45.80000000000028,44.30000000000028,42.80000000000028,candidate
EURUSD,1,2025-02-03T00:00:00+00:00,2025-02-06T00:00:00+00:00,164.8000000000005,163.3000000000005,161.8000000000005,candidate
EURUSD,1,2025-03-03T00:00:00+00:00,2025-03-06T00:00:00+00:00,395.50000000000193,394.00000000000193,392.50000000000193,candidate
EURUSD,1,2025-03-10T00:00:00+00:00,2025-03-13T00:00:00+00:00,36.09999999999891,34.59999999999891,33.09999999999891,candidate
EURUSD,1,2025-03-17T00:00:00+00:00,2025-03-20T00:00:00+00:00,22.599999999999287,21.099999999999287,19.599999999999287,candidate
EURUSD,1,2025-03-24T00:00:00+00:00,2025-03-27T00:00:00+00:00,-61.39999999999812,-62.89999999999812,-64.39999999999813,candidate
EURUSD,1,2025-04-14T00:00:00+00:00,2025-04-17T00:00:00+00:00,2.5999999999992696,1.0999999999992696,-0.40000000000073044,candidate
EURUSD,-1,2025-08-04T00:00:00+00:00,2025-08-07T00:00:00+00:00,-94.49999999999957,-95.99999999999957,-97.49999999999957,candidate
EURUSD,1,2025-08-18T00:00:00+00:00,2025-08-21T00:00:00+00:00,-54.89999999999995,-56.39999999999995,-57.89999999999995,candidate
GBPUSD,1,2022-02-21T00:00:00+00:00,2022-02-24T00:00:00+00:00,-74.89999999999996,-76.39999999999996,-77.89999999999996,candidate
GBPUSD,-1,2022-03-07T00:00:00+00:00,2022-03-10T00:00:00+00:00,42.89999999999905,41.39999999999905,39.89999999999905,candidate
GBPUSD,-1,2022-03-14T00:00:00+00:00,2022-03-17T00:00:00+00:00,-112.69999999999891,-114.19999999999891,-115.69999999999891,candidate
GBPUSD,-1,2022-04-04T00:00:00+00:00,2022-04-07T00:00:00+00:00,35.70000000000073,34.20000000000073,32.70000000000073,candidate
GBPUSD,-1,2022-04-11T00:00:00+00:00,2022-04-14T00:00:00+00:00,-94.70000000000088,-96.20000000000088,-97.70000000000088,candidate
GBPUSD,-1,2022-04-18T00:00:00+00:00,2022-04-21T00:00:00+00:00,-9.200000000000319,-10.700000000000319,-12.200000000000319,candidate
GBPUSD,-1,2022-05-02T00:00:00+00:00,2022-05-05T00:00:00+00:00,-40.300000000002,-41.800000000002,-43.300000000002,candidate
GBPUSD,1,2022-06-06T00:00:00+00:00,2022-06-09T00:00:00+00:00,52.49999999999755,50.99999999999755,49.49999999999755,candidate
GBPUSD,-1,2022-06-20T00:00:00+00:00,2022-06-23T00:00:00+00:00,-37.30000000000011,-38.80000000000011,-40.30000000000011,candidate
GBPUSD,1,2022-06-27T00:00:00+00:00,2022-06-30T00:00:00+00:00,-143.69999999999993,-145.19999999999993,-146.69999999999993,candidate
GBPUSD,-1,2022-07-11T00:00:00+00:00,2022-07-14T00:00:00+00:00,150.7999999999998,149.2999999999998,147.7999999999998,candidate
GBPUSD,-1,2022-08-29T00:00:00+00:00,2022-09-01T00:00:00+00:00,95.10000000000129,93.60000000000129,92.10000000000129,candidate
GBPUSD,-1,2022-09-05T00:00:00+00:00,2022-09-08T00:00:00+00:00,-26.200000000000667,-27.700000000000667,-29.200000000000667,candidate
GBPUSD,1,2022-09-19T00:00:00+00:00,2022-09-22T00:00:00+00:00,-197.0000000000005,-198.5000000000005,-200.0000000000005,candidate
GBPUSD,1,2022-10-03T00:00:00+00:00,2022-10-06T00:00:00+00:00,235.49999999999957,233.99999999999957,232.49999999999957,candidate
GBPUSD,1,2022-10-10T00:00:00+00:00,2022-10-13T00:00:00+00:00,23.900000000001143,22.400000000001143,20.900000000001143,candidate
GBPUSD,1,2022-10-31T00:00:00+00:00,2022-11-03T00:00:00+00:00,-181.5000000000011,-183.0000000000011,-184.5000000000011,candidate
GBPUSD,1,2022-11-07T00:00:00+00:00,2022-11-10T00:00:00+00:00,61.299999999999685,59.799999999999685,58.299999999999685,candidate
GBPUSD,1,2022-11-21T00:00:00+00:00,2022-11-24T00:00:00+00:00,231.6999999999991,230.1999999999991,228.6999999999991,candidate
GBPUSD,1,2022-11-28T00:00:00+00:00,2022-12-01T00:00:00+00:00,44.50000000000065,43.00000000000065,41.50000000000065,candidate
GBPUSD,1,2022-12-12T00:00:00+00:00,2022-12-15T00:00:00+00:00,177.59999999999997,176.09999999999997,174.59999999999997,candidate
GBPUSD,1,2022-12-19T00:00:00+00:00,2022-12-22T00:00:00+00:00,-85.89999999999876,-87.39999999999876,-88.89999999999876,candidate
GBPUSD,1,2022-12-26T08:00:00+00:00,2022-12-29T08:00:00+00:00,-1.6000000000016001,-3.1000000000016,-4.6000000000016,candidate
GBPUSD,-1,2023-01-23T00:00:00+00:00,2023-01-26T00:00:00+00:00,16.199999999999548,14.699999999999548,13.199999999999548,candidate
GBPUSD,1,2023-01-30T00:00:00+00:00,2023-02-02T00:00:00+00:00,-14.400000000001079,-15.900000000001079,-17.40000000000108,candidate
GBPUSD,-1,2023-02-13T00:00:00+00:00,2023-02-16T00:00:00+00:00,8.299999999998864,6.799999999998864,5.299999999998864,candidate
GBPUSD,-1,2023-02-20T00:00:00+00:00,2023-02-23T00:00:00+00:00,-38.000000000000256,-39.500000000000256,-41.000000000000256,candidate
GBPUSD,-1,2023-02-27T00:00:00+00:00,2023-03-02T00:00:00+00:00,-46.69999999999952,-48.19999999999952,-49.69999999999952,candidate
GBPUSD,1,2023-03-20T00:00:00+00:00,2023-03-23T00:00:00+00:00,110.20000000000029,108.70000000000029,107.20000000000029,candidate
GBPUSD,1,2023-03-27T00:00:00+00:00,2023-03-30T00:00:00+00:00,73.70000000000098,72.20000000000098,70.70000000000098,candidate
GBPUSD,1,2023-04-03T00:00:00+00:00,2023-04-06T00:00:00+00:00,141.5999999999995,140.0999999999995,138.5999999999995,candidate
GBPUSD,1,2023-04-10T00:00:00+00:00,2023-04-13T00:00:00+00:00,75.70000000000076,74.20000000000076,72.70000000000076,candidate
GBPUSD,1,2023-04-17T00:00:00+00:00,2023-04-20T00:00:00+00:00,35.99999999999825,34.49999999999825,32.99999999999825,candidate
GBPUSD,1,2023-05-15T00:00:00+00:00,2023-05-18T00:00:00+00:00,34.000000000000696,32.500000000000696,31.000000000000696,candidate
GBPUSD,-1,2023-06-05T00:00:00+00:00,2023-06-08T00:00:00+00:00,-17.699999999998273,-19.199999999998273,-20.699999999998273,candidate
GBPUSD,-1,2023-06-12T00:00:00+00:00,2023-06-15T00:00:00+00:00,-82.80000000000065,-84.30000000000065,-85.80000000000065,candidate
GBPUSD,1,2023-06-19T00:00:00+00:00,2023-06-22T00:00:00+00:00,-52.400000000001334,-53.900000000001334,-55.400000000001334,candidate
GBPUSD,1,2023-06-26T00:00:00+00:00,2023-06-29T00:00:00+00:00,-99.30000000000216,-100.80000000000216,-102.30000000000216,candidate
GBPUSD,1,2023-07-03T00:00:00+00:00,2023-07-06T00:00:00+00:00,7.099999999997664,5.599999999997664,4.099999999997664,candidate
GBPUSD,-1,2023-07-07T00:00:00+00:00,2023-07-07T16:00:00+00:00,-117.59999999999992,-119.09999999999992,-120.59999999999992,candidate
GBPUSD,1,2023-07-17T00:00:00+00:00,2023-07-20T00:00:00+00:00,-146.90000000000092,-148.40000000000092,-149.90000000000092,candidate
GBPUSD,1,2023-07-24T00:00:00+00:00,2023-07-27T00:00:00+00:00,76.4000000000009,74.9000000000009,73.4000000000009,candidate
