symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family
USDJPY,1,2020-01-31,2020-03-05,-219.5999999999998,-221.0999999999998,-222.5999999999998,control
USDJPY,-1,2020-03-05,2020-03-16,27.300000000001035,25.800000000001035,24.300000000001035,control
EURUSD,1,2020-03-05,2020-03-20,-543.5999999999996,-545.0999999999996,-546.5999999999996,control
USDJPY,1,2020-03-20,2020-03-30,-315.39999999999964,-316.89999999999964,-318.39999999999964,control
EURUSD,1,2020-03-30,2020-03-31,-7.800000000000029,-9.30000000000003,-10.80000000000003,control
GBPUSD,-1,2020-03-16,2021-02-09,-1547.7000000000007,-1549.2000000000007,-1550.7000000000007,control
USDJPY,1,2020-03-31,2021-02-09,-292.3000000000002,-293.8000000000002,-295.3000000000002,control
GBPUSD,1,2021-02-09,2021-03-08,4.3999999999999595,2.8999999999999595,1.3999999999999595,control
EURUSD,-1,2021-02-09,2021-04-12,207.50000000000045,206.00000000000045,204.50000000000045,control
USDJPY,1,2021-03-08,2021-04-19,-71.29999999999939,-72.79999999999939,-74.29999999999939,control
GBPUSD,-1,2021-04-12,2021-04-20,-198.4000000000008,-199.9000000000008,-201.4000000000008,control
EURUSD,1,2021-04-19,2021-04-20,-2.4000000000001798,-3.9000000000001798,-5.40000000000018,control
GBPUSD,1,2021-04-20,2021-04-26,-39.00000000000014,-40.50000000000014,-42.00000000000014,control
USDJPY,-1,2021-04-20,2021-06-21,-221.2999999999994,-222.7999999999994,-224.2999999999994,control
EURUSD,1,2021-04-26,2021-06-21,-165.59999999999908,-167.09999999999908,-168.59999999999908,control
EURUSD,-1,2021-06-21,2021-06-28,-5.699999999999594,-7.199999999999594,-8.699999999999594,control
GBPUSD,-1,2021-06-28,2021-06-29,43.69999999999985,42.19999999999985,40.69999999999985,control
EURUSD,-1,2021-06-29,2021-07-20,115.49999999999949,113.99999999999949,112.49999999999949,control
GBPUSD,-1,2021-07-20,2021-07-26,-190.20000000000036,-191.70000000000036,-193.20000000000036,control
USDJPY,1,2021-06-21,2021-08-16,-107.0999999999998,-108.5999999999998,-110.0999999999998,control
EURUSD,-1,2021-07-26,2021-08-16,26.100000000000012,24.600000000000012,23.100000000000012,control
GBPUSD,1,2021-08-16,2021-10-25,-77.19999999999949,-78.69999999999949,-80.19999999999949,control
USDJPY,-1,2021-08-16,2021-10-25,-446.50000000000034,-448.00000000000034,-449.50000000000034,control
USDJPY,1,2021-10-25,2021-12-17,-0.6000000000000227,-2.1000000000000227,-3.6000000000000227,control
EURUSD,-1,2021-10-25,2021-12-17,370.90000000000066,369.40000000000066,367.90000000000066,control
GBPUSD,-1,2021-12-17,2022-02-04,-291.50000000000006,-293.00000000000006,-294.50000000000006,control
EURUSD,1,2021-12-17,2022-03-18,-186.90000000000094,-188.40000000000094,-189.90000000000094,control
USDJPY,-1,2022-02-04,2022-03-18,-397.1999999999994,-398.6999999999994,-400.1999999999994,control
GBPUSD,-1,2022-03-18,2022-03-28,86.60000000000112,85.10000000000112,83.60000000000112,control
EURUSD,-1,2022-03-28,2022-04-25,273.3999999999992,271.8999999999992,270.3999999999992,control
GBPUSD,-1,2022-04-25,2022-07-12,853.2000000000006,851.7000000000006,850.2000000000006,control
