hypothesis_id,direction,sweep_index,reclaim_index,retest_index,entry_index,sweep_time_utc,reclaim_time_utc,retest_time_utc,entry_time_utc,pivot_price,pivot_index,entry_price,initial_stop,initial_risk_pips,sweep_atr_pips,sweep_tick_volume,prior20_tick_volume_mean,tick_volume_ratio,reclaim_adx,retest_outside_session,entry_outside_session,calendar_year,cost_r_0_5,cost_r_1_5,cost_r_2_25,cost_r_3_0
HYP-ASRS-EURUSD-M5-001,SHORT,195984,195984,195985,195986,2021-08-20 13:45:00,2021-08-20 13:45:00,2021-08-20 13:50:00,2021-08-20 13:55:00,1.16784,195977,1.16767,1.1685768571428572,9.068571428572092,5.228571428571423,530.0,295.3,1.7947849644429392,24.41344606193978,False,False,2021,0.055135475740386644,0.16540642722115992,0.2481096408317399,0.33081285444231984
HYP-ASRS-EURUSD-M5-001,SHORT,198047,198047,198048,198049,2021-08-31 18:00:00,2021-08-31 18:00:00,2021-08-31 18:05:00,2021-08-31 18:10:00,1.18093,198037,1.18069,1.1810842857142856,3.9428571428556936,2.1428571428570655,244.0,161.8,1.508034610630408,23.560992599366926,False,False,2021,0.12681159420294516,0.3804347826088355,0.5706521739132533,0.760869565217671
HYP-ASRS-EURUSD-M5-001,SHORT,198844,198845,198846,198847,2021-09-03 12:30:00,2021-09-03 12:35:00,2021-09-03 12:40:00,2021-09-03 12:45:00,1.18761,198837,1.18733,1.1910887142857143,37.587142857142815,5.957142857142391,1534.0,224.2,6.842105263157895,12.376417528444504,False,False,2021,0.01330242104062941,0.03990726312188823,0.059860894682832344,0.07981452624377645
HYP-ASRS-EURUSD-M5-001,SHORT,198845,198845,198846,198847,2021-09-03 12:35:00,2021-09-03 12:35:00,2021-09-03 12:40:00,2021-09-03 12:45:00,1.18761,198837,1.18733,1.1901862857142855,28.562857142855336,7.542857142856597,1608.0,294.8,5.454545454545454,12.376417528444504,False,False,2021,0.017505251575473748,0.05251575472642125,0.07877363208963187,0.1050315094528425
HYP-ASRS-EURUSD-M5-001,LONG,198846,198846,198847,198848,2021-09-03 12:40:00,2021-09-03 12:40:00,2021-09-03 12:45:00,2021-09-03 12:50:00,1.18699,198843,1.18853,1.1863235714285716,22.06428571428498,8.214285714284967,1402.0,366.05,3.8300778582160904,12.537772625021915,False,False,2021,0.0226610553577217,0.0679831660731651,0.10197474910974764,0.1359663321463302
HYP-ASRS-EURUSD-M5-001,LONG,199121,199121,199122,199123,2021-09-06 11:55:00,2021-09-06 11:55:00,2021-09-06 12:00:00,2021-09-06 12:05:00,1.18616,199117,1.18619,1.185988214285714,2.017857142859736,2.392857142857117,251.0,118.2,2.1235194585448394,17.259978366787948,False,False,2021,0.2477876106191506,0.7433628318574519,1.1150442477861777,1.4867256637149038
HYP-ASRS-EURUSD-M5-001,SHORT,200639,200639,200640,200641,2021-09-13 18:55:00,2021-09-13 18:55:00,2021-09-13 19:00:00,2021-09-13 19:05:00,1.18041,200634,1.18031,1.1806084285714287,2.984285714286994,1.6142857142859806,233.0,118.5,1.9662447257383966,20.22869779696488,False,False,2021,0.16754427955952605,0.5026328386785782,0.7539492580178673,1.0052656773571564
HYP-ASRS-EURUSD-M5-001,SHORT,200847,200847,200848,200849,2021-09-14 12:15:00,2021-09-14 12:15:00,2021-09-14 12:20:00,2021-09-14 12:25:00,1.18126,200841,1.18097,1.1815891428571428,6.191428571427071,2.9714285714280537,373.0,238.35,1.564925529683239,21.611502836103654,False,False,2021,0.08075680664515109,0.24227041993545326,0.36340562990317987,0.4845408398709065
HYP-ASRS-EURUSD-M5-001,LONG,203722,203722,203723,203724,2021-09-28 12:20:00,2021-09-28 12:20:00,2021-09-28 12:25:00,2021-09-28 12:30:00,1.16774,203708,1.16824,1.167476,7.639999999999869,4.8000000000000425,572.0,379.9,1.5056593840484338,24.387761612509582,False,False,2021,0.0654450261780116,0.19633507853403478,0.2945026178010522,0.39267015706806957
HYP-ASRS-EURUSD-M5-001,SHORT,204329,204329,204330,204331,2021-09-30 14:55:00,2021-09-30 14:55:00,2021-09-30 15:00:00,2021-09-30 15:05:00,1.15894,204320,1.15862,1.1594155000000002,7.955000000001711,6.850000000000308,1170.0,558.7,2.09414712725971,16.266180273713452,False,False,2021,0.06285355122563073,0.1885606536768922,0.2828409805153383,0.3771213073537844
