strategy,symbol,signal_ms,entry_ms,exit_ms,direction,signal_score,entry_price,exit_price,stop_price,target_price,initial_stop_pips,exit_reason,gross_pips,net_pips_a,net_pips_b,net_r_a,net_r_b
PRIMARY,GBPUSD,1628664300000,1628665200000,1628665200000,-1,-3.4465860271424966,1.38284,1.382965,1.382965,1.3825900000000002,1.2499999999993072,stop,-1.2499999999993072,-2.049999999999307,-2.4499999999993074,-1.6400000000003545,-1.9600000000005322
PRIMARY,EURUSD,1628666100000,1628667000000,1628667000000,1,3.996193559912296,1.17196,1.1719349999999997,1.1719349999999997,1.17201,0.2500000000005276,both_hit_adverse_first,-0.2500000000016378,-1.0500000000016378,-1.4500000000016378,-4.199999999997688,-5.799999999994311
PRIMARY,EURUSD,1628668800000,1628669700000,1628669700000,1,4.920246025900015,1.17193,1.1718775,1.1718775,1.172035,0.5250000000001087,both_hit_adverse_first,-0.5250000000001087,-1.3250000000001088,-1.7250000000001087,-2.5238095238092084,-3.285714285713812
PRIMARY,GBPUSD,1628670600000,1628671500000,1628671500000,-1,-6.045559908103147,1.38287,1.383075,1.383075,1.38246,2.0500000000001073,stop,-2.0500000000001073,-2.850000000000107,-3.2500000000001075,-1.3902439024390039,-1.585365853658506
PRIMARY,EURUSD,1628670600000,1628671500000,1628672400000,-1,-3.0438973226817714,1.1718,1.1715299999999997,1.171935,1.1715299999999997,1.3500000000010726,target,2.700000000002145,1.900000000002145,1.5000000000021452,1.4074074074078782,1.1111111111118173
PRIMARY,EURUSD,1628675100000,1628676000000,1628676000000,1,3.311278120028723,1.17096,1.170905,1.170905,1.1710699999999998,0.5499999999991622,both_hit_adverse_first,-0.5499999999991623,-1.3499999999991623,-1.7499999999991622,-2.4545454545476706,-3.1818181818215057
PRIMARY,GBPUSD,1628681400000,1628682300000,1628684100000,-1,-3.8460617390278893,1.38099,1.3813,1.3815675,1.3798349999999997,5.775000000001196,time_stop,-3.1000000000003247,-3.9000000000003245,-4.300000000000325,-0.6753246753245917,-0.7445887445886467
PRIMARY,GBPUSD,1628686800000,1628687700000,1628687700000,-1,-2.7426537914260205,1.38107,1.3806550000000002,1.3812775,1.3806550000000002,2.074999999999161,target,4.149999999998322,3.349999999998322,2.9499999999983215,1.6144578313251454,1.421686746987718
PRIMARY,GBPUSD,1628689500000,1628690400000,1628690400000,1,8.031036172745758,1.3817599999999999,1.3814574999999998,1.3814574999999998,1.3823649999999998,3.0249999999998334,stop,-3.0250000000009436,-3.8250000000009434,-4.225000000000944,-1.2644628099177369,-1.396694214876422
PRIMARY,GBPUSD,1628691300000,1628692200000,1628692200000,1,30.864525442717234,1.38179,1.3816375,1.3816375,1.3820949999999999,1.5249999999988884,both_hit_adverse_first,-1.5249999999999986,-2.3249999999999984,-2.7249999999999988,-1.5245901639355366,-1.7868852459029412
PRIMARY,GBPUSD,1628692200000,1628693100000,1628694000000,1,9.600533680464412,1.3826399999999999,1.383515,1.3822024999999998,1.383515,4.375000000000905,target,8.750000000001812,7.950000000001812,7.550000000001812,1.8171428571428954,1.7257142857143428
PRIMARY,GBPUSD,1628694000000,1628694900000,1628694900000,1,3.0784659612193415,1.38366,1.3833799999999998,1.3833799999999998,1.38422,2.80000000000058,stop,-2.80000000000058,-3.6000000000005796,-4.00000000000058,-1.2857142857142265,-1.4285714285713398
PRIMARY,GBPUSD,1628710200000,1628711100000,1628711100000,1,3.733499636210647,1.38723,1.387925,1.3868825,1.387925,3.475000000000561,target,6.950000000001122,6.150000000001122,5.750000000001122,1.7697841726619077,1.6546762589928614
PRIMARY,GBPUSD,1628711100000,1628712000000,1628712000000,1,6.99920142831996,1.38794,1.38866,1.3875799999999998,1.38866,3.6000000000002697,target,7.200000000000539,6.4000000000005395,6.000000000000539,1.7777777777777946,1.6666666666666916
