position_id,open_time,close_time,decision_time,direction,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r
108,2019.11.26 02:45:00,2019.11.26 03:24:40,2019.11.26 02:40:00,SELL,0.55,1.1009,1.10109,1.10108,1.10054,18.0,9.9,-12.649999999999999,-1.2777777777777777
110,2019.12.02 03:05:00,2019.12.02 03:55:12,2019.12.02 03:00:00,BUY,0.52,1.10197,1.10178,1.10178,1.10235,19.0,9.88,-11.96,-1.2105263157894737
112,2019.12.04 02:15:00,2019.12.04 03:01:31,2019.12.04 02:10:00,BUY,0.27,1.10841,1.10805,1.10805,1.10913,36.0,9.72,-10.8,-1.1111111111111112
114,2019.12.05 02:45:00,2019.12.05 03:47:35,2019.12.05 02:40:00,SELL,0.23,1.10802,1.10844,1.10844,1.10718,42.0,9.66,-10.58,-1.0952380952380951
116,2019.12.11 02:35:00,2019.12.11 03:17:36,2019.12.11 02:30:00,SELL,0.32,1.10904,1.10935,1.10935,1.10842,31.0,9.92,-11.2,-1.129032258064516
118,2019.12.13 02:20:00,2019.12.13 03:33:04,2019.12.13 02:15:00,SELL,0.13,1.11742,1.11817,1.11815,1.11596,73.0,9.49,-10.27,-1.0821917808219177
120,2019.12.19 02:45:00,2019.12.19 03:11:51,2019.12.19 02:40:00,BUY,0.71,1.11169,1.11197,1.11155,1.11197,14.0,9.94,17.04,1.7142857142857142
122,2019.12.24 02:15:00,2019.12.24 02:38:42,2019.12.24 02:10:00,BUY,0.45,1.10936,1.10914,1.10914,1.1098,22.0,9.9,-11.700000000000001,-1.1818181818181819
124,2019.12.30 02:40:00,2019.12.30 03:07:30,2019.12.30 02:35:00,BUY,0.55,1.11847,1.11884,1.11829,1.11883,18.0,9.9,18.150000000000002,1.8333333333333335
126,2020.01.14 03:10:00,2020.01.14 03:32:59,2020.01.14 03:05:00,BUY,0.26,1.11372,1.11335,1.11335,1.11446,37.0,9.62,-10.66,-1.1081081081081081
128,2020.01.17 03:00:00,2020.01.17 03:23:59,2020.01.17 02:55:00,BUY,0.49,1.11377,1.11354,1.11357,1.11417,20.0,9.8,-13.23,-1.3499999999999999
130,2020.01.24 03:00:00,2020.01.24 05:00:00,2020.01.24 02:55:00,SELL,0.31,1.10527,1.10531,1.10559,1.10463,32.0,9.92,-2.48,-0.25
132,2020.02.05 02:15:00,2020.02.05 03:43:32,2020.02.05 02:10:00,SELL,0.71,1.10437,1.10407,1.10451,1.10409,14.0,9.94,18.46,1.8571428571428574
134,2020.02.14 03:00:00,2020.02.14 05:00:00,2020.02.14 02:55:00,SELL,0.23,1.0838,1.08372,1.08423,1.08294,43.0,9.89,0.92,0.09302325581395349
136,2020.02.24 01:35:00,2020.02.24 03:12:05,2020.02.24 01:30:00,BUY,0.13,1.08348,1.08275,1.08275,1.08494,73.0,9.49,-10.01,-1.0547945205479452
138,2020.02.26 02:20:00,2020.02.26 02:22:34,2020.02.26 02:15:00,SELL,0.45,1.08757,1.08713,1.08779,1.08713,22.0,9.9,18.0,1.8181818181818181
140,2020.03.10 03:15:00,2020.03.10 03:41:37,2020.03.10 03:10:00,SELL,0.1,1.13907,1.14004,1.14004,1.13713,97.0,9.7,-10.1,-1.041237113402062
142,2020.03.16 01:35:00,2020.03.16 01:53:35,2020.03.16 01:30:00,BUY,0.06,1.11793,1.11628,1.1163,1.12119,163.0,9.78,-10.14,-1.0368098159509205
144,2020.03.17 03:30:00,2020.03.17 04:35:26,2020.03.17 03:25:00,BUY,0.11,1.11679,1.11854,1.11592,1.11853,87.0,9.57,18.81,1.96551724137931
146,2020.03.18 02:40:00,2020.03.18 02:55:05,2020.03.18 02:35:00,SELL,0.12,1.10103,1.09939,1.10183,1.09943,80.0,9.6,19.2,2.0
148,2020.03.19 02:45:00,2020.03.19 03:10:15,2020.03.19 02:40:00,SELL,0.06,1.09234,1.08943,1.09379,1.08944,145.0,8.7,17.220000000000002,1.9793103448275866
150,2020.03.20 02:40:00,2020.03.20 03:19:54,2020.03.20 02:35:00,BUY,0.15,1.06672,1.06803,1.06607,1.06802,65.0,9.75,19.049999999999997,1.9538461538461536
152,2020.03.23 00:45:00,2020.03.23 01:09:21,2020.03.23 00:40:00,SELL,0.06,1.06562,1.0671,1.06709,1.06268,147.0,8.82,-9.120000000000001,-1.034013605442177
154,2020.03.23 02:40:00,2020.03.23 03:39:31,2020.03.23 02:35:00,SELL,0.03,1.06755,1.07031,1.0703,1.06205,275.0,8.25,-8.399999999999999,-1.018181818181818
156,2020.03.25 02:15:00,2020.03.25 02:52:29,2020.03.25 02:10:00,SELL,0.09,1.07928,1.07711,1.08036,1.07712,108.0,9.72,19.17,1.9722222222222223
158,2020.03.27 02:30:00,2020.03.27 02:53:15,2020.03.27 02:25:00,SELL,0.13,1.1036,1.10435,1.10435,1.1021,75.0,9.75,-10.27,-1.0533333333333332
160,2020.03.30 01:35:00,2020.03.30 02:22:46,2020.03.30 01:30:00,SELL,0.09,1.11106,1.11206,1.11206,1.10906,100.0,9.0,-9.36,-1.04
162,2020.04.03 03:15:00,2020.04.03 04:30:24,2020.04.03 03:10:00,SELL,0.13,1.08395,1.08467,1.08467,1.08251,72.0,9.36,-9.879999999999999,-1.0555555555555556
164,2020.04.15 03:15:00,2020.04.15 03:55:05,2020.04.15 03:10:00,SELL,0.34,1.0981,1.09839,1.09839,1.09752,29.0,9.86,-11.219999999999999,-1.1379310344827587
166,2020.04.20 01:25:30,2020.04.20 03:04:36,2020.04.20 01:20:00,SELL,0.34,1.08684,1.08625,1.08713,1.08626,29.0,9.86,18.7,1.896551724137931
168,2020.05.11 02:30:00,2020.05.11 02:41:27,2020.05.11 02:25:00,SELL,0.24,1.08293,1.08334,1.08333,1.08213,40.0,9.6,-10.8,-1.1250000000000002
170,2020.05.18 02:05:00,2020.05.18 02:57:36,2020.05.18 02:00:00,BUY,0.2,1.08228,1.08179,1.0818,1.08324,48.0,9.6,-10.600000000000001,-1.104166666666667
172,2020.05.18 04:10:00,2020.05.18 04:22:33,2020.05.18 04:05:00,SELL,0.21,1.08153,1.08199,1.08199,1.08061,46.0,9.66,-10.5,-1.0869565217391304
