position_id,open_time,close_time,decision_time,direction,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r
1382,2021.07.05 01:00:00,2021.07.05 01:43:15,2021.07.05 00:55:00,BUY,0.15,1.18679,1.18615,1.18615,1.18807,64.0,9.6,-10.2,-1.0625
1384,2021.07.05 04:05:00,2021.07.05 04:20:38,2021.07.05 04:00:00,SELL,0.36,1.18564,1.18591,1.18591,1.1851,27.0,9.72,-11.16,-1.1481481481481481
1386,2021.07.06 04:10:00,2021.07.06 04:37:06,2021.07.06 04:05:00,SELL,0.4,1.18598,1.18622,1.18622,1.1855,24.0,9.6,-11.2,-1.1666666666666667
1388,2021.07.07 03:20:00,2021.07.07 03:37:32,2021.07.07 03:15:00,SELL,0.22,1.18163,1.18207,1.18207,1.18075,44.0,9.68,-10.56,-1.090909090909091
1390,2021.07.08 03:50:00,2021.07.08 04:04:05,2021.07.08 03:45:00,SELL,0.61,1.17911,1.17879,1.17927,1.17879,16.0,9.76,17.08,1.7499999999999998
1392,2021.07.09 03:35:00,2021.07.09 05:35:00,2021.07.09 03:30:00,SELL,0.22,1.18422,1.18371,1.18465,1.18336,43.0,9.46,10.34,1.0930232558139534
1394,2021.07.12 01:10:00,2021.07.12 01:52:59,2021.07.12 01:05:00,SELL,0.15,1.18698,1.18764,1.18763,1.18568,65.0,9.75,-10.5,-1.0769230769230769
1396,2021.07.12 03:15:00,2021.07.12 04:44:29,2021.07.12 03:10:00,BUY,0.28,1.18761,1.18726,1.18726,1.18831,35.0,9.8,-10.920000000000002,-1.1142857142857143
1398,2021.07.13 03:05:00,2021.07.13 03:27:35,2021.07.13 03:00:00,BUY,0.51,1.18647,1.18685,1.18628,1.18685,19.0,9.69,17.34,1.7894736842105263
1400,2021.07.14 03:10:00,2021.07.14 03:28:28,2021.07.14 03:05:00,SELL,0.51,1.17735,1.17754,1.17754,1.17697,19.0,9.69,-11.73,-1.210526315789474
1402,2021.07.15 03:10:00,2021.07.15 03:33:04,2021.07.15 03:05:00,SELL,0.46,1.18332,1.1829,1.18353,1.1829,21.0,9.66,17.48,1.8095238095238095
1404,2021.07.16 03:10:00,2021.07.16 03:16:38,2021.07.16 03:05:00,BUY,0.39,1.18156,1.1813,1.18131,1.18206,25.0,9.75,-11.700000000000001,-1.2000000000000002
1406,2021.07.19 03:25:00,2021.07.19 03:51:15,2021.07.19 03:20:00,SELL,0.36,1.18079,1.18025,1.18106,1.18025,27.0,9.72,18.0,1.8518518518518516
1408,2021.07.20 03:05:00,2021.07.20 05:05:00,2021.07.20 03:00:00,BUY,0.12,1.17972,1.17977,1.17896,1.18124,76.0,9.12,0.12,0.013157894736842106
1410,2021.07.22 03:10:00,2021.07.22 04:46:38,2021.07.22 03:05:00,SELL,0.25,1.17909,1.17947,1.17947,1.17833,38.0,9.5,-10.5,-1.105263157894737
1412,2021.07.23 03:20:00,2021.07.23 05:06:00,2021.07.23 03:15:00,BUY,0.44,1.17768,1.17744,1.17746,1.17812,22.0,9.68,-12.32,-1.2727272727272727
1414,2021.07.26 00:40:00,2021.07.26 01:01:04,2021.07.26 00:35:00,BUY,0.42,1.17721,1.17694,1.17698,1.17767,23.0,9.66,-13.02,-1.3478260869565217
1416,2021.07.26 03:05:00,2021.07.26 03:36:37,2021.07.26 03:00:00,SELL,0.36,1.17711,1.17656,1.17738,1.17657,27.0,9.72,18.36,1.8888888888888886
1418,2021.07.27 03:10:00,2021.07.27 04:46:35,2021.07.27 03:05:00,BUY,0.25,1.18071,1.18033,1.18033,1.18147,38.0,9.5,-10.5,-1.105263157894737
1420,2021.07.28 03:05:00,2021.07.28 03:17:33,2021.07.28 03:00:00,BUY,0.7,1.18218,1.18204,1.18204,1.18246,14.0,9.8,-12.600000000000001,-1.2857142857142858
1422,2021.07.29 03:25:00,2021.07.29 03:52:03,2021.07.29 03:20:00,SELL,0.35,1.18424,1.18452,1.18452,1.18368,28.0,9.8,-11.200000000000001,-1.1428571428571428
1424,2021.07.30 04:25:00,2021.07.30 04:31:34,2021.07.30 04:20:00,SELL,0.36,1.18793,1.1882,1.1882,1.18739,27.0,9.72,-11.16,-1.1481481481481481
1426,2021.08.02 01:40:00,2021.08.02 02:16:59,2021.08.02 01:35:00,BUY,0.32,1.18669,1.18639,1.18639,1.18729,30.0,9.6,-10.879999999999999,-1.1333333333333333
1428,2021.08.02 03:40:00,2021.08.02 03:49:05,2021.08.02 03:35:00,BUY,0.33,1.18705,1.18676,1.18676,1.18763,29.0,9.57,-10.89,-1.1379310344827587
1430,2021.08.03 03:15:00,2021.08.03 03:49:31,2021.08.03 03:10:00,BUY,0.29,1.18758,1.18725,1.18725,1.18824,33.0,9.57,-10.73,-1.1212121212121213
1432,2021.08.04 03:05:00,2021.08.04 04:53:03,2021.08.04 03:00:00,SELL,0.18,1.18641,1.18695,1.18695,1.18533,54.0,9.72,-10.440000000000001,-1.0740740740740742
1434,2021.08.06 03:15:00,2021.08.06 03:26:59,2021.08.06 03:10:00,SELL,0.89,1.18314,1.18292,1.18325,1.18292,11.0,9.79,16.02,1.6363636363636365
1436,2021.08.09 01:50:00,2021.08.09 02:10:59,2021.08.09 01:45:00,SELL,0.23,1.17533,1.17448,1.17575,1.17449,42.0,9.66,18.63,1.9285714285714284
1438,2021.08.09 04:00:00,2021.08.09 04:37:38,2021.08.09 03:55:00,BUY,0.33,1.17508,1.17567,1.17479,1.17566,29.0,9.57,18.15,1.8965517241379308
1440,2021.08.10 03:05:00,2021.08.10 03:19:32,2021.08.10 03:00:00,SELL,0.25,1.17332,1.17372,1.17371,1.17254,39.0,9.75,-11.0,-1.1282051282051282
1442,2021.08.11 03:05:00,2021.08.11 04:00:01,2021.08.11 03:00:00,SELL,0.4,1.17178,1.1713,1.17202,1.1713,24.0,9.6,17.599999999999998,1.8333333333333333
1444,2021.08.12 03:10:00,2021.08.12 03:42:25,2021.08.12 03:05:00,BUY,0.33,1.17435,1.17406,1.17406,1.17493,29.0,9.57,-10.89,-1.1379310344827587
1446,2021.08.13 03:10:00,2021.08.13 03:59:06,2021.08.13 03:05:00,SELL,0.7,1.17347,1.17362,1.17361,1.17319,14.0,9.8,-13.3,-1.3571428571428572
1448,2021.08.16 03:05:00,2021.08.16 03:08:39,2021.08.16 03:00:00,BUY,0.32,1.17967,1.17937,1.17937,1.18027,30.0,9.6,-10.879999999999999,-1.1333333333333333
1450,2021.08.17 03:05:00,2021.08.17 04:32:26,2021.08.17 03:00:00,SELL,0.49,1.1776,1.1772,1.1778,1.1772,20.0,9.8,17.64,1.7999999999999998
1452,2021.08.18 04:30:00,2021.08.18 04:38:36,2021.08.18 04:25:00,BUY,0.75,1.1714,1.17127,1.17127,1.17166,13.0,9.75,-12.75,-1.3076923076923077
1454,2021.08.19 04:35:00,2021.08.19 04:45:00,2021.08.19 04:30:00,BUY,0.32,1.16914,1.16884,1.16884,1.16974,30.0,9.6,-10.879999999999999,-1.1333333333333333
1456,2021.08.20 03:05:00,2021.08.20 05:05:00,2021.08.20 03:00:00,BUY,0.26,1.16797,1.16799,1.1676,1.16871,37.0,9.62,-0.52,-0.05405405405405406
1458,2021.08.23 03:35:00,2021.08.23 03:43:14,2021.08.23 03:30:00,SELL,0.35,1.16954,1.16983,1.16982,1.16898,28.0,9.8,-11.55,-1.1785714285714286
1460,2021.08.24 03:05:00,2021.08.24 03:24:00,2021.08.24 03:00:00,BUY,0.23,1.17474,1.17433,1.17433,1.17556,41.0,9.43,-10.35,-1.0975609756097562
1462,2021.08.25 03:35:00,2021.08.25 04:38:24,2021.08.25 03:30:00,SELL,0.19,1.17483,1.17383,1.17533,1.17383,50.0,9.5,18.24,1.92
1464,2021.08.26 03:05:00,2021.08.26 03:18:31,2021.08.26 03:00:00,BUY,0.31,1.17731,1.17699,1.177,1.17793,31.0,9.61,-11.16,-1.1612903225806452
1466,2021.08.27 04:20:00,2021.08.27 04:50:15,2021.08.27 04:15:00,BUY,0.54,1.17472,1.17508,1.17454,1.17508,18.0,9.72,17.28,1.7777777777777777
1468,2021.08.30 03:25:00,2021.08.30 04:18:16,2021.08.30 03:20:00,BUY,0.33,1.18007,1.18066,1.17978,1.18065,29.0,9.57,18.15,1.8965517241379308
1470,2021.08.31 03:10:00,2021.08.31 03:18:36,2021.08.31 03:05:00,BUY,0.49,1.17984,1.18024,1.17964,1.18024,20.0,9.8,17.64,1.7999999999999998
1472,2021.09.01 03:10:00,2021.09.01 03:17:59,2021.09.01 03:05:00,BUY,0.42,1.18105,1.18081,1.18082,1.18151,23.0,9.66,-11.76,-1.217391304347826
1474,2021.09.02 03:05:00,2021.09.02 03:27:36,2021.09.02 03:00:00,BUY,0.25,1.18442,1.18403,1.18404,1.18518,38.0,9.5,-10.75,-1.131578947368421
1476,2021.09.03 03:05:00,2021.09.03 03:40:34,2021.09.03 03:00:00,BUY,0.4,1.18755,1.18804,1.18731,1.18803,24.0,9.6,18.0,1.875
1478,2021.09.06 01:05:00,2021.09.06 03:05:00,2021.09.06 01:00:00,BUY,0.2,1.18834,1.18804,1.18786,1.1893,48.0,9.6,-6.8,-0.7083333333333334
1480,2021.09.06 03:30:00,2021.09.06 05:30:00,2021.09.06 03:25:00,SELL,0.24,1.1879,1.18756,1.1883,1.1871,40.0,9.6,7.2,0.75
1482,2021.09.07 03:35:00,2021.09.07 04:25:04,2021.09.07 03:30:00,BUY,0.44,1.18797,1.18841,1.18775,1.18841,22.0,9.68,17.599999999999998,1.8181818181818181
1484,2021.09.08 03:15:00,2021.09.08 03:24:39,2021.09.08 03:10:00,SELL,0.57,1.18416,1.18433,1.18433,1.18382,17.0,9.69,-11.969999999999999,-1.2352941176470589
1486,2021.09.09 03:05:00,2021.09.09 04:46:00,2021.09.09 03:00:00,SELL,0.25,1.18152,1.18191,1.18191,1.18074,39.0,9.75,-10.75,-1.1025641025641026
1488,2021.09.10 03:10:00,2021.09.10 03:36:33,2021.09.10 03:05:00,BUY,0.32,1.18271,1.18241,1.18241,1.18331,30.0,9.6,-10.879999999999999,-1.1333333333333333
1490,2021.09.13 01:10:00,2021.09.13 01:13:50,2021.09.13 01:05:00,SELL,0.44,1.18103,1.18125,1.18125,1.18059,22.0,9.68,-11.44,-1.1818181818181819
1492,2021.09.13 03:10:00,2021.09.13 05:10:00,2021.09.13 03:05:00,SELL,0.22,1.18086,1.18034,1.1813,1.17998,44.0,9.68,10.559999999999999,1.0909090909090908
1494,2021.09.14 03:05:00,2021.09.14 03:33:37,2021.09.14 03:00:00,SELL,0.46,1.18089,1.1811,1.1811,1.18047,21.0,9.66,-11.5,-1.1904761904761905
1496,2021.09.15 03:55:00,2021.09.15 05:55:00,2021.09.15 03:50:00,BUY,0.23,1.18066,1.18052,1.18024,1.1815,42.0,9.66,-4.140000000000001,-0.4285714285714286
1498,2021.09.16 03:05:00,2021.09.16 03:43:33,2021.09.16 03:00:00,SELL,0.35,1.18166,1.18194,1.18194,1.1811,28.0,9.8,-11.200000000000001,-1.1428571428571428
