case_id,position_id,ts_recv_utc,seconds_from_break_open,seconds_before_entry,raw_i5,aligned_i5,spread_ticks
F009_PID000001598,1598,2021-11-25T00:02:49.367243008+00:00,169.367243008,130.632756992,-0.0429042904290429,-0.0429042904290429,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:49.467548160+00:00,169.46754816,130.53245184,-0.05228758169934641,-0.05228758169934641,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:50.977765632+00:00,170.977765632,129.022234368,-0.054009819967266774,-0.054009819967266774,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:50.977789184+00:00,170.977789184,129.022210816,0.07736389684813753,0.07736389684813753,1.9999999999997797
F009_PID000001598,1598,2021-11-25T00:02:50.978129664+00:00,170.978129664,129.021870336,0.06515580736543909,0.06515580736543909,1.9999999999997797
F009_PID000001598,1598,2021-11-25T00:02:51.113479168+00:00,171.113479168,128.886520832,0.059154929577464786,0.059154929577464786,1.9999999999997797
F009_PID000001598,1598,2021-11-25T00:02:51.113975808+00:00,171.113975808,128.886024192,0.059154929577464786,0.059154929577464786,1.9999999999997797
F009_PID000001598,1598,2021-11-25T00:02:51.114094848+00:00,171.114094848,128.885905152,0.059154929577464786,0.059154929577464786,1.9999999999997797
F009_PID000001598,1598,2021-11-25T00:02:51.808470272+00:00,171.808470272,128.191529728,0.06515580736543909,0.06515580736543909,1.9999999999997797
F009_PID000001598,1598,2021-11-25T00:02:51.808494592+00:00,171.808494592,128.191505408,-0.06109324758842444,-0.06109324758842444,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.808512512+00:00,171.808512512,128.191487488,-0.05501618122977346,-0.05501618122977346,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.808520192+00:00,171.808520192,128.191479808,-0.04153354632587859,-0.04153354632587859,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.808782592+00:00,171.808782592,128.191217408,-0.04,-0.04,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.808797696+00:00,171.808797696,128.191202304,-0.038338658146964855,-0.038338658146964855,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.808864256+00:00,171.808864256,128.191135744,-0.02903225806451613,-0.02903225806451613,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.808872192+00:00,171.808872192,128.191127808,-0.025889967637540454,-0.025889967637540454,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.808887040+00:00,171.80888704,128.19111296,-0.016339869281045753,-0.016339869281045753,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.808919552+00:00,171.808919552,128.191080448,-0.01468189233278956,-0.01468189233278956,1.0000000000021103
