event_time,utc_time,tag,action,order_type,volume,price,sl,tp,reason,retcode,deal,order,symbol,position_id,entry_price,initial_sl,initial_tp,risk_pts,initial_risk_account,close_source,deal_reason,achievedr,net_profit,swap,commission,fee,deal_profit,deal_commission,deal_swap,deal_fee,deal_net,is_final_close,engine_name,hypothesis_id
2016.01.26 11:14:38,2016.01.26 09:14:38,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,SELL,1.74000000,1.08407,1.08645,1.08407,DEAL_REASON_TP,0,27,27,EURUSD,25,1.08575,1.08645,1.08407,70.0000,243.60000000,DEAL_REASON_TP,DEAL_REASON_TP,1.68571429,410.64000000,0.00000000,0.00000000,0.00000000,292.32000000,0.00000000,0.00000000,0.00000000,292.32000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.27 10:05:00,2016.01.27 08:05:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,SELL,3.34000000,1.08669,1.08742,1.08503,DEAL_REASON_EXPERT,0,28,28,EURUSD,28,1.08669,1.08742,1.08503,73.0000,243.82000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.05479452,-13.36000000,0.00000000,-13.36000000,0.00000000,0.00000000,-13.36000000,0.00000000,0.00000000,-13.36000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.27 10:10:41,2016.01.27 08:10:41,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE_PARTIAL,SELL,1.67000000,1.08600,1.08742,1.08503,DEAL_REASON_EXPERT,0,29,29,EURUSD,28,1.08669,1.08742,1.08503,73.0000,243.82000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,0.41780822,101.87000000,0.00000000,0.00000000,0.00000000,115.23000000,0.00000000,0.00000000,0.00000000,115.23000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.27 10:57:42,2016.01.27 08:57:42,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,SELL,1.67000000,1.08670,1.08742,1.08503,DEAL_REASON_SL,0,30,30,EURUSD,28,1.08669,1.08742,1.08503,73.0000,243.82000000,DEAL_REASON_SL,DEAL_REASON_SL,0.41095890,100.20000000,0.00000000,0.00000000,0.00000000,-1.67000000,0.00000000,0.00000000,0.00000000,-1.67000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.27 12:55:00,2016.01.27 10:55:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,SELL,4.38000000,1.08698,1.08746,1.08503,DEAL_REASON_EXPERT,0,31,31,EURUSD,31,1.08698,1.08746,1.08503,48.0000,210.24000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.08333333,-17.52000000,0.00000000,-17.52000000,0.00000000,0.00000000,-17.52000000,0.00000000,0.00000000,-17.52000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.27 13:35:27,2016.01.27 11:35:27,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,SELL,4.38000000,1.08748,1.08746,1.08503,DEAL_REASON_SL,0,32,32,EURUSD,31,1.08698,1.08746,1.08503,48.0000,210.24000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.12500000,-236.52000000,0.00000000,0.00000000,0.00000000,-219.00000000,0.00000000,0.00000000,0.00000000,-219.00000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.04 09:00:00,2016.02.04 07:00:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,4.18000000,1.10750,1.10695,1.11164,DEAL_REASON_EXPERT,0,33,33,EURUSD,33,1.10750,1.10695,1.11164,55.0000,229.90000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.07272727,-16.72000000,0.00000000,-16.72000000,0.00000000,0.00000000,-16.72000000,0.00000000,0.00000000,-16.72000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.04 09:15:05,2016.02.04 07:15:05,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,4.18000000,1.10695,1.10695,1.11164,DEAL_REASON_SL,0,34,34,EURUSD,33,1.10750,1.10695,1.11164,55.0000,229.90000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.07272727,-246.62000000,0.00000000,0.00000000,0.00000000,-229.90000000,0.00000000,0.00000000,0.00000000,-229.90000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.04 09:35:00,2016.02.04 07:35:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,2.14000000,1.10807,1.10694,1.11164,DEAL_REASON_EXPERT,0,35,35,EURUSD,35,1.10807,1.10694,1.11164,113.0000,241.82000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.03539823,-8.56000000,0.00000000,-8.56000000,0.00000000,0.00000000,-8.56000000,0.00000000,0.00000000,-8.56000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.04 10:01:44,2016.02.04 08:01:44,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE_PARTIAL,BUY,1.07000000,1.10954,1.10694,1.11164,DEAL_REASON_EXPERT,0,36,36,EURUSD,35,1.10807,1.10694,1.11164,113.0000,241.82000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,0.61504425,148.73000000,0.00000000,0.00000000,0.00000000,157.29000000,0.00000000,0.00000000,0.00000000,157.29000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
