sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000045-BUY,2026-07-14T19:40:50.146,2026-07-14T19:40:51.287,USDJPY,BUY,ask,162.11000000,162.11100000,0.01000000,1000,1141
Q000045-SELL,2026-07-14T19:40:50.146,2026-07-14T19:40:51.287,USDJPY,SELL,bid,162.10600000,162.10700000,0.01000000,1000,1141
Q000046-BUY,2026-07-14T19:40:51.287,2026-07-14T19:40:52.461,USDJPY,BUY,ask,162.11100000,162.11000000,0.01000000,1000,1174
Q000046-SELL,2026-07-14T19:40:51.287,2026-07-14T19:40:52.461,USDJPY,SELL,bid,162.10700000,162.10600000,0.01000000,1000,1174
Q000047-BUY,2026-07-14T19:41:10.801,2026-07-14T19:41:12.162,USDJPY,BUY,ask,162.11300000,162.11400000,0.01000000,1000,1361
Q000047-SELL,2026-07-14T19:41:10.801,2026-07-14T19:41:12.162,USDJPY,SELL,bid,162.11100000,162.11200000,0.01000000,1000,1361
Q000048-BUY,2026-07-14T19:42:23.072,2026-07-14T19:42:24.514,USDJPY,BUY,ask,162.13300000,162.13400000,0.01000000,1000,1442
Q000048-SELL,2026-07-14T19:42:23.072,2026-07-14T19:42:24.514,USDJPY,SELL,bid,162.13100000,162.13200000,0.01000000,1000,1442
Q000049-BUY,2026-07-14T19:42:24.514,2026-07-14T19:42:25.805,USDJPY,BUY,ask,162.13400000,162.13300000,0.01000000,1000,1291
Q000049-SELL,2026-07-14T19:42:24.514,2026-07-14T19:42:25.805,USDJPY,SELL,bid,162.13200000,162.13100000,0.01000000,1000,1291
Q000050-BUY,2026-07-14T19:42:31.341,2026-07-14T19:42:32.693,USDJPY,BUY,ask,162.13200000,162.13300000,0.01000000,1000,1352
Q000050-SELL,2026-07-14T19:42:31.341,2026-07-14T19:42:32.693,USDJPY,SELL,bid,162.13000000,162.13000000,0.01000000,1000,1352
Q000051-BUY,2026-07-14T19:43:00.441,2026-07-14T19:43:01.776,USDJPY,BUY,ask,162.13600000,162.13600000,0.01000000,1000,1335
Q000051-SELL,2026-07-14T19:43:00.441,2026-07-14T19:43:01.776,USDJPY,SELL,bid,162.13400000,162.13400000,0.01000000,1000,1335
Q000052-BUY,2026-07-14T19:43:11.961,2026-07-14T19:43:13.043,USDJPY,BUY,ask,162.13700000,162.13600000,0.01000000,1000,1082
Q000052-SELL,2026-07-14T19:43:11.961,2026-07-14T19:43:13.043,USDJPY,SELL,bid,162.13400000,162.13400000,0.01000000,1000,1082
Q000053-BUY,2026-07-14T19:43:24.801,2026-07-14T19:43:26.039,USDJPY,BUY,ask,162.13200000,162.13100000,0.01000000,1000,1238
Q000053-SELL,2026-07-14T19:43:24.801,2026-07-14T19:43:26.039,USDJPY,SELL,bid,162.13000000,162.12900000,0.01000000,1000,1238
Q000054-BUY,2026-07-14T19:43:51.941,2026-07-14T19:43:53.317,USDJPY,BUY,ask,162.13100000,162.13200000,0.01000000,1000,1376
Q000054-SELL,2026-07-14T19:43:51.941,2026-07-14T19:43:53.317,USDJPY,SELL,bid,162.12900000,162.13000000,0.01000000,1000,1376
Q000055-BUY,2026-07-14T19:44:01.341,2026-07-14T19:44:02.487,USDJPY,BUY,ask,162.13300000,162.13200000,0.01000000,1000,1146
Q000055-SELL,2026-07-14T19:44:01.341,2026-07-14T19:44:02.487,USDJPY,SELL,bid,162.13100000,162.13000000,0.01000000,1000,1146
Q000056-BUY,2026-07-14T19:44:14.839,2026-07-14T19:44:15.922,USDJPY,BUY,ask,162.13700000,162.13700000,0.01000000,1000,1083
Q000056-SELL,2026-07-14T19:44:14.839,2026-07-14T19:44:15.922,USDJPY,SELL,bid,162.13500000,162.13400000,0.01000000,1000,1083
Q000057-BUY,2026-07-14T19:45:00.337,2026-07-14T19:45:01.409,USDJPY,BUY,ask,162.13800000,162.13500000,0.01000000,1000,1072
Q000057-SELL,2026-07-14T19:45:00.337,2026-07-14T19:45:01.409,USDJPY,SELL,bid,162.13600000,162.13300000,0.01000000,1000,1072
Q000058-BUY,2026-07-14T19:45:16.310,2026-07-14T19:45:17.563,USDJPY,BUY,ask,162.13100000,162.12800000,0.01000000,1000,1253
Q000058-SELL,2026-07-14T19:45:16.310,2026-07-14T19:45:17.563,USDJPY,SELL,bid,162.12900000,162.12600000,0.01000000,1000,1253
Q000059-BUY,2026-07-14T19:45:48.116,2026-07-14T19:45:49.475,USDJPY,BUY,ask,162.14000000,162.14100000,0.01000000,1000,1359
Q000059-SELL,2026-07-14T19:45:48.116,2026-07-14T19:45:49.475,USDJPY,SELL,bid,162.13800000,162.13800000,0.01000000,1000,1359
Q000060-BUY,2026-07-14T19:45:49.475,2026-07-14T19:45:50.695,USDJPY,BUY,ask,162.14100000,162.14000000,0.01000000,1000,1220
Q000060-SELL,2026-07-14T19:45:49.475,2026-07-14T19:45:50.695,USDJPY,SELL,bid,162.13800000,162.13800000,0.01000000,1000,1220
Q000061-BUY,2026-07-14T19:46:04.833,2026-07-14T19:46:06.083,USDJPY,BUY,ask,162.14500000,162.14400000,0.01000000,1000,1250
Q000061-SELL,2026-07-14T19:46:04.833,2026-07-14T19:46:06.083,USDJPY,SELL,bid,162.14200000,162.14200000,0.01000000,1000,1250
Q000062-BUY,2026-07-14T19:46:37.976,2026-07-14T19:46:39.060,USDJPY,BUY,ask,162.14400000,162.14400000,0.01000000,1000,1084
Q000062-SELL,2026-07-14T19:46:37.976,2026-07-14T19:46:39.060,USDJPY,SELL,bid,162.14200000,162.14100000,0.01000000,1000,1084
Q000063-BUY,2026-07-14T19:46:43.910,2026-07-14T19:46:45.344,USDJPY,BUY,ask,162.14400000,162.14500000,0.01000000,1000,1434
Q000063-SELL,2026-07-14T19:46:43.910,2026-07-14T19:46:45.344,USDJPY,SELL,bid,162.14200000,162.14300000,0.01000000,1000,1434
Q000064-BUY,2026-07-14T19:47:06.737,2026-07-14T19:47:08.213,USDJPY,BUY,ask,162.14700000,162.14600000,0.01000000,1000,1476
Q000064-SELL,2026-07-14T19:47:06.737,2026-07-14T19:47:08.213,USDJPY,SELL,bid,162.14400000,162.14400000,0.01000000,1000,1476
Q000065-BUY,2026-07-14T19:47:48.190,2026-07-14T19:47:49.570,USDJPY,BUY,ask,162.14400000,162.14400000,0.01000000,1000,1380
Q000065-SELL,2026-07-14T19:47:48.190,2026-07-14T19:47:49.570,USDJPY,SELL,bid,162.14100000,162.14200000,0.01000000,1000,1380
Q000066-BUY,2026-07-14T19:48:00.615,2026-07-14T19:48:02.066,USDJPY,BUY,ask,162.14700000,162.14700000,0.01000000,1000,1451
Q000066-SELL,2026-07-14T19:48:00.615,2026-07-14T19:48:02.066,USDJPY,SELL,bid,162.14500000,162.14500000,0.01000000,1000,1451
Q000067-BUY,2026-07-14T19:48:04.104,2026-07-14T19:48:05.186,USDJPY,BUY,ask,162.14800000,162.14700000,0.01000000,1000,1082
Q000067-SELL,2026-07-14T19:48:04.104,2026-07-14T19:48:05.186,USDJPY,SELL,bid,162.14600000,162.14500000,0.01000000,1000,1082
Q000068-BUY,2026-07-14T19:48:35.625,2026-07-14T19:48:37.041,USDJPY,BUY,ask,162.15200000,162.15200000,0.01000000,1000,1416
Q000068-SELL,2026-07-14T19:48:35.625,2026-07-14T19:48:37.041,USDJPY,SELL,bid,162.14900000,162.14900000,0.01000000,1000,1416
Q000069-BUY,2026-07-14T19:48:39.722,2026-07-14T19:48:41.105,USDJPY,BUY,ask,162.15000000,162.15000000,0.01000000,1000,1383
Q000069-SELL,2026-07-14T19:48:39.722,2026-07-14T19:48:41.105,USDJPY,SELL,bid,162.14800000,162.14800000,0.01000000,1000,1383
