event_time_entry,action,order_type,volume,price_entry,symbol,position_id,risk_pts,initial_risk_account,deal,deal_profit,deal_commission,deal_swap,deal_fee,deal_net,is_final_close,event_time_exit,price_exit,net_usd,server_time,utc_time,variant,regime,event,status,adx,atr,rsi,session_vwap,session_sd,shadow_vwap,shadow_sd,session_anchor_utc,avwap_anchor_server,avwap_confirmed_server,anchored_vwap,m15_close,m15_vwap,entry,stop,target,estimated_cost_pips,spread_pips,direction,entry_time_server,entry_time_utc,exit_time_server,exit_time_utc,entry_price,exit_price,stop_price,target_price,net_R,outcome,hold_minutes,regime_label,session_phase,risk_bucket,atr_bucket,exit_class
2019-09-09 15:40:00,OPEN,BUY,0.92,1.10516,EURUSD,22,255.0,248.4,22,0.0,-3.68,0.0,0.0,-3.68,0,2019-09-09 17:20:00,1.10589,63.48,2019-09-09 15:40:00,2019-09-09 12:40:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,19.342538,0.00048,72.974528,1.10326,0.00049,1.10324,0.00041,2019.09.09 07:00:00,2019.09.09 15:05:00,2019.09.09 15:20:00,1.10384,1.10327,1.10318,1.10516,1.10261,1.10975,1.8,0.3,1,2019-09-09 15:40:00,2019-09-09 12:40:00,2019-09-09 17:20:00,2019-09-09 14:20:00,1.10516,1.10589,1.10261,1.10975,0.25555555555555554,WIN,100.0,TREND,LONDON_NY_OVERLAP,HIGH,LOW,NON_LEVEL_FINAL_CLOSE
2019-09-10 18:00:00,OPEN,BUY,2.54,1.1042,EURUSD,24,83.0,248.92,24,0.0,-10.16,0.0,0.0,-10.16,0,2019-09-10 19:40:00,1.10449,63.5,2019-09-10 18:00:00,2019-09-10 15:00:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,26.508486,0.00043,56.051194,1.10409,0.00051,1.10407,0.00046,2019.09.10 07:00:00,2019.09.10 17:20:00,2019.09.10 17:35:00,1.10382,1.10419,1.10407,1.1042,1.10337,1.10569,1.7,0.2,1,2019-09-10 18:00:00,2019-09-10 15:00:00,2019-09-10 19:40:00,2019-09-10 16:40:00,1.1042,1.10449,1.10337,1.10569,0.25510204081632654,WIN,100.0,TREND,NY_LATE,LOW,LOW,NON_LEVEL_FINAL_CLOSE
2019-09-24 19:50:00,OPEN,SELL,5.09,1.10127,EURUSD,26,34.0,249.41,26,0.0,-20.36,0.0,0.0,-20.36,0,2019-09-24 19:52:16,1.10161,-193.42000000000002,2019-09-24 19:50:00,2019-09-24 16:50:00,PRIMARY_TICK_LONDON,0,RANGE_SHORT,ORDER_ACCEPTED,27.167131,0.00036,74.186254,1.09983,0.00063,1.09978,0.00061,2019.09.24 07:00:00,1970.01.01 00:00:00,1970.01.01 00:00:00,0.0,0.0,0.0,1.10127,1.10161,1.09983,1.6,0.1,-1,2019-09-24 19:50:00,2019-09-24 16:50:00,2019-09-24 19:52:16,2019-09-24 16:52:16,1.10127,1.10161,1.10161,1.09983,-0.7755102040816327,LOSS,2.2666666666666666,RANGE,NY_LATE,LOW,LOW,STOP_LEVEL
2019-09-26 22:40:00,OPEN,BUY,2.32,1.0917,EURUSD,28,92.0,248.24,28,0.0,-9.28,0.0,0.0,-9.28,0,2019-09-26 23:00:00,1.09177,6.959999999999999,2019-09-26 22:40:00,2019-09-26 19:40:00,PRIMARY_TICK_LONDON,0,RANGE_LONG,ORDER_ACCEPTED,28.136766,0.0003,29.279016,1.09387,0.00109,1.09377,0.00105,2019.09.26 07:00:00,1970.01.01 00:00:00,1970.01.01 00:00:00,0.0,0.0,0.0,1.0917,1.09078,1.09387,1.8,0.3,1,2019-09-26 22:40:00,2019-09-26 19:40:00,2019-09-26 23:00:00,2019-09-26 20:00:00,1.0917,1.09177,1.09078,1.09387,0.02803738317757009,WIN,20.0,RANGE,NY_LATE,MID,LOW,NON_LEVEL_FINAL_CLOSE
2019-10-10 11:20:00,OPEN,BUY,2.51,1.10187,EURUSD,30,84.0,248.49,30,0.0,-10.04,0.0,0.0,-10.04,0,2019-10-10 13:00:00,1.10302,278.60999999999996,2019-10-10 11:20:00,2019-10-10 08:20:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,28.706552,0.00043,69.11276,1.10136,0.00034,1.10142,0.00032,2019.10.10 07:00:00,2019.10.10 10:50:00,2019.10.10 11:05:00,1.10161,1.10151,1.10139,1.10187,1.10103,1.10338,1.7,0.2,1,2019-10-10 11:20:00,2019-10-10 08:20:00,2019-10-10 13:00:00,2019-10-10 10:00:00,1.10187,1.10302,1.10103,1.10338,1.121212121212121,WIN,100.0,TREND,LONDON_EARLY,LOW,LOW,NON_LEVEL_FINAL_CLOSE
2019-10-11 22:45:00,OPEN,BUY,2.5,1.10432,EURUSD,32,85.0,250.0,32,0.0,-10.0,0.0,0.0,-10.0,0,2019-10-11 23:00:00,1.10404,-80.0,2019-10-11 22:45:00,2019-10-11 19:45:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,42.114679,0.00029,52.434047,1.10372,0.00153,1.10364,0.00147,2019.10.11 07:00:00,2019.10.11 21:10:00,2019.10.11 21:25:00,1.10416,1.1043,1.10372,1.10432,1.10347,1.10585,1.6,0.1,1,2019-10-11 22:45:00,2019-10-11 19:45:00,2019-10-11 23:00:00,2019-10-11 20:00:00,1.10432,1.10404,1.10347,1.10585,-0.32,LOSS,15.0,TREND,NY_LATE,MID,LOW,NON_LEVEL_FINAL_CLOSE
2019-10-15 17:30:00,OPEN,BUY,0.72,1.10243,EURUSD,34,329.0,247.68,34,0.0,-2.88,0.0,0.0,-2.88,0,2019-10-15 19:10:00,1.10356,78.48,2019-10-15 17:30:00,2019-10-15 14:30:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,37.528306,0.00057,73.163061,1.10125,0.00102,1.10119,0.00103,2019.10.15 07:00:00,2019.10.15 17:10:00,2019.10.15 17:25:00,1.10057,1.10243,1.10128,1.10243,1.09914,1.10835,1.6,0.1,1,2019-10-15 17:30:00,2019-10-15 14:30:00,2019-10-15 19:10:00,2019-10-15 16:10:00,1.10243,1.10356,1.09914,1.10835,0.3168604651162791,WIN,100.0,TREND,LONDON_NY_OVERLAP,HIGH,MID,NON_LEVEL_FINAL_CLOSE
2019-10-15 20:00:00,OPEN,BUY,2.8,1.10228,EURUSD,36,74.0,249.2,36,0.0,-11.2,0.0,0.0,-11.2,0,2019-10-15 21:40:00,1.10332,280.0,2019-10-15 20:00:00,2019-10-15 17:00:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,47.819075,0.00044,47.694907,1.10192,0.00133,1.10168,0.00129,2019.10.15 07:00:00,2019.10.15 19:25:00,2019.10.15 19:40:00,1.10195,1.10227,1.10194,1.10228,1.10154,1.10361,1.6,0.1,1,2019-10-15 20:00:00,2019-10-15 17:00:00,2019-10-15 21:40:00,2019-10-15 18:40:00,1.10228,1.10332,1.10154,1.10361,1.1235955056179776,WIN,100.0,TREND,NY_LATE,LOW,LOW,NON_LEVEL_FINAL_CLOSE
2019-10-16 13:00:00,OPEN,BUY,2.27,1.10397,EURUSD,38,95.0,249.7,38,0.0,-9.08,0.0,0.0,-9.08,0,2019-10-16 13:44:03,1.10302,-224.73000000000002,2019-10-16 13:00:00,2019-10-16 10:00:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,25.319616,0.00047,59.030306,1.10355,0.00057,1.1035,0.00058,2019.10.16 07:00:00,2019.10.16 12:15:00,2019.10.16 12:30:00,1.10301,1.10396,1.10356,1.10397,1.10302,1.10568,1.7,0.2,1,2019-10-16 13:00:00,2019-10-16 10:00:00,2019-10-16 13:44:03,2019-10-16 10:44:03,1.10397,1.10302,1.10302,1.10568,-0.9000000000000001,LOSS,44.05,TREND,LONDON_EARLY,MID,LOW,STOP_LEVEL
2019-10-24 16:30:00,OPEN,SELL,1.85,1.11331,EURUSD,40,120.0,249.75,40,0.0,-7.4,0.0,0.0,-7.4,0,2019-10-24 16:51:15,1.11115,392.20000000000005,2019-10-24 16:30:00,2019-10-24 13:30:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,29.078811,0.00074,48.648659,1.11361,0.00095,1.11326,0.00079,2019.10.24 07:00:00,2019.10.24 16:15:00,2019.10.24 16:30:00,1.11397,1.11332,1.11364,1.11331,1.11451,1.11115,1.6,0.1,-1,2019-10-24 16:30:00,2019-10-24 13:30:00,2019-10-24 16:51:15,2019-10-24 13:51:15,1.11331,1.11115,1.11451,1.11115,1.5703703703703706,WIN,21.25,TREND,LONDON_NY_OVERLAP,MID,HIGH,TARGET_LEVEL
