case_id,sample_rank,position_id,entry_time_utc,decision_time_utc,direction,direction_label,entry,sl,tp,exit_time_utc,exit,reason,label,net_account,net_R,volume,risk_points,initial_risk_account,hold_minutes,entry_year
R100_032_PID000000166,32,166,2020-04-20T01:25:30,2020-04-20T01:20:00,-1,SELL,1.08684,1.08713,1.08626,2020-04-20T03:04:36,1.08625,TP_LIKE,WIN_NET_POSITIVE,18.70000000,1.8965517241,0.34,29.0,9.86,99.1000,2020
R100_033_PID000000444,33,444,2022-04-11T03:30:00,2022-04-11T03:25:00,-1,SELL,1.08846,1.0892,1.08698,2022-04-11T03:55:04,1.08921,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.27000000,-1.0675675676,0.13,74.0,9.62,25.0667,2022
R100_034_PID000000390,34,390,2021-10-26T03:20:00,2021-10-26T03:15:00,-1,SELL,1.16022,1.16084,1.15898,2021-10-26T04:16:35,1.16084,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.56000000,-1.0645161290,0.16,62.0,9.92,56.5833,2021
R100_035_PID000000002,35,2,2019-01-03T02:30:00,2019-01-03T02:25:00,1,BUY,1.13421,1.13321,1.13621,2019-01-03T04:30:00,1.13548,TIMEOUT_OR_OTHER,WIN_NET_POSITIVE,12.30000000,1.2300000000,0.1,100.0,10.0,120.0000,2019
R100_036_PID000000374,36,374,2021-08-23T00:30:00,2021-08-23T00:25:00,-1,SELL,1.16957,1.16976,1.16919,2021-08-23T01:00:34,1.16976,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.96000000,-1.2105263158,0.52,19.0,9.88,30.5667,2021
R100_037_PID000000424,37,424,2022-02-04T02:15:00,2022-02-04T02:10:00,-1,SELL,1.14339,1.14364,1.14289,2022-02-04T02:25:59,1.14367,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.48000000,-1.2800000000,0.39,25.0,9.75,10.9833,2022
R100_038_PID000000218,38,218,2020-08-21T04:05:00,2020-08-21T04:00:00,1,BUY,1.18727,1.18702,1.18777,2020-08-21T04:09:32,1.18702,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.31000000,-1.1600000000,0.39,25.0,9.75,4.5333,2020
R100_039_PID000000508,39,508,2022-10-03T00:30:00,2022-10-03T00:25:00,-1,SELL,0.97972,0.98103,0.9771,2022-10-03T02:30:00,0.97979,TIMEOUT_OR_OTHER,LOSS_NET_NONPOSITIVE,-0.77000000,-0.0839694656,0.07,131.0,9.17,120.0000,2022
R100_040_PID000000144,40,144,2020-03-17T03:30:00,2020-03-17T03:25:00,1,BUY,1.11679,1.11592,1.11853,2020-03-17T04:35:26,1.11854,TP_LIKE,WIN_NET_POSITIVE,18.81000000,1.9655172414,0.11,87.0,9.57,65.4333,2020
R100_041_PID000000004,41,4,2019-01-23T03:20:00,2019-01-23T03:15:00,-1,SELL,1.13614,1.13633,1.13576,2019-01-23T03:23:00,1.13633,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.96000000,-1.2105263158,0.52,19.0,9.88,3.0000,2019
R100_042_PID000000448,42,448,2022-04-20T04:15:00,2022-04-20T04:10:00,1,BUY,1.07981,1.07941,1.08061,2022-04-20T04:18:35,1.07941,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.56000000,-1.1000000000,0.24,40.0,9.6,3.5833,2022
