sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000037-BUY,2026-07-14T16:50:26.940,2026-07-14T16:50:28.158,EURUSD,BUY,ask,1.14532000,1.14532000,0.00010000,1000,1218
Q000037-SELL,2026-07-14T16:50:26.940,2026-07-14T16:50:28.158,EURUSD,SELL,bid,1.14530000,1.14530000,0.00010000,1000,1218
Q000038-BUY,2026-07-14T16:50:28.158,2026-07-14T16:50:29.162,EURUSD,BUY,ask,1.14532000,1.14528000,0.00010000,1000,1004
Q000038-SELL,2026-07-14T16:50:28.158,2026-07-14T16:50:29.162,EURUSD,SELL,bid,1.14530000,1.14526000,0.00010000,1000,1004
Q000039-BUY,2026-07-14T16:50:31.747,2026-07-14T16:50:32.942,EURUSD,BUY,ask,1.14525000,1.14521000,0.00010000,1000,1195
Q000039-SELL,2026-07-14T16:50:31.747,2026-07-14T16:50:32.942,EURUSD,SELL,bid,1.14523000,1.14519000,0.00010000,1000,1195
Q000040-BUY,2026-07-14T16:50:32.942,2026-07-14T16:50:34.150,EURUSD,BUY,ask,1.14521000,1.14519000,0.00010000,1000,1208
Q000040-SELL,2026-07-14T16:50:32.942,2026-07-14T16:50:34.150,EURUSD,SELL,bid,1.14519000,1.14517000,0.00010000,1000,1208
Q000041-BUY,2026-07-14T16:50:37.189,2026-07-14T16:50:38.683,EURUSD,BUY,ask,1.14521000,1.14518000,0.00010000,1000,1494
Q000041-SELL,2026-07-14T16:50:37.189,2026-07-14T16:50:38.683,EURUSD,SELL,bid,1.14519000,1.14516000,0.00010000,1000,1494
Q000042-BUY,2026-07-14T16:50:41.486,2026-07-14T16:50:42.793,EURUSD,BUY,ask,1.14519000,1.14520000,0.00010000,1000,1307
Q000042-SELL,2026-07-14T16:50:41.486,2026-07-14T16:50:42.793,EURUSD,SELL,bid,1.14517000,1.14518000,0.00010000,1000,1307
Q000043-BUY,2026-07-14T16:50:47.187,2026-07-14T16:50:48.291,EURUSD,BUY,ask,1.14519000,1.14515000,0.00010000,1000,1104
Q000043-SELL,2026-07-14T16:50:47.187,2026-07-14T16:50:48.291,EURUSD,SELL,bid,1.14517000,1.14513000,0.00010000,1000,1104
Q000044-BUY,2026-07-14T16:50:49.087,2026-07-14T16:50:50.110,EURUSD,BUY,ask,1.14513000,1.14512000,0.00010000,1000,1023
Q000044-SELL,2026-07-14T16:50:49.087,2026-07-14T16:50:50.110,EURUSD,SELL,bid,1.14511000,1.14510000,0.00010000,1000,1023
Q000045-BUY,2026-07-14T16:50:50.110,2026-07-14T16:50:51.473,EURUSD,BUY,ask,1.14512000,1.14512000,0.00010000,1000,1363
Q000045-SELL,2026-07-14T16:50:50.110,2026-07-14T16:50:51.473,EURUSD,SELL,bid,1.14510000,1.14510000,0.00010000,1000,1363
Q000046-BUY,2026-07-14T16:50:51.473,2026-07-14T16:50:52.688,EURUSD,BUY,ask,1.14512000,1.14509000,0.00010000,1000,1215
Q000046-SELL,2026-07-14T16:50:51.473,2026-07-14T16:50:52.688,EURUSD,SELL,bid,1.14510000,1.14507000,0.00010000,1000,1215
Q000047-BUY,2026-07-14T16:50:52.688,2026-07-14T16:50:53.782,EURUSD,BUY,ask,1.14509000,1.14510000,0.00010000,1000,1094
Q000047-SELL,2026-07-14T16:50:52.688,2026-07-14T16:50:53.782,EURUSD,SELL,bid,1.14507000,1.14508000,0.00010000,1000,1094
Q000048-BUY,2026-07-14T16:50:53.782,2026-07-14T16:50:54.791,EURUSD,BUY,ask,1.14510000,1.14510000,0.00010000,1000,1009
Q000048-SELL,2026-07-14T16:50:53.782,2026-07-14T16:50:54.791,EURUSD,SELL,bid,1.14508000,1.14508000,0.00010000,1000,1009
Q000049-BUY,2026-07-14T16:50:55.441,2026-07-14T16:50:56.453,EURUSD,BUY,ask,1.14514000,1.14516000,0.00010000,1000,1012
Q000049-SELL,2026-07-14T16:50:55.441,2026-07-14T16:50:56.453,EURUSD,SELL,bid,1.14512000,1.14514000,0.00010000,1000,1012
Q000050-BUY,2026-07-14T16:50:57.342,2026-07-14T16:50:58.708,EURUSD,BUY,ask,1.14517000,1.14518000,0.00010000,1000,1366
Q000050-SELL,2026-07-14T16:50:57.342,2026-07-14T16:50:58.708,EURUSD,SELL,bid,1.14515000,1.14515000,0.00010000,1000,1366
Q000051-BUY,2026-07-14T16:51:06.271,2026-07-14T16:51:07.502,EURUSD,BUY,ask,1.14520000,1.14524000,0.00010000,1000,1231
Q000051-SELL,2026-07-14T16:51:06.271,2026-07-14T16:51:07.502,EURUSD,SELL,bid,1.14518000,1.14522000,0.00010000,1000,1231
Q000052-BUY,2026-07-14T16:51:07.502,2026-07-14T16:51:08.545,EURUSD,BUY,ask,1.14524000,1.14525000,0.00010000,1000,1043
Q000052-SELL,2026-07-14T16:51:07.502,2026-07-14T16:51:08.545,EURUSD,SELL,bid,1.14522000,1.14523000,0.00010000,1000,1043
Q000053-BUY,2026-07-14T16:51:10.968,2026-07-14T16:51:11.988,EURUSD,BUY,ask,1.14520000,1.14521000,0.00010000,1000,1020
Q000053-SELL,2026-07-14T16:51:10.968,2026-07-14T16:51:11.988,EURUSD,SELL,bid,1.14518000,1.14519000,0.00010000,1000,1020
Q000054-BUY,2026-07-14T16:51:14.139,2026-07-14T16:51:15.493,EURUSD,BUY,ask,1.14521000,1.14526000,0.00010000,1000,1354
Q000054-SELL,2026-07-14T16:51:14.139,2026-07-14T16:51:15.493,EURUSD,SELL,bid,1.14519000,1.14524000,0.00010000,1000,1354
Q000055-BUY,2026-07-14T16:51:15.493,2026-07-14T16:51:16.527,EURUSD,BUY,ask,1.14526000,1.14528000,0.00010000,1000,1034
Q000055-SELL,2026-07-14T16:51:15.493,2026-07-14T16:51:16.527,EURUSD,SELL,bid,1.14524000,1.14526000,0.00010000,1000,1034
Q000056-BUY,2026-07-14T16:51:19.546,2026-07-14T16:51:20.753,EURUSD,BUY,ask,1.14531000,1.14526000,0.00010000,1000,1207
Q000056-SELL,2026-07-14T16:51:19.546,2026-07-14T16:51:20.753,EURUSD,SELL,bid,1.14529000,1.14524000,0.00010000,1000,1207
Q000057-BUY,2026-07-14T16:51:20.753,2026-07-14T16:51:21.994,EURUSD,BUY,ask,1.14526000,1.14522000,0.00010000,1000,1241
Q000057-SELL,2026-07-14T16:51:20.753,2026-07-14T16:51:21.994,EURUSD,SELL,bid,1.14524000,1.14520000,0.00010000,1000,1241
Q000058-BUY,2026-07-14T16:51:22.902,2026-07-14T16:51:24.139,EURUSD,BUY,ask,1.14523000,1.14522000,0.00010000,1000,1237
Q000058-SELL,2026-07-14T16:51:22.902,2026-07-14T16:51:24.139,EURUSD,SELL,bid,1.14521000,1.14520000,0.00010000,1000,1237
Q000059-BUY,2026-07-14T16:51:24.139,2026-07-14T16:51:25.263,EURUSD,BUY,ask,1.14522000,1.14523000,0.00010000,1000,1124
Q000059-SELL,2026-07-14T16:51:24.139,2026-07-14T16:51:25.263,EURUSD,SELL,bid,1.14520000,1.14521000,0.00010000,1000,1124
Q000060-BUY,2026-07-14T16:51:25.263,2026-07-14T16:51:26.344,EURUSD,BUY,ask,1.14523000,1.14521000,0.00010000,1000,1081
Q000060-SELL,2026-07-14T16:51:25.263,2026-07-14T16:51:26.344,EURUSD,SELL,bid,1.14521000,1.14519000,0.00010000,1000,1081
Q000061-BUY,2026-07-14T16:51:26.344,2026-07-14T16:51:27.396,EURUSD,BUY,ask,1.14521000,1.14522000,0.00010000,1000,1052
Q000061-SELL,2026-07-14T16:51:26.344,2026-07-14T16:51:27.396,EURUSD,SELL,bid,1.14519000,1.14520000,0.00010000,1000,1052
Q000062-BUY,2026-07-14T16:51:54.140,2026-07-14T16:51:55.391,EURUSD,BUY,ask,1.14519000,1.14514000,0.00010000,1000,1251
Q000062-SELL,2026-07-14T16:51:54.140,2026-07-14T16:51:55.391,EURUSD,SELL,bid,1.14517000,1.14512000,0.00010000,1000,1251
Q000063-BUY,2026-07-14T16:52:25.239,2026-07-14T16:52:26.537,EURUSD,BUY,ask,1.14502000,1.14504000,0.00010000,1000,1298
Q000063-SELL,2026-07-14T16:52:25.239,2026-07-14T16:52:26.537,EURUSD,SELL,bid,1.14500000,1.14502000,0.00010000,1000,1298
Q000064-BUY,2026-07-14T16:52:48.175,2026-07-14T16:52:49.365,EURUSD,BUY,ask,1.14494000,1.14492000,0.00010000,1000,1190
Q000064-SELL,2026-07-14T16:52:48.175,2026-07-14T16:52:49.365,EURUSD,SELL,bid,1.14492000,1.14490000,0.00010000,1000,1190
Q000065-BUY,2026-07-14T16:53:02.949,2026-07-14T16:53:04.237,EURUSD,BUY,ask,1.14488000,1.14492000,0.00010000,1000,1288
Q000065-SELL,2026-07-14T16:53:02.949,2026-07-14T16:53:04.237,EURUSD,SELL,bid,1.14486000,1.14490000,0.00010000,1000,1288
Q000066-BUY,2026-07-14T16:53:40.427,2026-07-14T16:53:41.827,EURUSD,BUY,ask,1.14506000,1.14510000,0.00010000,1000,1400
Q000066-SELL,2026-07-14T16:53:40.427,2026-07-14T16:53:41.827,EURUSD,SELL,bid,1.14504000,1.14508000,0.00010000,1000,1400
Q000067-BUY,2026-07-14T16:54:13.990,2026-07-14T16:54:15.085,EURUSD,BUY,ask,1.14529000,1.14528000,0.00010000,1000,1095
Q000067-SELL,2026-07-14T16:54:13.990,2026-07-14T16:54:15.085,EURUSD,SELL,bid,1.14527000,1.14526000,0.00010000,1000,1095
Q000068-BUY,2026-07-14T16:54:20.185,2026-07-14T16:54:21.648,EURUSD,BUY,ask,1.14524000,1.14526000,0.00010000,1000,1463
Q000068-SELL,2026-07-14T16:54:20.185,2026-07-14T16:54:21.648,EURUSD,SELL,bid,1.14522000,1.14524000,0.00010000,1000,1463
Q000069-BUY,2026-07-14T16:54:32.580,2026-07-14T16:54:33.793,EURUSD,BUY,ask,1.14534000,1.14535000,0.00010000,1000,1213
Q000069-SELL,2026-07-14T16:54:32.580,2026-07-14T16:54:33.793,EURUSD,SELL,bid,1.14532000,1.14533000,0.00010000,1000,1213
Q000070-BUY,2026-07-14T16:54:38.995,2026-07-14T16:54:40.172,EURUSD,BUY,ask,1.14532000,1.14533000,0.00010000,1000,1177
Q000070-SELL,2026-07-14T16:54:38.995,2026-07-14T16:54:40.172,EURUSD,SELL,bid,1.14530000,1.14531000,0.00010000,1000,1177
Q000071-BUY,2026-07-14T16:54:49.496,2026-07-14T16:54:50.888,EURUSD,BUY,ask,1.14530000,1.14528000,0.00010000,1000,1392
Q000071-SELL,2026-07-14T16:54:49.496,2026-07-14T16:54:50.888,EURUSD,SELL,bid,1.14528000,1.14526000,0.00010000,1000,1392
Q000072-BUY,2026-07-14T16:54:50.888,2026-07-14T16:54:52.381,EURUSD,BUY,ask,1.14528000,1.14523000,0.00010000,1000,1493
Q000072-SELL,2026-07-14T16:54:50.888,2026-07-14T16:54:52.381,EURUSD,SELL,bid,1.14526000,1.14521000,0.00010000,1000,1493
Q000073-BUY,2026-07-14T16:55:18.609,2026-07-14T16:55:20.013,EURUSD,BUY,ask,1.14531000,1.14529000,0.00010000,1000,1404
Q000073-SELL,2026-07-14T16:55:18.609,2026-07-14T16:55:20.013,EURUSD,SELL,bid,1.14529000,1.14527000,0.00010000,1000,1404
Q000074-BUY,2026-07-14T16:55:35.282,2026-07-14T16:55:36.643,EURUSD,BUY,ask,1.14521000,1.14520000,0.00010000,1000,1361
Q000074-SELL,2026-07-14T16:55:35.282,2026-07-14T16:55:36.643,EURUSD,SELL,bid,1.14519000,1.14518000,0.00010000,1000,1361
Q000075-BUY,2026-07-14T16:55:41.393,2026-07-14T16:55:42.434,EURUSD,BUY,ask,1.14517000,1.14518000,0.00010000,1000,1041
