position_id,engine_name,outcome,net_r,conservative_mfe_r,conservative_mae_r,reached_0_25r,reached_0_50r,reached_1_00r
200,TREND_LONG,LOSS,-1.02469136,0.0,1.0,False,False,False
202,TREND_SHORT,WIN,0.15286624,0.6433121019107704,0.9108280254776926,True,True,False
204,TREND_SHORT,WIN,1.4806867,1.4978540772532525,0.8197424892703445,True,True,True
206,BREAKOUT_SHORT,LOSS,-1.05376344,0.09677419354855654,1.010752688172115,False,False,False
208,TREND_SHORT,WIN,1.48529412,1.5147058823528738,0.38235294117651863,True,True,True
210,BREAKOUT_LONG,LOSS,-1.10714286,0.0,1.0357142857145265,False,False,False
212,BREAKOUT_LONG,WIN,1.46428571,1.5119047619049728,0.9166666666666446,True,True,True
214,TREND_SHORT,WIN,1.37558685,1.4835680751174194,0.5915492957746757,True,True,True
216,TREND_LONG,LOSS,-1.02941176,0.639705882352874,1.0,True,True,False
218,TREND_SHORT,LOSS,-1.025,0.34999999999992365,1.0,True,False,False
220,TREND_SHORT,WIN,1.48,1.5133333333332721,0.8866666666666686,True,True,True
222,TREND_SHORT,LOSS,-1.04761905,0.2571428571428511,1.0095238095238719,True,False,False
224,BREAKOUT_SHORT,LOSS,-1.08196721,0.01639344262305823,1.0163934426226942,False,False,False
226,TREND_SHORT,LOSS,-1.03821656,0.33121019108288274,1.0127388535032693,True,False,False
228,TREND_SHORT,LOSS,-1.03703704,0.19444444444449013,1.0,False,False,False
230,TREND_SHORT,WIN,1.47530864,1.500000000000137,0.6172839506172332,True,True,True
232,TREND_SHORT,WIN,0.10576923,1.2019230769232392,0.451923076923079,True,True,True
234,BREAKOUT_LONG,LOSS,-1.05714286,1.214285714285873,1.0,True,True,True
236,TREND_LONG,LOSS,-1.02453988,0.0,1.0,False,False,False
238,TREND_SHORT,LOSS,-1.04761905,1.1190476190476129,1.0,True,True,True
240,TREND_SHORT,WIN,1.48701299,1.5129870129872434,0.39610389610392793,True,True,True
242,TREND_LONG,LOSS,-1.03478261,0.33913043478251803,1.0,True,False,False
244,TREND_SHORT,WIN,1.46774194,1.5564516129033312,0.6048387096774872,True,True,True
246,RANGE_SHORT,WIN,1.59259259,1.641975308642087,0.4444444444446272,True,True,True
248,BREAKOUT_LONG,WIN,1.43333333,1.5000000000003701,0.6166666666667037,True,True,True
250,BREAKOUT_SHORT,LOSS,-1.08196721,0.0,1.0163934426230583,False,False,False
252,TREND_SHORT,WIN,1.47619048,1.5034013605441643,0.3197278911564246,True,True,True
