event_time,action,order_type,volume,price,symbol,position_id,risk_pts,initial_risk_account,deal,deal_profit,deal_commission,deal_swap,deal_fee,deal_net,is_final_close
2024.10.18 11:50:00,OPEN,BUY,0.77000000,2705.23,XAUUSD,108,385.00000000,296.45000000,108,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.10.18 13:20:00,CLOSE,BUY,0.77000000,2712.81,XAUUSD,108,385.00000000,296.45000000,109,583.66000000,0.00000000,0.00000000,0.00000000,583.66000000,1
2024.10.21 09:25:00,OPEN,BUY,0.74000000,2727.16,XAUUSD,110,403.00000000,298.22000000,110,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.10.21 10:28:38,CLOSE,BUY,0.74000000,2727.11,XAUUSD,110,403.00000000,298.22000000,111,-3.70000000,0.00000000,0.00000000,0.00000000,-3.70000000,1
2024.10.22 13:20:00,OPEN,BUY,0.48000000,2735.65,XAUUSD,112,625.00000000,300.00000000,112,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.10.22 14:50:00,CLOSE,BUY,0.48000000,2730.79,XAUUSD,112,625.00000000,300.00000000,113,-233.28000000,0.00000000,0.00000000,0.00000000,-233.28000000,1
2024.10.23 14:20:00,OPEN,BUY,1.30000000,2751.65,XAUUSD,114,230.00000000,299.00000000,114,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.10.23 14:57:35,CLOSE,BUY,1.30000000,2749.35,XAUUSD,114,230.00000000,299.00000000,115,-299.00000000,0.00000000,0.00000000,0.00000000,-299.00000000,1
2024.10.24 14:40:00,OPEN,BUY,0.73000000,2738.79,XAUUSD,116,407.00000000,297.11000000,116,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.10.24 15:30:40,CLOSE,BUY,0.73000000,2734.69,XAUUSD,116,407.00000000,297.11000000,117,-299.30000000,0.00000000,0.00000000,0.00000000,-299.30000000,1
2024.10.29 10:40:00,OPEN,BUY,0.50000000,2751.95,XAUUSD,118,598.00000000,299.00000000,118,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.10.29 12:10:00,CLOSE,BUY,0.50000000,2750.94,XAUUSD,118,598.00000000,299.00000000,119,-50.50000000,0.00000000,0.00000000,0.00000000,-50.50000000,1
2024.10.29 13:40:00,OPEN,BUY,0.62000000,2750.68,XAUUSD,120,475.00000000,294.50000000,120,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.10.29 15:10:00,CLOSE,BUY,0.62000000,2754.50,XAUUSD,120,475.00000000,294.50000000,121,236.84000000,0.00000000,0.00000000,0.00000000,236.84000000,1
2024.10.31 12:30:00,OPEN,BUY,0.93000000,2777.60,XAUUSD,122,319.00000000,296.67000000,122,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.10.31 13:29:00,CLOSE,BUY,0.93000000,2777.59,XAUUSD,122,319.00000000,296.67000000,123,-0.93000000,0.00000000,0.00000000,0.00000000,-0.93000000,1
2024.10.31 14:00:00,OPEN,BUY,0.92000000,2779.58,XAUUSD,124,325.00000000,299.00000000,124,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.10.31 14:26:29,CLOSE,BUY,0.92000000,2776.33,XAUUSD,124,325.00000000,299.00000000,125,-299.00000000,0.00000000,0.00000000,0.00000000,-299.00000000,1
2024.11.08 10:50:00,OPEN,SELL,0.75000000,2688.20,XAUUSD,126,398.00000000,298.50000000,126,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.11.08 12:20:00,CLOSE,SELL,0.75000000,2685.55,XAUUSD,126,398.00000000,298.50000000,127,198.75000000,0.00000000,0.00000000,0.00000000,198.75000000,1
2024.11.15 14:00:00,OPEN,SELL,0.98000000,2570.70,XAUUSD,128,304.00000000,297.92000000,128,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.11.15 15:03:39,CLOSE,SELL,0.98000000,2570.72,XAUUSD,128,304.00000000,297.92000000,129,-1.96000000,0.00000000,0.00000000,0.00000000,-1.96000000,1
2024.11.21 15:15:00,OPEN,BUY,0.41000000,2667.24,XAUUSD,130,718.00000000,294.38000000,130,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.11.21 16:45:00,CLOSE,BUY,0.41000000,2666.66,XAUUSD,130,718.00000000,294.38000000,131,-23.78000000,0.00000000,0.00000000,0.00000000,-23.78000000,1
2024.11.22 11:40:00,OPEN,BUY,0.27000000,2704.16,XAUUSD,132,1098.00000000,296.46000000,132,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.11.22 13:10:00,CLOSE,BUY,0.27000000,2708.03,XAUUSD,132,1098.00000000,296.46000000,133,104.49000000,0.00000000,0.00000000,0.00000000,104.49000000,1
2024.11.29 13:20:00,OPEN,BUY,1.54000000,2662.81,XAUUSD,134,194.00000000,298.76000000,134,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.11.29 13:53:30,CLOSE,BUY,1.54000000,2660.83,XAUUSD,134,194.00000000,298.76000000,135,-304.92000000,0.00000000,0.00000000,0.00000000,-304.92000000,1
2024.11.29 15:30:00,OPEN,BUY,0.47000000,2662.24,XAUUSD,136,631.00000000,296.57000000,136,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.11.29 16:25:40,CLOSE,BUY,0.47000000,2655.93,XAUUSD,136,631.00000000,296.57000000,137,-296.57000000,0.00000000,0.00000000,0.00000000,-296.57000000,1
2024.12.03 13:25:00,OPEN,BUY,1.04000000,2644.96,XAUUSD,138,284.00000000,295.36000000,138,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.12.03 14:08:27,CLOSE,BUY,1.04000000,2642.10,XAUUSD,138,284.00000000,295.36000000,139,-297.44000000,0.00000000,0.00000000,0.00000000,-297.44000000,1
2024.12.05 11:10:00,OPEN,BUY,0.91000000,2644.85,XAUUSD,140,323.00000000,293.93000000,140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.12.05 12:40:00,CLOSE,BUY,0.91000000,2649.12,XAUUSD,140,323.00000000,293.93000000,141,388.57000000,0.00000000,0.00000000,0.00000000,388.57000000,1
2024.12.12 13:25:00,OPEN,BUY,0.69000000,2710.97,XAUUSD,142,430.00000000,296.70000000,142,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.12.12 14:55:00,CLOSE,BUY,0.69000000,2707.66,XAUUSD,142,430.00000000,296.70000000,143,-228.39000000,0.00000000,0.00000000,0.00000000,-228.39000000,1
2024.12.12 16:55:00,OPEN,BUY,0.38000000,2688.15,XAUUSD,144,774.00000000,294.12000000,144,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.12.12 17:35:05,CLOSE,BUY,0.38000000,2680.30,XAUUSD,144,774.00000000,294.12000000,145,-298.30000000,0.00000000,0.00000000,0.00000000,-298.30000000,1
2024.12.20 09:40:00,OPEN,SELL,0.75000000,2603.99,XAUUSD,146,391.00000000,293.25000000,146,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.12.20 11:10:00,CLOSE,SELL,0.75000000,2606.04,XAUUSD,146,391.00000000,293.25000000,147,-153.75000000,0.00000000,0.00000000,0.00000000,-153.75000000,1
2024.12.24 12:40:00,OPEN,SELL,1.12000000,2615.62,XAUUSD,148,264.00000000,295.68000000,148,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.12.24 13:53:23,CLOSE,SELL,1.12000000,2615.64,XAUUSD,148,264.00000000,295.68000000,149,-2.24000000,0.00000000,0.00000000,0.00000000,-2.24000000,1
2024.12.31 15:10:00,OPEN,SELL,0.67000000,2608.80,XAUUSD,150,441.00000000,295.47000000,150,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.12.31 15:25:37,CLOSE,SELL,0.67000000,2613.24,XAUUSD,150,441.00000000,295.47000000,151,-297.48000000,0.00000000,0.00000000,0.00000000,-297.48000000,1
2025.01.07 10:05:00,OPEN,BUY,0.64000000,2643.54,XAUUSD,152,459.00000000,293.76000000,152,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.01.07 11:54:00,CLOSE,BUY,0.64000000,2641.59,XAUUSD,152,459.00000000,293.76000000,153,-124.80000000,0.00000000,0.00000000,0.00000000,-124.80000000,1
2025.01.07 13:50:00,OPEN,BUY,0.54000000,2647.03,XAUUSD,154,541.00000000,292.14000000,154,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.01.07 15:20:00,CLOSE,BUY,0.54000000,2657.87,XAUUSD,154,541.00000000,292.14000000,155,585.36000000,0.00000000,0.00000000,0.00000000,585.36000000,1
2025.01.13 10:10:00,OPEN,BUY,0.91000000,2687.33,XAUUSD,156,325.00000000,295.75000000,156,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.01.13 10:22:38,CLOSE,BUY,0.91000000,2684.06,XAUUSD,156,325.00000000,295.75000000,157,-297.57000000,0.00000000,0.00000000,0.00000000,-297.57000000,1
2025.01.21 13:35:00,OPEN,BUY,0.72000000,2721.15,XAUUSD,158,410.00000000,295.20000000,158,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.01.21 15:05:00,CLOSE,BUY,0.72000000,2728.13,XAUUSD,158,410.00000000,295.20000000,159,502.56000000,0.00000000,0.00000000,0.00000000,502.56000000,1
2025.01.31 09:20:00,OPEN,BUY,0.66000000,2797.37,XAUUSD,160,447.00000000,295.02000000,160,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.01.31 10:30:34,CLOSE,BUY,0.66000000,2792.88,XAUUSD,160,447.00000000,295.02000000,161,-296.34000000,0.00000000,0.00000000,0.00000000,-296.34000000,1
2025.02.03 12:50:00,OPEN,BUY,0.54000000,2798.00,XAUUSD,162,539.00000000,291.06000000,162,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.02.03 14:20:00,CLOSE,BUY,0.54000000,2802.24,XAUUSD,162,539.00000000,291.06000000,163,228.96000000,0.00000000,0.00000000,0.00000000,228.96000000,1
2025.02.06 17:20:00,OPEN,BUY,0.24000000,2845.75,XAUUSD,164,1205.00000000,289.20000000,164,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.02.06 18:50:00,CLOSE,BUY,0.24000000,2851.45,XAUUSD,164,1205.00000000,289.20000000,165,136.80000000,0.00000000,0.00000000,0.00000000,136.80000000,1
2025.02.11 15:30:00,OPEN,BUY,0.44000000,2890.00,XAUUSD,166,667.00000000,293.48000000,166,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.02.11 17:00:00,CLOSE,BUY,0.44000000,2896.15,XAUUSD,166,667.00000000,293.48000000,167,270.60000000,0.00000000,0.00000000,0.00000000,270.60000000,1
2025.02.14 16:20:00,OPEN,BUY,0.27000000,2924.45,XAUUSD,168,1103.00000000,297.81000000,168,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.02.14 17:17:18,CLOSE,BUY,0.27000000,2913.41,XAUUSD,168,1103.00000000,297.81000000,169,-298.08000000,0.00000000,0.00000000,0.00000000,-298.08000000,1
2025.03.03 10:30:00,OPEN,SELL,0.54000000,2859.94,XAUUSD,170,546.00000000,294.84000000,170,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.03.03 10:39:35,CLOSE,SELL,0.54000000,2865.43,XAUUSD,170,546.00000000,294.84000000,171,-296.46000000,0.00000000,0.00000000,0.00000000,-296.46000000,1
2025.03.03 13:25:00,OPEN,SELL,1.77000000,2872.88,XAUUSD,172,167.00000000,295.59000000,172,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.03.03 13:50:03,CLOSE,SELL,1.77000000,2874.55,XAUUSD,172,167.00000000,295.59000000,173,-295.59000000,0.00000000,0.00000000,0.00000000,-295.59000000,1
2025.03.10 14:00:00,OPEN,BUY,0.34000000,2903.87,XAUUSD,174,857.00000000,291.38000000,174,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.03.10 15:30:00,CLOSE,BUY,0.34000000,2901.22,XAUUSD,174,857.00000000,291.38000000,175,-90.10000000,0.00000000,0.00000000,0.00000000,-90.10000000,1
2025.03.17 14:35:00,OPEN,BUY,0.44000000,2991.26,XAUUSD,176,663.00000000,291.72000000,176,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.03.17 16:05:00,CLOSE,BUY,0.44000000,2991.28,XAUUSD,176,663.00000000,291.72000000,177,0.88000000,0.00000000,0.00000000,0.00000000,0.88000000,1
2025.03.18 15:55:00,OPEN,BUY,0.28000000,3036.16,XAUUSD,178,1028.00000000,287.84000000,178,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.03.18 16:11:39,CLOSE,BUY,0.28000000,3025.87,XAUUSD,178,1028.00000000,287.84000000,179,-288.12000000,0.00000000,0.00000000,0.00000000,-288.12000000,1
2025.03.20 15:40:00,OPEN,BUY,0.37000000,3037.42,XAUUSD,180,783.00000000,289.71000000,180,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.03.20 17:10:00,CLOSE,BUY,0.37000000,3040.49,XAUUSD,180,783.00000000,289.71000000,181,113.59000000,0.00000000,0.00000000,0.00000000,113.59000000,1
2025.03.28 14:40:00,OPEN,BUY,0.34000000,3080.56,XAUUSD,182,843.00000000,286.62000000,182,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.03.28 15:11:02,CLOSE,BUY,0.34000000,3072.13,XAUUSD,182,843.00000000,286.62000000,183,-286.62000000,0.00000000,0.00000000,0.00000000,-286.62000000,1
2025.03.31 14:45:00,OPEN,BUY,0.75000000,3118.26,XAUUSD,184,391.00000000,293.25000000,184,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.03.31 16:04:34,CLOSE,BUY,0.75000000,3118.11,XAUUSD,184,391.00000000,293.25000000,185,-11.25000000,0.00000000,0.00000000,0.00000000,-11.25000000,1
2025.03.31 17:00:00,OPEN,BUY,0.21000000,3113.48,XAUUSD,186,1394.00000000,292.74000000,186,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.03.31 18:30:00,CLOSE,BUY,0.21000000,3121.00,XAUUSD,186,1394.00000000,292.74000000,187,157.92000000,0.00000000,0.00000000,0.00000000,157.92000000,1
2025.04.02 10:25:00,OPEN,BUY,0.63000000,3117.97,XAUUSD,188,464.00000000,292.32000000,188,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.04.02 11:28:38,CLOSE,BUY,0.63000000,3129.62,XAUUSD,188,464.00000000,292.32000000,189,733.95000000,0.00000000,0.00000000,0.00000000,733.95000000,1
2025.04.02 15:35:00,OPEN,BUY,0.36000000,3124.82,XAUUSD,190,814.00000000,293.04000000,190,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.04.02 17:05:00,CLOSE,BUY,0.36000000,3120.96,XAUUSD,190,814.00000000,293.04000000,191,-138.96000000,0.00000000,0.00000000,0.00000000,-138.96000000,1
2025.04.03 09:00:00,OPEN,BUY,0.35000000,3132.09,XAUUSD,192,842.00000000,294.70000000,192,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.04.03 09:28:55,CLOSE,BUY,0.35000000,3123.64,XAUUSD,192,842.00000000,294.70000000,193,-295.75000000,0.00000000,0.00000000,0.00000000,-295.75000000,1
2025.04.03 09:55:00,OPEN,BUY,0.23000000,3128.48,XAUUSD,194,1249.00000000,287.27000000,194,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.04.03 11:25:00,CLOSE,BUY,0.23000000,3130.04,XAUUSD,194,1249.00000000,287.27000000,195,35.88000000,0.00000000,0.00000000,0.00000000,35.88000000,1
2025.04.15 11:05:00,OPEN,BUY,0.31000000,3226.29,XAUUSD,196,925.00000000,286.75000000,196,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.04.15 12:35:00,CLOSE,BUY,0.31000000,3226.49,XAUUSD,196,925.00000000,286.75000000,197,6.20000000,0.00000000,0.00000000,0.00000000,6.20000000,1
2025.04.15 17:10:00,OPEN,BUY,0.30000000,3220.89,XAUUSD,198,967.00000000,290.10000000,198,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.04.15 18:40:00,CLOSE,BUY,0.30000000,3221.90,XAUUSD,198,967.00000000,290.10000000,199,30.30000000,0.00000000,0.00000000,0.00000000,30.30000000,1
2025.04.16 11:55:00,OPEN,BUY,0.15000000,3307.15,XAUUSD,200,1893.00000000,283.95000000,200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.04.16 13:25:00,CLOSE,BUY,0.15000000,3303.85,XAUUSD,200,1893.00000000,283.95000000,201,-49.50000000,0.00000000,0.00000000,0.00000000,-49.50000000,1
2025.04.17 16:45:00,OPEN,BUY,0.29000000,3329.67,XAUUSD,202,989.00000000,286.81000000,202,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.04.17 16:51:46,CLOSE,BUY,0.29000000,3319.72,XAUUSD,202,989.00000000,286.81000000,203,-288.55000000,0.00000000,0.00000000,0.00000000,-288.55000000,1
2025.04.21 13:20:00,OPEN,BUY,0.43000000,3397.27,XAUUSD,204,675.00000000,290.25000000,204,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.04.21 14:11:25,CLOSE,BUY,0.43000000,3390.44,XAUUSD,204,675.00000000,290.25000000,205,-293.69000000,0.00000000,0.00000000,0.00000000,-293.69000000,1
2025.05.06 15:40:00,OPEN,BUY,0.19000000,3388.18,XAUUSD,206,1531.00000000,290.89000000,206,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.05.06 17:10:00,CLOSE,BUY,0.19000000,3397.20,XAUUSD,206,1531.00000000,290.89000000,207,171.38000000,0.00000000,0.00000000,0.00000000,171.38000000,1
2025.05.22 10:30:00,OPEN,BUY,0.38000000,3329.94,XAUUSD,208,773.00000000,293.74000000,208,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.05.22 11:17:02,CLOSE,BUY,0.38000000,3322.17,XAUUSD,208,773.00000000,293.74000000,209,-295.26000000,0.00000000,0.00000000,0.00000000,-295.26000000,1
2025.05.22 14:20:00,OPEN,BUY,0.31000000,3292.08,XAUUSD,210,933.00000000,289.23000000,210,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.05.22 15:50:00,CLOSE,BUY,0.31000000,3303.95,XAUUSD,210,933.00000000,289.23000000,211,367.97000000,0.00000000,0.00000000,0.00000000,367.97000000,1
2025.05.23 11:40:00,OPEN,BUY,0.95000000,3327.05,XAUUSD,212,307.00000000,291.65000000,212,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.05.23 11:49:04,CLOSE,BUY,0.95000000,3323.92,XAUUSD,212,307.00000000,291.65000000,213,-297.35000000,0.00000000,0.00000000,0.00000000,-297.35000000,1
2025.05.23 14:50:00,OPEN,BUY,0.13000000,3346.97,XAUUSD,214,2234.00000000,290.42000000,214,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.05.23 16:20:00,CLOSE,BUY,0.13000000,3353.53,XAUUSD,214,2234.00000000,290.42000000,215,85.28000000,0.00000000,0.00000000,0.00000000,85.28000000,1
2025.05.27 11:10:00,OPEN,BUY,0.18000000,3308.02,XAUUSD,216,1578.00000000,284.04000000,216,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.05.27 12:40:00,CLOSE,BUY,0.18000000,3295.36,XAUUSD,216,1578.00000000,284.04000000,217,-227.88000000,0.00000000,0.00000000,0.00000000,-227.88000000,1
2025.06.03 15:45:00,OPEN,BUY,0.22000000,3361.55,XAUUSD,218,1287.00000000,283.14000000,218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.06.03 16:46:00,CLOSE,BUY,0.22000000,3348.27,XAUUSD,218,1287.00000000,283.14000000,219,-292.16000000,0.00000000,0.00000000,0.00000000,-292.16000000,1
2025.06.04 17:10:00,OPEN,BUY,0.19000000,3365.11,XAUUSD,220,1466.00000000,278.54000000,220,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.06.04 18:40:00,CLOSE,BUY,0.19000000,3370.23,XAUUSD,220,1466.00000000,278.54000000,221,97.28000000,0.00000000,0.00000000,0.00000000,97.28000000,1
2025.06.06 11:05:00,OPEN,BUY,0.38000000,3360.11,XAUUSD,222,767.00000000,291.46000000,222,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.06.06 12:35:00,CLOSE,BUY,0.38000000,3358.86,XAUUSD,222,767.00000000,291.46000000,223,-47.50000000,0.00000000,0.00000000,0.00000000,-47.50000000,1
2025.06.25 15:50:00,OPEN,SELL,0.29000000,3320.02,XAUUSD,224,979.00000000,283.91000000,224,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.06.25 17:20:00,CLOSE,SELL,0.29000000,3319.74,XAUUSD,224,979.00000000,283.91000000,225,8.12000000,0.00000000,0.00000000,0.00000000,8.12000000,1
2025.06.30 16:00:00,OPEN,SELL,0.39000000,3281.95,XAUUSD,226,735.00000000,286.65000000,226,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.06.30 17:30:00,CLOSE,SELL,0.39000000,3285.10,XAUUSD,226,735.00000000,286.65000000,227,-122.85000000,0.00000000,0.00000000,0.00000000,-122.85000000,1
2025.07.15 11:40:00,OPEN,BUY,0.46000000,3362.64,XAUUSD,228,631.00000000,290.26000000,228,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.07.15 13:10:00,CLOSE,BUY,0.46000000,3364.08,XAUUSD,228,631.00000000,290.26000000,229,66.24000000,0.00000000,0.00000000,0.00000000,66.24000000,1
2025.07.17 09:55:00,OPEN,BUY,0.43000000,3334.71,XAUUSD,230,670.00000000,288.10000000,230,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.07.17 10:24:37,CLOSE,BUY,0.43000000,3327.92,XAUUSD,230,670.00000000,288.10000000,231,-291.97000000,0.00000000,0.00000000,0.00000000,-291.97000000,1
2025.07.22 10:40:00,OPEN,BUY,1.09000000,3386.52,XAUUSD,232,267.00000000,291.03000000,232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.07.22 12:10:00,CLOSE,BUY,1.09000000,3390.12,XAUUSD,232,267.00000000,291.03000000,233,392.40000000,0.00000000,0.00000000,0.00000000,392.40000000,1
2025.07.23 16:50:00,OPEN,BUY,0.63000000,3412.49,XAUUSD,234,464.00000000,292.32000000,234,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.07.23 17:23:36,CLOSE,BUY,0.63000000,3412.45,XAUUSD,234,464.00000000,292.32000000,235,-2.52000000,0.00000000,0.00000000,0.00000000,-2.52000000,1
2025.07.29 10:05:00,OPEN,SELL,0.61000000,3318.01,XAUUSD,236,476.00000000,290.36000000,236,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.07.29 10:58:23,CLOSE,SELL,0.61000000,3318.03,XAUUSD,236,476.00000000,290.36000000,237,-1.22000000,0.00000000,0.00000000,0.00000000,-1.22000000,1
2025.08.06 13:20:00,OPEN,BUY,0.45000000,3364.25,XAUUSD,238,641.00000000,288.45000000,238,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.08.06 14:50:00,CLOSE,BUY,0.45000000,3365.00,XAUUSD,238,641.00000000,288.45000000,239,33.75000000,0.00000000,0.00000000,0.00000000,33.75000000,1
2025.08.07 14:20:00,OPEN,BUY,0.31000000,3380.65,XAUUSD,240,931.00000000,288.61000000,240,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.08.07 15:50:00,CLOSE,BUY,0.31000000,3380.86,XAUUSD,240,931.00000000,288.61000000,241,6.51000000,0.00000000,0.00000000,0.00000000,6.51000000,1
2025.08.08 14:40:00,OPEN,BUY,0.56000000,3385.27,XAUUSD,242,515.00000000,288.40000000,242,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2025.08.08 15:31:18,CLOSE,BUY,0.56000000,3398.15,XAUUSD,242,515.00000000,288.40000000,243,721.28000000,0.00000000,0.00000000,0.00000000,721.28000000,1
