case_id,position_id,entry_time_server,exit_time_server,entry_time_utc,exit_time_utc,server_utc_offset_h,direction,side,entry,sl,tp,exit,volume,initial_risk_account,risk_pips,net_usd,net_r,holding_minutes,weekday_utc,session_utc,selection_reason,label,close_deal_id,exact_exit_class,exact_exit_comment,active_stop_at_exit,telemetry_status,h1_close,h1_ema,rolling_vwap_48,atr14,spread_pips
VRAS-008-R027-P6878,6878,2022.10.20 15:55:00,2022.10.20 16:29:46,2022.10.20 12:55:00,2022.10.20 13:29:46,3,1,BUY,0.98082,0.97943,0.98291,0.97939,0.34,47.26,13.9,-49.98,-1.0575539568345325,34.766666666666666,Thursday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,6879,INITIAL_SL,sl 0.97943,0.97943,ORDER_ACCEPTED,0.98127,0.97843,0.98039,0.001,0.1
VRAS-008-R028-P1764,1764,2020.02.21 05:20:00,2020.02.21 06:45:21,2020.02.21 03:20:00,2020.02.21 04:45:21,2,-1,SELL,1.07891,1.07938,1.07821,1.07938,1.04,48.88,4.7,-53.040000000000006,-1.0851063829787235,85.35,Friday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,1765,INITIAL_SL,sl 1.07938,1.07938,ORDER_ACCEPTED,1.07897,1.08487,1.07901,0.00019,0.3
VRAS-008-R029-P6454,6454,2022.08.08 09:30:00,2022.08.08 10:15:04,2022.08.08 06:30:00,2022.08.08 07:15:04,3,-1,SELL,1.01798,1.01903,1.01641,1.01903,0.45,47.25,10.500000000000002,-49.05,-1.038095238095238,45.06666666666667,Monday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,6455,INITIAL_SL,sl 1.01903,1.01903,ORDER_ACCEPTED,1.01865,1.01964,1.01829,0.00038,0.1
VRAS-008-R030-P1932,1932,2020.03.25 15:35:00,2020.03.25 15:54:31,2020.03.25 13:35:00,2020.03.25 13:54:31,2,-1,SELL,1.082,1.08337,1.07995,1.07994,0.35,47.95,13.700000000000001,70.69999999999999,1.4744525547445253,19.516666666666666,Wednesday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,1933,TARGET,tp 1.07995,1.07995,ORDER_ACCEPTED,1.08198,1.08898,1.08214,0.001,0.1
VRAS-008-R031-P4944,4944,2021.10.25 19:30:00,2021.10.25 21:14:36,2021.10.25 16:30:00,2021.10.25 18:14:36,3,-1,SELL,1.16071,1.16153,1.15948,1.16154,0.59,48.38,8.200000000000001,-51.33,-1.0609756097560974,104.6,Monday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,4945,INITIAL_SL,sl 1.16153,1.16153,ORDER_ACCEPTED,1.16102,1.16226,1.16076,0.00028,0.2
VRAS-008-R032-P5212,5212,2021.12.17 12:40:00,2021.12.17 12:53:32,2021.12.17 10:40:00,2021.12.17 10:53:32,2,1,BUY,1.13333,1.13234,1.13482,1.13233,0.48,47.52,9.9,-49.92,-1.0505050505050504,13.533333333333333,Friday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,5213,INITIAL_SL,sl 1.13234,1.13234,ORDER_ACCEPTED,1.13345,1.12968,1.13295,0.00044,0.7
VRAS-008-R033-P4280,4280,2021.06.11 02:40:00,2021.06.11 03:04:12,2021.06.10 23:40:00,2021.06.11 00:04:12,3,-1,SELL,1.21732,1.21763,1.21686,1.21763,1.57,48.67,3.0999999999999996,-54.95,-1.1290322580645162,24.2,Thursday,OffHours,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,4281,INITIAL_SL,sl 1.21763,1.21763,ORDER_ACCEPTED,1.21728,1.21798,1.21735,0.0001,0.1
VRAS-008-R034-P378,378,2019.03.22 18:40:00,2019.03.22 19:31:17,2019.03.22 16:40:00,2019.03.22 17:31:17,2,-1,SELL,1.12901,1.12969,1.12799,1.12897,0.73,49.64,6.8,0.0,0.0,51.28333333333333,Friday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,FLAT_RANDOM,379,MOVED_SL,sl 1.12896,1.12896,ORDER_ACCEPTED,1.12821,1.13404,1.12917,0.00055,0.8
VRAS-008-R035-P6438,6438,2022.08.04 06:25:00,2022.08.04 08:25:00,2022.08.04 03:25:00,2022.08.04 05:25:00,3,-1,SELL,1.01647,1.01722,1.01535,1.01703,0.64,48.0,7.5,-38.400000000000006,-0.8000000000000002,120.0,Thursday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,6439,TIME_EXIT,VRAS HYP006 time exit,,ORDER_ACCEPTED,1.01648,1.01932,1.01649,0.00027,0.1
VRAS-008-R036-P2972,2972,2020.10.06 07:00:00,2020.10.06 08:15:04,2020.10.06 04:00:00,2020.10.06 05:15:04,3,1,BUY,1.17923,1.17875,1.17995,1.17875,1.02,48.96,4.800000000000001,-53.04,-1.0833333333333333,75.06666666666666,Tuesday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,2973,INITIAL_SL,sl 1.17875,1.17875,ORDER_ACCEPTED,1.17921,1.17316,1.17898,0.00025,0.2
VRAS-008-R037-P3846,3846,2021.03.15 06:05:00,2021.03.15 06:40:35,2021.03.15 04:05:00,2021.03.15 04:40:35,2,-1,SELL,1.19525,1.19558,1.19476,1.19476,1.48,48.84,3.3000000000000003,66.6,1.3636363636363635,35.583333333333336,Monday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,3847,TARGET,tp 1.19476,1.19476,ORDER_ACCEPTED,1.1954,1.19606,1.1954,0.00022,0.1
VRAS-008-R038-P3924,3924,2021.03.29 17:50:00,2021.03.29 18:34:35,2021.03.29 14:50:00,2021.03.29 15:34:35,3,-1,SELL,1.17761,1.17869,1.17599,1.17756,0.45,48.6,10.799999999999999,0.44999999999999996,0.009259259259259259,44.583333333333336,Monday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,3925,MOVED_SL,sl 1.17756,1.17756,ORDER_ACCEPTED,1.17778,1.18482,1.17802,0.0005,0.1
