observation_date,IRSTCI01CHM156N
1984-07-01,4.85484000000000027
1984-08-01,2.88867000000000029
1984-09-01,3.97767999999999988
1984-10-01,3.43144999999999989
1984-11-01,2.92383000000000015
1984-12-01,4.85081000000000007
1985-01-01,4.74394999999999989
1985-02-01,3.23884000000000016
1985-03-01,4.49138000000000037
1985-04-01,4.37298000000000009
1985-05-01,4.75976999999999961
1985-06-01,4.57366000000000028
1985-07-01,3.19852999999999987
1985-08-01,3.54957000000000011
1985-09-01,3.77586000000000022
1985-10-01,1.95832999999999990
1985-11-01,1.98921999999999999
1985-12-01,4.36580999999999975
1986-01-01,3.70474000000000014
1986-02-01,3.12722999999999995
1986-03-01,4.79741000000000017
1986-04-01,3.50378999999999996
1986-05-01,3.90086000000000022
1986-06-01,5.46767000000000003
1986-07-01,3.06434000000000006
1986-08-01,2.60044999999999993
1986-09-01,2.36874999999999991
1986-10-01,1.18938999999999995
1986-11-01,1.68972999999999995
1986-12-01,2.63214000000000015
1987-01-01,2.47097999999999995
1987-02-01,2.99107000000000012
1987-03-01,2.08749999999999991
1987-04-01,2.32196999999999987
1987-05-01,2.81919999999999993
1987-06-01,4.44791999999999987
1987-07-01,2.70265000000000022
1987-08-01,2.70042999999999989
1987-09-01,2.40832999999999986
1987-10-01,2.19531000000000009
1987-11-01,2.68102999999999980
1987-12-01,0.29043999999999998
1988-01-01,0.38392999999999999
1988-02-01,0.56250000000000000
1988-03-01,0.98570999999999998
1988-04-01,1.71527999999999992
1988-05-01,1.85624999999999996
1988-06-01,2.53787999999999991
1988-07-01,2.71336000000000022
1988-08-01,2.22347999999999990
1988-09-01,2.40517000000000003
1988-10-01,3.13578000000000001
1988-11-01,4.12291999999999970
1988-12-01,3.98484999999999978
1989-01-01,4.80172000000000043
1989-02-01,5.23438000000000070
1989-03-01,4.99243000000000059
1989-04-01,5.73707000000000011
1989-05-01,7.08750000000000036
1989-06-01,6.93750000000000000
1989-07-01,6.85559999999999992
1989-08-01,7.05303000000000058
1989-09-01,7.14063000000000070
1989-10-01,6.98749999999999982
1989-11-01,6.62891000000000030
1989-12-01,8.56653000000000020
1990-01-01,9.28017000000000003
1990-02-01,8.57142999999999944
1990-03-01,8.75195000000000078
1990-04-01,9.11041999999999952
1990-05-01,8.52083000000000013
1990-06-01,8.70312999999999981
1990-07-01,8.58266000000000062
1990-08-01,7.76952999999999960
1990-09-01,6.61829999999999963
1990-10-01,7.39113000000000042
1990-11-01,7.72656000000000187
1990-12-01,8.90926999999999936
1991-01-01,7.96371000000000162
1991-02-01,7.67411000000000154
1991-03-01,8.73124999999999929
1991-04-01,8.06874999999999964
1991-05-01,7.58983999999999970
1991-06-01,7.47097999999999995
1991-07-01,7.23528999999999822
1991-08-01,7.94396999999999842
1991-09-01,7.80171999999999866
1991-10-01,7.53219999999999956
1991-11-01,7.14655000000000040
1991-12-01,7.62500000000000000
1992-01-01,7.14223999999999926
1992-02-01,7.23661000000000154
1992-03-01,8.47082999999999942
1992-04-01,8.34848000000000035
1992-05-01,9.06695999999999991
1992-06-01,8.94999999999999929
1992-07-01,8.03408999999999907
1992-08-01,7.53017000000000003
1992-09-01,7.04999999999999982
1992-10-01,5.74609000000000059
1992-11-01,6.12931000000000026
1992-12-01,5.92647000000000013
1993-01-01,5.16518000000000033
1993-02-01,5.71429000000000009
1993-03-01,5.33065000000000033
1993-04-01,5.21093999999999991
1993-05-01,4.93965999999999994
1993-06-01,5.08750000000000036
1993-07-01,4.69531000000000009
1993-08-01,4.87500000000000000
1993-09-01,4.76758000000000060
1993-10-01,4.50215999999999994
1993-11-01,4.58124999999999982
1993-12-01,4.40151999999999965
1994-01-01,4.06896999999999931
1994-02-01,4.22991000000000028
1994-03-01,4.09999999999999964
1994-04-01,3.96758999999999995
1994-05-01,4.12708000000000030
1994-06-01,3.97656000000000009
1994-07-01,3.96875000000000000
1994-08-01,3.85416999999999987
1994-09-01,3.52734000000000014
1994-10-01,3.47198000000000029
1994-11-01,3.34167000000000014
1994-12-01,3.56438999999999995
1995-01-01,3.48059999999999992
1995-02-01,3.25892999999999988
1995-03-01,3.53408999999999995
1995-04-01,3.41379000000000010
1995-05-01,3.12500000000000000
1995-06-01,3.03711000000000020
1995-07-01,2.41250000000000009
1995-08-01,3.08008000000000015
1995-09-01,2.83620999999999990
1995-10-01,1.95416999999999996
1995-11-01,2.17969000000000035
1995-12-01,2.34676999999999980
1996-01-01,1.56896999999999998
1996-02-01,1.24194000000000004
1996-03-01,1.79740999999999995
1996-04-01,1.62291999999999992
1996-05-01,2.23295000000000021
1996-06-01,2.41517999999999988
1996-07-01,2.17096000000000000
1996-08-01,2.06897000000000020
1996-09-01,1.42671999999999999
1996-10-01,1.42235000000000000
1996-11-01,1.64654999999999996
1996-12-01,1.78675999999999990
1997-01-01,1.46120999999999990
1997-02-01,1.54464000000000001
1997-03-01,2.04957000000000011
1997-04-01,1.37917000000000001
1997-05-01,1.26172000000000017
1997-06-01,1.05171999999999999
1997-07-01,1.46875000000000000
1997-08-01,1.03125000000000000
1997-09-01,1.11250000000000004
1997-10-01,1.50378999999999996
1997-11-01,1.32813000000000003
1997-12-01,1.00000000000000000
1998-01-01,0.89285999999999999
1998-02-01,0.75334999999999996
1998-03-01,0.88957999999999993
1998-04-01,1.12694999999999990
1998-05-01,1.54583000000000004
1998-06-01,1.86637999999999993
1998-07-01,1.77652000000000010
1998-08-01,1.49353000000000002
1998-09-01,1.23333000000000004
1998-10-01,0.88086000000000009
1998-11-01,1.16164000000000001
